id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e212894c-8fd1-11eb-924d-9cd76263cbd0,genus,Corynabutilon,,,"(K.Schum.) Kearney",,"Leafl. W. Bot. 5(12): 189. 1949.",,,,,25846-1,wfo-4000009396,7279188,
d48b6226-8fcc-11eb-924d-9cd76263cbd0,species,bicolor,Corynabutilon,,"(Phil. ex K.Schum.) Kearney",,"Leafl. W. Bot. 5: 190 1949",,,,,66445-2,wfo-0000623126,3937578,
d48bbe56-8fcc-11eb-924d-9cd76263cbd0,species,ceratocarpum,Corynabutilon,,"(Hook. & Arn.) Kearney",,"Leafl. W. Bot. 5: 190 1949",,,,,66446-2,wfo-0000623127,3937569,
d48be926-8fcc-11eb-924d-9cd76263cbd0,species,hirsutum,Corynabutilon,,"(Phil.) A.Martic.",,"Novon 11: 194 2001",,,,,1021466-1,wfo-0000623128,3937552,
d48c0be0-8fcc-11eb-924d-9cd76263cbd0,species,ochsenii,Corynabutilon,,"(Phil.) Kearney",,"Leafl. W. Bot. 5: 190 1949",,,,,66447-2,wfo-0000623129,3937540,
d48c72a6-8fcc-11eb-924d-9cd76263cbd0,species,salicifolium,Corynabutilon,,"(Reiche) Krapov.",,"Bonplandia (Corrientes) 3: 22 1969",,,,,66448-2,wfo-0000623132,3937528,
bf19050a-8fcd-11eb-924d-9cd76263cbd0,species,sprucei,Corynabutilon,,"Eichler in de Candolle",,"Prodr. 17: 137 (–138) 1873",,,,,66454-2,wfo-0001078073,3937513,
d48c8f98-8fcc-11eb-924d-9cd76263cbd0,species,suntense,Corynabutilon,,"(C.Brickell) Fryxell",,"Lundellia 5: 107 2002",,,,,20010220-1,wfo-0000623133,3937506,
d48cabd6-8fcc-11eb-924d-9cd76263cbd0,species,viride,Corynabutilon,,"(Phil.) A.Martic.",,"Novon 11: 195 2001",,,,,1101172-2,wfo-0000623134,3937495,
d48cc8b4-8fcc-11eb-924d-9cd76263cbd0,species,vitifolium,Corynabutilon,,"(Cav.) Kearney",,"Leafl. W. Bot. 5: 190 1949",,,,,66449-2,wfo-0000623135,3937484,
