id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e21ea6c8-8fd1-11eb-924d-9cd76263cbd0,genus,Cracca,,,,,,,,,,,wfo-4000009539,,
b6d71dbe-8fcd-11eb-924d-9cd76263cbd0,species,acaciifolia,Cracca,,"(Welw. ex Baker) Kuntze",,"Revis. Gen. Pl. 1: 174 1891",,,,,487381-1,wfo-0001059219,5631087,
d545fbae-8fcc-11eb-924d-9cd76263cbd0,species,acutifolia,Cracca,,Alef.,,"Bonplandia (Hannover) 9: 118 1861",,,,,487382-1,wfo-0000624401,5631086,
b33f8c0e-8fcd-11eb-924d-9cd76263cbd0,species,adunca,Cracca,,"(Benth.) Kuntze",,"Revis. Gen. Pl. 1: 174 1891",,,,,67536-2,wfo-0001051122,5612866,
b6d73aec-8fcd-11eb-924d-9cd76263cbd0,species,aemula,Cracca,,"(Harv.) Kuntze",,"Revis. Gen. Pl. 1: 174 1891",,,,,487384-1,wfo-0001059220,5631083,
b6d758b0-8fcd-11eb-924d-9cd76263cbd0,species,aequilata,Cracca,,"(Baker) Kuntze",,"Revis. Gen. Pl. 1: 174 1891",,,,,487385-1,wfo-0001059221,5631081,
9740fdce-8fc0-11eb-924d-9cd76263cbd0,species,affinis,Cracca,,"(S.Watson) Rose",,,,,,,,wfo-0000166937,5342423,
d5463448-8fcc-11eb-924d-9cd76263cbd0,species,agrigentina,Cracca,,Alef.,,"Bonplandia (Hannover) 9: 119 1861",,,,,487387-1,wfo-0000624403,5631079,
d5465aa4-8fcc-11eb-924d-9cd76263cbd0,species,albicans,Cracca,,Alef.,,"Bonplandia (Hannover) 9: 120 1861",,,,,487388-1,wfo-0000624404,5631078,
45d11502-8fc3-11eb-924d-9cd76263cbd0,species,aletes,Cracca,,"Standl. & Steyerm.",,,,,,,,wfo-0000181947,5354843,
96b0fd50-8fc0-11eb-924d-9cd76263cbd0,species,ambigua,Cracca,,"(M.A.Curtis) Kuntze",,,,,,,,wfo-0000166923,5342173,
b6d7758e-8fcd-11eb-924d-9cd76263cbd0,species,amoena,Cracca,,"(E.Mey.) Kuntze",,"Revis. Gen. Pl. 1: 174 1891",,,,,487391-1,wfo-0001059222,5631076,
b801994e-8fcd-11eb-924d-9cd76263cbd0,species,andina,Cracca,,Lavin,,,,,,,,wfo-0001061878,,
b6d7932a-8fcd-11eb-924d-9cd76263cbd0,species,andongensis,Cracca,,"(Welw. ex Baker) Kuntze",,"Revis. Gen. Pl. 1: 174 1891",,,,,487392-1,wfo-0001059223,5631074,
9862eb7c-8fc0-11eb-924d-9cd76263cbd0,species,angustifolia,Cracca,,"(Featherm.) Pennell",,,,,,,,wfo-0000166963,5342286,
96bc1c30-8fc0-11eb-924d-9cd76263cbd0,species,angustissima,Cracca,,"(Chapman) Kuntze",,,,,,,,wfo-0000166924,5342169,
444e398a-8fc3-11eb-924d-9cd76263cbd0,species,aniloides,Cracca,,"(Bello) O.F.Cook & G.N.Collins",,,,,,,,wfo-0000181928,5354832,
b6d7afe0-8fcd-11eb-924d-9cd76263cbd0,species,ansellii,Cracca,,"(Hook.f.) Kuntze",,"Revis. Gen. Pl. 1: 174 1891",,,,,487395-1,wfo-0001059224,5631071,
b6e16cec-8fcd-11eb-924d-9cd76263cbd0,species,anthyllodes,Cracca,,"(Hochst. ex Webb) Kuntze",,"Revis. Gen. Pl. 1: 174 1891",,,,,487396-1,wfo-0001059308,5631070,
b7048cea-8fcd-11eb-924d-9cd76263cbd0,species,apollinea,Cracca,,"(Delile) Lyons",,"Pl. Nam. 120 1900",,,,,487397-1,wfo-0001059626,5631068,
b6d7cad4-8fcd-11eb-924d-9cd76263cbd0,species,arabica,Cracca,,"(Steud.) Kuntze",,"Revis. Gen. Pl. 1: 174 1891",,,,,487398-1,wfo-0001059225,5631066,
97dbf310-8fc0-11eb-924d-9cd76263cbd0,species,arcuata,Cracca,,Rydb.,,,,,,,,wfo-0000166951,5342575,
b6e25e04-8fcd-11eb-924d-9cd76263cbd0,species,argyrotricha,Cracca,,"(Harms) Kuntze",,"Revis. Gen. Pl. 3(3): 57 1898",,,,,487400-1,wfo-0001059316,5631062,
423878c2-8fc3-11eb-924d-9cd76263cbd0,species,astragalina,Cracca,,"(Kunth) Kuntze",,,,,,,1143383-2,wfo-0000181896,5354849,
b6e18a1a-8fcd-11eb-924d-9cd76263cbd0,species,astragalodes,Cracca,,"(Benth.) Kuntze",,"Revis. Gen. Pl. 1: 174 1891",,,,,487402-1,wfo-0001059309,5612857,
b4d28cce-8fcd-11eb-924d-9cd76263cbd0,species,atropurpurea,Cracca,,"(Desf.) Godr. & Gren.",,"Fl. France Prosp. 1: 471 1849",,,,,487403-1,wfo-0001054568,5359727,
a7a3b528-8fc3-11eb-924d-9cd76263cbd0,species,axillaris,Cracca,,M.E.Jones,,,,,,,,wfo-0000183945,5342233,
