id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e2268c30-8fd1-11eb-924d-9cd76263cbd0,genus,Cremocarpon,,,"Boivin ex Baill.","Q2382236,Q461931",1879,,"Bull. Mens. Soc. Linn. Paris 1: 192. 1879.",,,,,,,wfo-4000009645,2896823,,
78edcd2c-8fcd-11eb-924d-9cd76263cbd0,species,bernieri,Cremocarpon,,Bremek.,Q5171231,1958,,"Candollea 16: 165 1958",,,,,,747840-1,wfo-0000926777,2896824,,
78edf450-8fcd-11eb-924d-9cd76263cbd0,species,boivinianum,Cremocarpon,,Baill.,Q461931,1880,,"Hist. Pl. 7: 399 1880",,,,,,747841-1,wfo-0000926778,2896835,,
78ee353c-8fcd-11eb-924d-9cd76263cbd0,species,fissicorne,Cremocarpon,,Bremek.,Q5171231,1958,,"Candollea 16: 163 1958",,,,,,747842-1,wfo-0000926780,2896837,,
78ee53b4-8fcd-11eb-924d-9cd76263cbd0,species,floribundum,Cremocarpon,,Bremek.,Q5171231,1958,,"Candollea 16: 171 1958",,,,,,747843-1,wfo-0000926781,2896834,,
78ee7f56-8fcd-11eb-924d-9cd76263cbd0,species,lantzii,Cremocarpon,,Bremek.,Q5171231,1958,,"Candollea 16: 168 1958",,,,,,747844-1,wfo-0000926782,2896828,,
78eeb958-8fcd-11eb-924d-9cd76263cbd0,species,pulchristipulum,Cremocarpon,,Bremek.,Q5171231,1958,,"Candollea 16: 166 1958",,,,,,747845-1,wfo-0000926783,2896836,,
78ef34c8-8fcd-11eb-924d-9cd76263cbd0,species,rupicola,Cremocarpon,,"(Baill.) Bremek.","Q461931,Q5171231",1958,,"Candollea 16: 170 1958",,,,19393aac-8fcc-11eb-924d-9cd76263cbd0,,747846-1,wfo-0000926784,2896830,,
78ef59f8-8fcd-11eb-924d-9cd76263cbd0,species,sessilifolium,Cremocarpon,,Bremek.,Q5171231,1958,,"Candollea 16: 162 1958",,,,,,747847-1,wfo-0000926785,2896827,,
78ef7ed8-8fcd-11eb-924d-9cd76263cbd0,species,tenuifolium,Cremocarpon,,Bremek.,Q5171231,1958,,"Candollea 16: 164 1958",,,,,,747848-1,wfo-0000926786,2896829,,
78ef9dbe-8fcd-11eb-924d-9cd76263cbd0,species,trichanthum,Cremocarpon,,"(Baker) Bremek.","Q730330,Q5171231",1958,,"Candollea 16: 172 1958",,,,,,747849-1,wfo-0000926787,2896825,,
0405c872-8fb2-11eb-924d-9cd76263cbd0,species,cernuum,Cremocephalum,,Cass.,Q958431,1824,,"390 1824",,,,,,,wfo-0000004892,4248863,,
415697b8-8fcd-11eb-924d-9cd76263cbd0,species,meridensis,Cremochilus,,Turcz.,Q2640364,1852,,"Bull. Soc. Imp. Naturalistes Moscou 25(2): 174 1852",,,,,,69274-2,wfo-0000830747,3168728,,
