id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e239476c-8fd1-11eb-924d-9cd76263cbd0,genus,Cryptoceras,,,"Schott & Kotschy","Q112191,Q113299",1854,,"Oesterr. Bot. Wochenbl. 4: 121. 1854.",,,,,,,wfo-4000009875,3234302,,
d792e19c-8fcc-11eb-924d-9cd76263cbd0,species,bracteatum,Cryptoceras,,"(Steph. ex Willd.) Müll.Berol","Q4526859,Q76353",1868,,"Ann. Bot. Syst. 7: 91 1868",,,,,,672583-1,wfo-0000628280,8361894,,
d7931f86-8fcc-11eb-924d-9cd76263cbd0,species,giganteum,Cryptoceras,,Müll.Berol,,1868,,"Ann. Bot. Syst. 7: 91 1868",,,,,,672584-1,wfo-0000628282,8407832,,
d7933d86-8fcc-11eb-924d-9cd76263cbd0,species,longiflorum,Cryptoceras,,Müll.Berol,,1868,,"Ann. Bot. Syst. 7: 91 1868",,,,,,672585-1,wfo-0000628283,8107230,,
d7935de8-8fcc-11eb-924d-9cd76263cbd0,species,modestum,Cryptoceras,,Schott,Q112191,1857,,"Oesterr. Bot. Wochenbl. 7: 150 1857",,,,,,672586-1,wfo-0000628284,5531870,,
d793805c-8fcc-11eb-924d-9cd76263cbd0,species,oppositifolium,Cryptoceras,,Schott,Q112191,1854,,"Oesterr. Bot. Wochenbl. 4: 121 1854",,,,,,672587-1,wfo-0000628285,5531866,,
d793a8a2-8fcc-11eb-924d-9cd76263cbd0,species,pauciflorum,Cryptoceras,,Müll.Berol,,1868,,"Ann. Bot. Syst. 7: 91 1868",,,,,,672588-1,wfo-0000628286,7925558,,
d793e8b2-8fcc-11eb-924d-9cd76263cbd0,species,pulchellum,Cryptoceras,,Schott,Q112191,1857,,"Oesterr. Bot. Wochenbl. 7: 150 1857",,,,,,672589-1,wfo-0000628287,5531858,,
d7941990-8fcc-11eb-924d-9cd76263cbd0,species,purpurans,Cryptoceras,,Schott,Q112191,1857,,"Oesterr. Bot. Wochenbl. 7: 150 1857",,,,,,672590-1,wfo-0000628288,5531853,,
d7945c84-8fcc-11eb-924d-9cd76263cbd0,species,purpurascens,Cryptoceras,,Boiss.,Q34430,1867,,"Fl. Orient. 1: 126 1867",,,,,,672591-1,wfo-0000628289,5531850,,
d7947d86-8fcc-11eb-924d-9cd76263cbd0,species,remotum,Cryptoceras,,Müll.Berol,,1868,,"Ann. Bot. Syst. 7: 91 1868",,,,,,672592-1,wfo-0000628290,7436612,,
d7949c62-8fcc-11eb-924d-9cd76263cbd0,species,rutifolium,Cryptoceras,,Schott,Q112191,1854,,"Oesterr. Bot. Wochenbl. 4: 121 1854",,,,,,672593-1,wfo-0000628291,5531845,,
d794d290-8fcc-11eb-924d-9cd76263cbd0,species,verticillare,Cryptoceras,,Schott,Q112191,1854,,"Oesterr. Bot. Wochenbl. 4: 121 1854",,,,,,672594-1,wfo-0000628293,5531840,,
d794edac-8fcc-11eb-924d-9cd76263cbd0,species,anthonyanus,Cryptocereus,,Alexander,Q1292719,1950,,"Cact. Succ. J. (Los Angeles) 22: 165 1950",,,,,,275356-2,wfo-0000628294,3954380,,
d79507e2-8fcc-11eb-924d-9cd76263cbd0,species,imitans,Cryptocereus,,"(Kimnach & Hutchison) Backeb.","Q6035255,Q13218565,Q61900",1959,,"Cactac.: Handb. Kakteenk. 2: 734 1959",,,,5d25e710-8fcc-11eb-924d-9cd76263cbd0,,71724-2,wfo-0000628295,3954359,,
d79521e6-8fcc-11eb-924d-9cd76263cbd0,species,rosei,Cryptocereus,,"(Kimnach) Backeb.","Q6035255,Q61900",1963,,"Descr. Cact. Nov. 3: 5 1963",,,,e9a664ee-8fcc-11eb-924d-9cd76263cbd0,,71725-2,wfo-0000628296,3954342,,
