id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e23d99c0-8fd1-11eb-924d-9cd76263cbd0,genus,Cryptostemma,,,,,,,,,,,wfo-4000009931,6445812,
5c6c782e-8fb4-11eb-924d-9cd76263cbd0,species,calendula,Cryptostemma,,"(L.) Druce",1914,"416 1914",,,,9197a342-8fba-11eb-924d-9cd76263cbd0,200625-1,wfo-0000063893,5393659,
1c9a25ee-8fb3-11eb-924d-9cd76263cbd0,species,calendulaceum,Cryptostemma,,"(L.) R.Br.",1813,"141 1813",,,,,200626-1,wfo-0000041815,5393669,
910639e4-8fb4-11eb-924d-9cd76263cbd0,species,forbesianum,Cryptostemma,,"(DC.) Harv.",1865,"468 1865",,,,,200627-1,wfo-0000066912,5393651,
6e5bddae-8fb9-11eb-924d-9cd76263cbd0,species,hypochondriacum,Cryptostemma,,R.Br.,1813,"141 1813",,,,,200628-1,wfo-0000118308,5393662,
4425d140-8fb2-11eb-924d-9cd76263cbd0,species,niveum,Cryptostemma,,G.Nicholson,1884,1884,,,,,200629-1,wfo-0000018172,5393653,
a2209fe2-8fbb-11eb-924d-9cd76263cbd0,species,runcinatum,Cryptostemma,,R.Br.,1813,"141 1813",,,,,200630-1,wfo-0000135634,5393668,
c758be06-8fb2-11eb-924d-9cd76263cbd0,species,triste,Cryptostemma,,"(L.) Domin",1923,"124 1923",,,,,,wfo-0000034259,5393660,
9d194b30-8fba-11eb-924d-9cd76263cbd0,species,zeyheri,Cryptostemma,,Beauverd,1915,"53 1915",,,,,200632-1,wfo-0000128057,5701950,
7c082c32-8fcd-11eb-924d-9cd76263cbd0,species,ericaeus,Cryptostemon,,"F.Muell. ex Miq.",1856,"Ned. Kruidk. Arch. 4: 115 1856",,,,,592396-1,wfo-0000933363,3180363,
7c085f9a-8fcd-11eb-924d-9cd76263cbd0,species,fascicularis,Cryptostemon,,"(Rudge) F.Muell. ex Miq.",1856,"Ned. Kruidk. Arch. 4: 115 1856",,,,7e0e3828-8fcd-11eb-924d-9cd76263cbd0,592397-1,wfo-0000933365,3180361,
8f91a4fc-8fb6-11eb-924d-9cd76263cbd0,species,kraussii,Cryptostephane,,Sch.Bip.,1844,"Flora 27 782 1844",,,,,200633-1,wfo-0000090745,3140851,
