id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e240666e-8fd1-11eb-924d-9cd76263cbd0,genus,Ctenopsis,,,Naudin,,1866,,"Ann. Sci. Nat., Bot. , sér. 5, 6: 12 (1866)",,,Q17621119,,,urn:lsid:ipni.org:names:13247-1,wfo-4000009974,,,
d7bc3ef2-8fcc-11eb-924d-9cd76263cbd0,species,cerasiformis,Ctenopsis,,"(Stocks) Naudin",0,1866,,"Ann. Sci. Nat., Bot. , sér. 5, 6: 13 (1866)",,,Q17621119,5f131778-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:292106-1,wfo-0000628566,5536844,,
4f507d8e-8fcd-11eb-924d-9cd76263cbd0,species,cynosuroides,Ctenopsis,,"(Desf.) Paunero ex Romero García",0,1996,,"Lagascalia 18: 321 (1996)",,,,53913046-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:996754-1,wfo-0000860870,5678144,,
4f509f26-8fcd-11eb-924d-9cd76263cbd0,species,delicatula,Ctenopsis,,"(Lag.) Paunero",0,1963,,"Anales Inst. Bot. Cavanilles 21: 365 (1963)",,Q96177841,,5394a1a4-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:396833-1,wfo-0000860871,4140233,,
4f50bf42-8fcd-11eb-924d-9cd76263cbd0,form,breviaristata,Ctenopsis,delicatula,Paunero,0,1963,,"Anales Inst. Bot. Cavanilles 21: 367 1963",,,,,,,wfo-0000860872,5944946,,
4f50e2c4-8fcd-11eb-924d-9cd76263cbd0,form,hirsuta,Ctenopsis,delicatula,"(Henrard) Paunero",0,1963,,"Anales Inst. Bot. Cavanilles 21: 367 1963",,,,,,,wfo-0000860873,5944948,,
4f51086c-8fcd-11eb-924d-9cd76263cbd0,form,quinqueflora,Ctenopsis,delicatula,P.Silva,0,1981,,"Bol. Soc. Brot. , sér. 2.A, 54: 240 (1980-1981 publ. 1981)",,,,,,urn:lsid:ipni.org:names:916220-1,wfo-0000860874,5678143,,
d7bc66b6-8fcc-11eb-924d-9cd76263cbd0,species,garcinii,Ctenopsis,,Naudin,0,1866,,"Ann. Sci. Nat., Bot. , sér. 5, 6: 13 (1866)",,,Q17621119,dd73563c-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:292107-1,wfo-0000628567,,,
4f512cc0-8fcd-11eb-924d-9cd76263cbd0,species,gypsophila,Ctenopsis,,"(Hack.) Paunero",0,1963,,"Anales Inst. Bot. Cavanilles 21: 368 (1963)",,Q96177841,,53c31386-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:396834-1,wfo-0000860875,5678142,,
4f5154a2-8fcd-11eb-924d-9cd76263cbd0,species,patens,Ctenopsis,,"(Boiss.) Melderis",0,1952,,"Ark. Bot. , a.s., 2: 297 (1952)",,,,6b47cef2-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:396835-1,wfo-0000860876,5678141,,
4f517504-8fcd-11eb-924d-9cd76263cbd0,species,pectinella,Ctenopsis,,"(Delile) De Not.",0,1847,,"Index Seminum (GE, Genuensis) 1847: 26 (1847)",,,,542bc55c-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:396836-1,wfo-0000860877,5678140,,
4f51b424-8fcd-11eb-924d-9cd76263cbd0,variety,kralikiana,Ctenopsis,pectinella,Hack.,0,1884,,"Fl. Orient. 5: 631 1884",,,,,,,wfo-0000860879,5944875,,
