id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e2443596-8fd1-11eb-924d-9cd76263cbd0,genus,Culcita,,,C.Presl,,"Tent. Pterid. 135, t. 5, f. 5. 1836.",,,,,17312210-1,wfo-4000010020,7669104,
7af95778-8fbc-11eb-924d-9cd76263cbd0,species,blepharodes,Culcita,,Maxon,,"J. Wash. Acad. Sci. 12. 459. 1922. 1922",,,,,17312220-1,wfo-0000141515,8375399,
ce9e53b8-8fcd-11eb-924d-9cd76263cbd0,species,coniifolia,Culcita,,"(Hook.) Maxon",,"Rep. (Annual) Board Regents Smithsonian Inst. 1911: 488, t. 13C 1912",,,,,17312230-1,wfo-0001112343,8025723,
7b0db074-8fbc-11eb-924d-9cd76263cbd0,species,copelandii,Culcita,,Maxon,,"J. Wash. Acad. Sci. 12. 457. 1922. 1922",,,,,17312240-1,wfo-0000141517,8250065,
ae40e8fc-8fd1-11eb-924d-9cd76263cbd0,species,dubia,Culcita,,"(R.Br.) Maxon",,"J. Wash. Acad. Sci. 12: 458 1922",,,,,17312250-1,wfo-0001221372,7853980,
7b179332-8fbc-11eb-924d-9cd76263cbd0,species,formosae,Culcita,,Maxon,,"J. Wash. Acad. Sci. 12. 456. 1922. 1922",,,,,17312260-1,wfo-0000141518,7671224,
c0578b90-8fd1-11eb-924d-9cd76263cbd0,species,javanica,Culcita,,"(Blume) Maxon",,"J. Wash. Acad. Sci. 12: 456 1922",,,,,17312270-1,wfo-0001254711,7572595,
d0a1edaa-8fcd-11eb-924d-9cd76263cbd0,species,macrocarpa,Culcita,,C.Presl,,"Tent. Pterid. 135, t. 5, f. 5 1836",,,,,17071620-1,wfo-0001116338,8349980,
cfc069f2-8fcd-11eb-924d-9cd76263cbd0,species,novae-guineae,Culcita,,"(Rosenst.) Lellinger",,"Amer. Fern J. 74(2): 56 1984",,,,,17515270-1,wfo-0001114444,3229377,
c14cf9ae-8fd1-11eb-924d-9cd76263cbd0,species,pilosa,Culcita,,"(Copel.) C.Chr.",,"Index Filic., Suppl. 3, 57 1934",,,,,,wfo-0001256565,7882401,
cf8b21b6-8fcd-11eb-924d-9cd76263cbd0,species,schlimensis,Culcita,,Fée,,"Mém. Foug. 10: 47 1865",,,,,,wfo-0001114019,7637086,
c05731c2-8fd1-11eb-924d-9cd76263cbd0,species,straminea,Culcita,,"(Labill.) Maxon",,"J. Wash. Acad. Sci. 12: 457 1922",,,,,17312300-1,wfo-0001254708,7958921,
d04597bc-8fcd-11eb-924d-9cd76263cbd0,species,villosa,Culcita,,C.Chr.,,"Brittonia 2: 283 1937",,,,,17382200-1,wfo-0001115549,7384381,
