id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e2474b6e-8fd1-11eb-924d-9cd76263cbd0,genus,Curatella,,,Loefl.,0,1758,,"Iter Hispan. : 260 (1758)",,,,,,urn:lsid:ipni.org:names:14191-1,wfo-4000010083,7304062,,
d90f295e-8fcc-11eb-924d-9cd76263cbd0,species,alata,Curatella,,Vent.,0,1808,,"Choix Pl. : t. 49 (1808)",,,,,,urn:lsid:ipni.org:names:316543-1,wfo-0000630846,4163489,,
d90f64d2-8fcc-11eb-924d-9cd76263cbd0,species,americana,Curatella,,L.,0,1759,,"Syst. Nat. ed. 10 , 2: 1079 (1759)",,,,,,urn:lsid:ipni.org:names:321019-2,wfo-0000630847,7304064,,
d90f8d22-8fcc-11eb-924d-9cd76263cbd0,variety,pentagyna,Curatella,americana,Donn.Sm.,0,1908,,"Bot. Gaz. 46: 109 (1908)",,Q55758620,Q894627,,,urn:lsid:ipni.org:names:72711-2,wfo-0000630848,4163472,,
b0f5074e-8fcd-11eb-924d-9cd76263cbd0,species,anomola,Curatella,,Taub.,0,,,,,,,,,,wfo-0001045802,7716070,,
d90faa78-8fcc-11eb-924d-9cd76263cbd0,species,cambaiba,Curatella,,A.St.-Hil.,0,1825,,"Pl. Usuel. Bras. : t. 24 (1825)",,,,,,urn:lsid:ipni.org:names:316545-1,wfo-0000630849,8308182,,
d90fc814-8fcc-11eb-924d-9cd76263cbd0,species,coriacea,Curatella,,Benoist,0,1913,,"Bull. Soc. Bot. France 60: 394 (1913)",,Q55757037,Q5735483,,,urn:lsid:ipni.org:names:72712-2,wfo-0000630850,4163453,,
d90fe56a-8fcc-11eb-924d-9cd76263cbd0,species,glabra,Curatella,,"Spruce ex Benth.",0,1861,,"J. Proc. Linn. Soc., Bot. 5: 64 (1860)",,,,,,urn:lsid:ipni.org:names:316547-1,wfo-0000630851,4163447,,
b0f8fe30-8fcd-11eb-924d-9cd76263cbd0,species,glazioviana,Curatella,,Gilg,0,1905,,"Bull. Soc. Bot. France 52(Mém. 3[a]): 9, nomen. 1905",,,Q5735483,,,urn:lsid:ipni.org:names:316548-1,wfo-0001045835,4163443,,
d91002a2-8fcc-11eb-924d-9cd76263cbd0,species,glaziovii,Curatella,,Gilg,0,1898,,"Beibl. Bot. Jahrb. Syst. 60: 25 (1898)",,,,,,urn:lsid:ipni.org:names:72713-2,wfo-0000630852,4163432,,
d9101c7e-8fcc-11eb-924d-9cd76263cbd0,species,grisebachiana,Curatella,,Eichler,0,1863,,"Fl. Bras. 13(1): 69 (1863)",,,Q5460282,,,urn:lsid:ipni.org:names:316550-1,wfo-0000630853,4163425,,
d9103aba-8fcc-11eb-924d-9cd76263cbd0,species,imperialis,Curatella,,"hort. ex Baill.",0,1892,,"Hist. Pl. 11: 296 (1891)",,,,,,urn:lsid:ipni.org:names:316551-1,wfo-0000630854,4163418,,
2fd4dfb8-8fcd-11eb-924d-9cd76263cbd0,species,adansonii,Curcas,,Endl.,0,1842,,"Cat. Horti Vindob. 2: 394 (1842)",,,,,,urn:lsid:ipni.org:names:927876-1,wfo-0000793400,3072954,,
2fd4fa7a-8fcd-11eb-924d-9cd76263cbd0,species,cuneifolia,Curcas,,Baill.,0,1858,,"Étude Euphorb. : 315 (1858)",,,,,,urn:lsid:ipni.org:names:343845-1,wfo-0000793401,3072872,,
2fd5149c-8fcd-11eb-924d-9cd76263cbd0,species,curcas,Curcas,,"Britton & Millsp.",0,1920,,"Bahama Fl. : 225 (1920)",,,,d29418ca-8fca-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:72714-2,wfo-0000793402,3072955,,
2fd52f04-8fcd-11eb-924d-9cd76263cbd0,species,drastica,Curcas,,Mart.,0,1829,,"Hort. Reg. Monac. : 50 (1829)",,,,,,urn:lsid:ipni.org:names:927769-1,wfo-0000793403,3072960,,
2fd54a3e-8fcd-11eb-924d-9cd76263cbd0,species,hernandiifolius,Curcas,,Britton,0,1924,,"Sci. Surv. Porto Rico & Virgin Islands 5: 484 (1924)",,,,d80621d6-8fca-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:72715-2,wfo-0000793404,3072757,,
2fd5644c-8fcd-11eb-924d-9cd76263cbd0,species,indica,Curcas,,A.Rich.,0,1850,,"Hist. Fis. Cuba, Bot. 11: 208 (1850)",,,,,,urn:lsid:ipni.org:names:343848-1,wfo-0000793405,3072956,,
2fd580a8-8fcd-11eb-924d-9cd76263cbd0,species,lobata,Curcas,,"Splitg. ex Lanj.",0,1931,,"Euphorb. Surinam : 154 (1931)",,,,,,urn:lsid:ipni.org:names:343849-1,wfo-0000793406,3072961,,
2fd5b596-8fcd-11eb-924d-9cd76263cbd0,species,peltatum,Curcas,,Baill.,0,1858,,"Étude Euphorb. : 315 (1858)",,,,,,urn:lsid:ipni.org:names:343850-1,wfo-0000793408,3072760,,
2fd5cef0-8fcd-11eb-924d-9cd76263cbd0,species,portoricensis,Curcas,,Baill.,0,1858,,"Étude Euphorb. : 314 (1858)",,,,,,urn:lsid:ipni.org:names:343851-1,wfo-0000793409,3072756,,
2fd5eac0-8fcd-11eb-924d-9cd76263cbd0,species,purgans,Curcas,,Medik.,0,1787,,"Malvenfam. : 119 (1787)",,,,,,urn:lsid:ipni.org:names:343852-1,wfo-0000793410,3072963,,
