id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e24b088a-8fd1-11eb-924d-9cd76263cbd0,genus,Cyamopsis,,,DC.,Q123057,,,,,,,,,22155-1,wfo-4000010138,2946176,,
d12c3ae0-8fc4-11eb-924d-9cd76263cbd0,species,dentata,Cyamopsis,,"(N.E.Br.) Torre","Q721850,Q19060927",,,,,,,,,,wfo-0000189945,2946179,,
ea38512e-8fc7-11eb-924d-9cd76263cbd0,species,psoralioides,Cyamopsis,,"(Lam.) DC.","Q82122,Q123057",,,,,,,,,,wfo-0000205117,2946188,,
681f7bb0-8fc5-11eb-924d-9cd76263cbd0,species,psoraloides,Cyamopsis,,DC.,Q123057,,,,,,,,,,wfo-0000192895,2946177,,
d23c7d5a-8fc4-11eb-924d-9cd76263cbd0,species,senegalensis,Cyamopsis,,"Guill. & Perr.","Q532500,Q973709",,,,,,,,,,wfo-0000189967,2946190,,
b7eebbbc-8fcd-11eb-924d-9cd76263cbd0,variety,stenophylla,Cyamopsis,senegalensis,Bonnet,Q5818752,1911,,"Bull. Soc. Bot. France 58, mem. 20: 6 1911",,,,,,,wfo-0001061710,7963946,,
d3265d62-8fc4-11eb-924d-9cd76263cbd0,species,serrata,Cyamopsis,,Schinz,Q124491,,,,,,,,,,wfo-0000189986,2946181,,
d2c37ac6-8fc4-11eb-924d-9cd76263cbd0,species,stenophylla,Cyamopsis,,"(Bonnet) A.Chev.","Q5818752,Q766644",,,,,,,b7eebbbc-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000189978,2946191,,
d3a2011a-8fc4-11eb-924d-9cd76263cbd0,species,tetragonoloba,Cyamopsis,,"(L.) Taub.","Q1043,Q4452735",,,,,,,5585e376-8fc6-11eb-924d-9cd76263cbd0,,,wfo-0000189996,2946183,,
d92011a6-8fcc-11eb-924d-9cd76263cbd0,species,flavicomus,Cyamus,,Salisb.,Q1358261,1805,,"Ann. Bot. (König & Sims) 2: 75 1805",,,,,,605340-1,wfo-0000630964,7926140,,
d9202dd0-8fcc-11eb-924d-9cd76263cbd0,species,luteus,Cyamus,,"(Willd.) Nutt.","Q76353,Q728337",1818,,"Gen. N. Amer. Pl. 2: 25 1818",,,,,,605341-1,wfo-0000630965,8083595,,
d9204b58-8fcc-11eb-924d-9cd76263cbd0,species,mysticus,Cyamus,,Salisb.,Q1358261,1805,,"Ann. Bot. (König & Sims) 2: 75 1805",,,,,,605342-1,wfo-0000630966,7886485,,
d92067e6-8fcc-11eb-924d-9cd76263cbd0,species,nelumbo,Cyamus,,Sm.,Q458004,1805,,"Exot. Bot. 1: 59 1805",,,,,,,wfo-0000630967,8372664,,
d920a738-8fcc-11eb-924d-9cd76263cbd0,species,pentapetalus,Cyamus,,"(Walter) Pursh","Q1366734,Q67353",1813,,"Fl. Amer. Sept. 2: 398 1813",,,,,,605344-1,wfo-0000630968,7613515,,
d9210610-8fcc-11eb-924d-9cd76263cbd0,species,reniformis,Cyamus,,Pursh,Q67353,1813,,"Fl. Amer. Sept. 2: 398 1813",,,,,,605345-1,wfo-0000630969,7593148,,
