id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e268c730-8fd1-11eb-924d-9cd76263cbd0,genus,Cyrtandropsis,,,Lauterb.,0,1910,,"Nova Guinea 8: 331 (1910)",,,,,,urn:lsid:ipni.org:names:16984-1,wfo-4000010507,3823529,,
dc1b4132-8fcc-11eb-924d-9cd76263cbd0,species,acutiserrata,Cyrtandropsis,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 378 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380087-1,wfo-0000636150,3823704,,
dc1b60c2-8fcc-11eb-924d-9cd76263cbd0,species,bismarckiensis,Cyrtandropsis,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 375 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380088-1,wfo-0000636151,3823695,,
dc1b7d00-8fcc-11eb-924d-9cd76263cbd0,species,congesta,Cyrtandropsis,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 372 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380089-1,wfo-0000636152,3823682,,
dc1b96dc-8fcc-11eb-924d-9cd76263cbd0,species,djamuensis,Cyrtandropsis,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 374 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380090-1,wfo-0000636153,3823672,,
dc1bb2c0-8fcc-11eb-924d-9cd76263cbd0,species,epiphytica,Cyrtandropsis,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 375 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380091-1,wfo-0000636154,3823662,,
dc1bcecc-8fcc-11eb-924d-9cd76263cbd0,species,finisterrae,Cyrtandropsis,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 369 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380092-1,wfo-0000636155,3823650,,
dc1beb32-8fcc-11eb-924d-9cd76263cbd0,species,inflata,Cyrtandropsis,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 377 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380093-1,wfo-0000636156,3823640,,
dc1c1ae4-8fcc-11eb-924d-9cd76263cbd0,species,kaululuensis,Cyrtandropsis,,Hochr.,0,1934,,"Candollea 5: 215 (1934)",,,,,,urn:lsid:ipni.org:names:380094-1,wfo-0000636157,3823632,,
dc1c3e3e-8fcc-11eb-924d-9cd76263cbd0,species,ledermannii,Cyrtandropsis,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 371 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380095-1,wfo-0000636158,3823621,,
dc1cb83c-8fcc-11eb-924d-9cd76263cbd0,species,longifolia,Cyrtandropsis,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 377 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380096-1,wfo-0000636160,3823612,,
dc1cf52c-8fcc-11eb-924d-9cd76263cbd0,species,macrophylla,Cyrtandropsis,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 374 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380097-1,wfo-0000636161,3823601,,
dc1d146c-8fcc-11eb-924d-9cd76263cbd0,species,monoica,Cyrtandropsis,,Lauterb.,0,1910,,"Nova Guinea 8: 331 (1910)",,,,,,urn:lsid:ipni.org:names:380098-1,wfo-0000636162,3823593,,
dc1d2f6a-8fcc-11eb-924d-9cd76263cbd0,species,nabirensis,Cyrtandropsis,,"Kaneh. & Hatus.",0,1943,,"Bot. Mag. (Tokyo) 57: 123 (1943)",,Q55762883,Q2269599,,,urn:lsid:ipni.org:names:380099-1,wfo-0000636163,3823584,,
dc1d49a0-8fcc-11eb-924d-9cd76263cbd0,species,oreogiton,Cyrtandropsis,,"(K.Schum.) Schltr.",0,1923,,"Bot. Jahrb. Syst. 58: 374 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380100-1,wfo-0000636164,3823570,,
dc1d64da-8fcc-11eb-924d-9cd76263cbd0,species,phaeotricha,Cyrtandropsis,,Schltr.,0,1923,,"Bot. Jahrb. Syst. 58: 371 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:380101-1,wfo-0000636165,3823561,,
47e530c2-1d4d-11ec-82c2-f14daa6f2d93,species,sphaerocalyx,Cyrtandropsis,,"(K.Schum.) Schltr.",,1923,,"Bot. Jahrb. Syst. 58: 376 (1923)",,,Q5732642,,,urn:lsid:ipni.org:names:60461035-2,wfo-0001329572,,,
58d3ec52-1d4d-11ec-82c2-f14daa6f2d93,species,staurophylla,Cyrtandropsis,,"C.B.Clarke ex DC.",,1883,,"Monogr. Phan. [A.DC. & C.DC.] 5(1): 137, in syn. 1883 [Jul 1883]",,,,,,urn:lsid:ipni.org:names:380102-1,wfo-0001352166,,,
