id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a0ebb172-9bad-11eb-a8a2-19ed5c03f8d3,genus,Cytodiplospora,,,Oudem.,,1894,,"Hedwigia 33: 19 (1894)",,,,a0ebb172-9bad-11eb-a8a2-19ed5c03f8d3,,,,,7896," "
514f9170-9bac-11eb-a8a2-19ed5c03f8d3,species,abietis,Cytodiplospora,,Naumov,,,,,,,,514f9170-9bac-11eb-a8a2-19ed5c03f8d3,,,,,232871," "
7ce7e70a-9bad-11eb-a8a2-19ed5c03f8d3,species,aceris,Cytodiplospora,,Oudem.,,1901,,"Contrib. Flora Mycol. d. Pays-Bas 7: 266 (1901)",,,,7ce7e70a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,232549," "
d62ad6a2-9bac-11eb-a8a2-19ed5c03f8d3,species,alhagi,Cytodiplospora,,"S. Ahmad",,,,,,,,d62ad6a2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,260019," Cytodiplospora alhaginis"
29bb0a1c-9bad-11eb-a8a2-19ed5c03f8d3,species,alhaginis,Cytodiplospora,,"S. Ahmad",,1971,,"Biologia, Lahore 17(2): 71 (1971)",,,,29bb0a1c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,344357," alhagi"
78cf093c-9bad-11eb-a8a2-19ed5c03f8d3,species,betulae,Cytodiplospora,,Oudem.,,,,,,,,78cf093c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,216126," "
ea045892-9bac-11eb-a8a2-19ed5c03f8d3,species,caricicola,Cytodiplospora,,Unamuno,,,,,,,,ea045892-9bac-11eb-a8a2-19ed5c03f8d3,,,,,285961," "
759502fa-9bab-11eb-a8a2-19ed5c03f8d3,species,castaneae,Cytodiplospora,,Oudem.,,1894,,"Hedwigia 33: (1894)",,,,759502fa-9bab-11eb-a8a2-19ed5c03f8d3,,,,,216031," "
79eeb812-9bad-11eb-a8a2-19ed5c03f8d3,species,disciformis,Cytodiplospora,,Sacc.,,,,,,,,79eeb812-9bad-11eb-a8a2-19ed5c03f8d3,,,,,216174," "
4e5b7c4a-9bac-11eb-a8a2-19ed5c03f8d3,species,elymina,Cytodiplospora,,Davis,,1919,,"Trans. Wis. Acad. Sci. Arts Lett. 19(2): 701 (1919)",,,,4e5b7c4a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,227345," "
4dfea6e6-9bac-11eb-a8a2-19ed5c03f8d3,species,hedysari,Cytodiplospora,,Garb.,,1923,,"Bull. Soc. mycol. Fr. 39: 249 (1923)",,,,4dfea6e6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,226706," "
1fd3384a-9bac-11eb-a8a2-19ed5c03f8d3,species,mori,Cytodiplospora,,"I. Miyake",,,,,,,,1fd3384a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,227101," "
1fcb290c-9bac-11eb-a8a2-19ed5c03f8d3,species,parallela,Cytodiplospora,,Dearn.,,,,,,,,1fcb290c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,226780," "
4e3e5c78-9bac-11eb-a8a2-19ed5c03f8d3,species,rhois,Cytodiplospora,,Sacc.,,1906,,"Annls mycol. 4(6): 492 (1906)",,,,4e3e5c78-9bac-11eb-a8a2-19ed5c03f8d3,,,,,227178," "
78419734-9bab-11eb-a8a2-19ed5c03f8d3,species,robiniae,Cytodiplospora,,Bubák,,,,,,,,78419734-9bab-11eb-a8a2-19ed5c03f8d3,,,,,226567," "
4e2912f0-9bac-11eb-a8a2-19ed5c03f8d3,species,saccardiana,Cytodiplospora,,Peyronel,,,,,,,,4e2912f0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,227023," "
f7148e26-9bac-11eb-a8a2-19ed5c03f8d3,species,silvatica,Cytodiplospora,,Sacc.,,,,,,,,f7148e26-9bac-11eb-a8a2-19ed5c03f8d3,,,,,227276," "
0497494e-9bad-11eb-a8a2-19ed5c03f8d3,species,tiliae,Cytodiplospora,,Oudem.,,,,,,,,0497494e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,226656," "
