id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e270d72c-8fd1-11eb-924d-9cd76263cbd0,genus,Dacrycarpus,,,"(Endl.) de Laub.",,1969,,"J. Arnold Arbor. 50: 315. 1969.",,Q100552276,,,,32173-1,wfo-4000010606,2687812,,
dc5e2498-8fcc-11eb-924d-9cd76263cbd0,species,cinctus,Dacrycarpus,,"(Pilg.) de Laub.",,1969,,"J. Arnold Arbor. 50: 322 1969",,Q100552276,,7b151d54-8fcc-11eb-924d-9cd76263cbd0,,687943-1,wfo-0000636630,2687824,,
dc5e42a2-8fcc-11eb-924d-9cd76263cbd0,species,compactus,Dacrycarpus,,"(Wasscher) de Laub.",,1969,,"J. Arnold Arbor. 50: 336 1969",,Q100552276,,7b1726b2-8fcc-11eb-924d-9cd76263cbd0,,687944-1,wfo-0000636631,2687866,,
dc5e6656-8fcc-11eb-924d-9cd76263cbd0,species,cumingii,Dacrycarpus,,"(Parl.) de Laub.",,1969,,"J. Arnold Arbor. 50: 329 1969",,Q100552276,,80555ac2-8fcc-11eb-924d-9cd76263cbd0,,687945-1,wfo-0000636632,2687830,,
dc5ebebc-8fcc-11eb-924d-9cd76263cbd0,species,dacrydiifolius,Dacrycarpus,,"(Wasscher) Gaussen",,1974,,"Trav. Lab. Forest. Toulouse 1(2): 148 1974",,,,7b135e42-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0000636633,7983162,,
dc5efa08-8fcc-11eb-924d-9cd76263cbd0,species,dacrydioides,Dacrycarpus,,"(A.Rich.) de Laub.",,1969,,"J. Arnold Arbor. 50: 337 1969",,Q100552276,,8054e560-8fcc-11eb-924d-9cd76263cbd0,,687947-1,wfo-0000636634,2687859,,
dc5f1f6a-8fcc-11eb-924d-9cd76263cbd0,species,expansus,Dacrycarpus,,"de Laub.",,1969,,"J. Arnold Arbor. 50: 334 1969",,Q100552276,,,,687948-1,wfo-0000636635,2687821,,
dc5f415c-8fcc-11eb-924d-9cd76263cbd0,species,imbricatus,Dacrycarpus,,"(Blume) de Laub.",,1969,,"J. Arnold Arbor. 50: 317 1969",,Q100552276,,8069c4e4-8fcc-11eb-924d-9cd76263cbd0,,687949-1,wfo-0000636636,2687843,,
dc5f611e-8fcc-11eb-924d-9cd76263cbd0,variety,curvulus,Dacrycarpus,imbricatus,"(Miq.) de Laub.",,1969,,"J. Arnold Arbor. 50: 326 1969",,,,15527c86-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000636637,2687848,,
dc5f9c74-8fcc-11eb-924d-9cd76263cbd0,variety,patulus,Dacrycarpus,imbricatus,"de Laub.",,1969,,"J. Arnold Arbor. 50: 320 1969",,,,,,,wfo-0000636639,2687854,,
dc5fc032-8fcc-11eb-924d-9cd76263cbd0,variety,robustus,Dacrycarpus,imbricatus,"de Laub.",,1969,,"J. Arnold Arbor. 50: 323 1969",,,,,,,wfo-0000636640,2687844,,
dc5fef1c-8fcc-11eb-924d-9cd76263cbd0,species,kawaii,Dacrycarpus,,"(Hayata) Gaussen",,1974,,"Trav. Lab. Forest. Toulouse 1(2): 140 1974",,,,,,,wfo-0000636641,2687855,,
dc60141a-8fcc-11eb-924d-9cd76263cbd0,species,kinabaluensis,Dacrycarpus,,"(Wasscher) de Laub.",,1969,,"J. Arnold Arbor. 50: 330 1969",,Q100552276,,15524446-8fcd-11eb-924d-9cd76263cbd0,,687951-1,wfo-0000636642,2687816,,
dc602ffe-8fcc-11eb-924d-9cd76263cbd0,species,leptophyllus,Dacrycarpus,,"(Wasscher) Gaussen",,1974,,"Trav. Lab. Forest. Toulouse 1(2): 150 1974",,,,7b0a0ea0-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0000636643,2687678,,
dc604bd8-8fcc-11eb-924d-9cd76263cbd0,species,papuana,Dacrycarpus,,"(Ridl.) Gaussen",,1974,,"Trav. Lab. Forest. Toulouse 1(2): 142 1974",,,,,,,wfo-0000636644,2687846,,
dc6067b2-8fcc-11eb-924d-9cd76263cbd0,species,steupii,Dacrycarpus,,"(Wasscher) de Laub.",,1969,,"J. Arnold Arbor. 50: 328 1969",,Q100552276,,7b0fb666-8fcc-11eb-924d-9cd76263cbd0,,687954-1,wfo-0000636645,11104481,,
dc60845e-8fcc-11eb-924d-9cd76263cbd0,species,vieillardii,Dacrycarpus,,"(Parl.) de Laub.",,1969,,"J. Arnold Arbor. 50: 326 1969",,Q100552276,,,,687955-1,wfo-0000636646,2687835,,
