id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e27dc6b2-8fd1-11eb-924d-9cd76263cbd0,genus,Darlingtonia,,,Torr.,Q1346660,1853,,"Smithsonian Contr. Knowl. 6(4): 4–7, pl. 12. 1853.",,,,,,331544-2,wfo-4000010783,3032918,,
460eee58-8fc4-11eb-924d-9cd76263cbd0,species,brachyloba,Darlingtonia,,"(Willd.) DC.","Q76353,Q123057",,,,,,,45d896aa-8fc4-11eb-924d-9cd76263cbd0,,,wfo-0000187335,5360118,,
46734b5a-8fc4-11eb-924d-9cd76263cbd0,variety,glandulosa,Darlingtonia,brachyloba,"(Michx.) Torr. & A.Gray","Q521848,Q1346660,Q347356",,,,,,,,,,wfo-0000187340,5360117,,
46217dd4-8fc4-11eb-924d-9cd76263cbd0,variety,illinoensis,Darlingtonia,brachyloba,"(Michx.) Torr. & A.Gray","Q521848,Q1346660,Q347356",,,,,,,b2d66abe-8fc1-11eb-924d-9cd76263cbd0,,,wfo-0000187336,5360113,,
46fb30a6-8fc4-11eb-924d-9cd76263cbd0,variety,intermedia,Darlingtonia,brachyloba,"(Torr.) Torr. & A.Gray","Q1346660,Q347356",,,,,,,,,,wfo-0000187347,5360121,,
dd30e928-8fcc-11eb-924d-9cd76263cbd0,species,brevifolia,Darlingtonia,,Raf.,Q364857,1836,,"New Fl. 1: 42 1836",,,,,,491001-1,wfo-0000638156,5626454,,
dd310a52-8fcc-11eb-924d-9cd76263cbd0,species,californica,Darlingtonia,,Torr.,Q1346660,1854,,"Smithsonian Contr. Knowl. 6: 5 1854",,,,,,,wfo-0000638157,5939805,,
4660f6bc-8fc4-11eb-924d-9cd76263cbd0,species,glandulosa,Darlingtonia,,"(Michx.) DC.","Q521848,Q123057",,,,,,,,,,wfo-0000187339,5360119,,
dd3126ae-8fcc-11eb-924d-9cd76263cbd0,species,illinoensis,Darlingtonia,,"(Michx.) DC. ex Torr.","Q521848,Q123057,Q1346660",1828,,"Ann. Lyceum Nat. Hist. New York 2: 191 1828",,,,b2d66abe-8fc1-11eb-924d-9cd76263cbd0,,491004-1,wfo-0000638158,5634419,,
46e8b6a6-8fc4-11eb-924d-9cd76263cbd0,species,intermedia,Darlingtonia,,Torr.,Q1346660,,,,,,,,,,wfo-0000187346,5360114,,
dd3144d6-8fcc-11eb-924d-9cd76263cbd0,species,rediviva,Darlingtonia,,Torr.,Q1346660,1851,,"Proc. Amer. Assoc. Advancem. Sci. 4: 191 1851",,,,,,76773-2,wfo-0000638159,3032934,,
dd316196-8fcc-11eb-924d-9cd76263cbd0,species,virgata,Darlingtonia,,Raf.,Q364857,1836,,"New Fl. 1: 43 1836",,,,,,491006-1,wfo-0000638160,5634413,,
