id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e29bcf5e-8fd1-11eb-924d-9cd76263cbd0,genus,Deschampsia,,,P.Beauv.,0,1812,,"Ess. Agrostogr. : 91 (1812)",,,,,,urn:lsid:ipni.org:names:325390-2,wfo-4000011182,2703131,,
500e944a-8fcd-11eb-924d-9cd76263cbd0,species,aciphylla,Deschampsia,,Speg.,0,1896,,"Anales Mus. Nac. Buenos Aires 5: 89 (1896)",,,,47e02ff4-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:78047-2,wfo-0000862404,4145017,,
500eaffc-8fcd-11eb-924d-9cd76263cbd0,variety,pumila,Deschampsia,aciphylla,Macloskie,0,1904,,"Rep. Princeton Univ. Exped. Patagonia, Botany 8(1): 200 (1904)",,,,,,urn:lsid:ipni.org:names:78048-2,wfo-0000862405,4145016,,
500eca00-8fcd-11eb-924d-9cd76263cbd0,species,aenea,Deschampsia,,"Trin. ex Ledeb.",0,1852,,"Fl. Ross. (Ledeb.) 4(13): 421. 1852 [Sep 1852]",,,,,,urn:lsid:ipni.org:names:397917-1,wfo-0000862406,4145005,,
500ee378-8fcd-11eb-924d-9cd76263cbd0,species,agrostoidea,Deschampsia,,Raspail,0,1825,,"Ann. Sci. Nat. (Paris) 5: 445 (1825)",,,,5db10038-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:397918-1,wfo-0000862407,5945872,,
500efdcc-8fcd-11eb-924d-9cd76263cbd0,species,airiformis,Deschampsia,,"Benth. & Hook.f.",0,1893,,"Index Kew. 1: 735 (1893)",,,,47111160-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:397919-1,wfo-0000862408,4144978,,
500f1a1e-8fcd-11eb-924d-9cd76263cbd0,species,alba,Deschampsia,,"Roem. & Schult.",0,1817,,"Syst. Veg., ed. 15 bis 2: 688 (1817)",,,,,,urn:lsid:ipni.org:names:397921-1,wfo-0000862409,4144971,,
500f3436-8fcd-11eb-924d-9cd76263cbd0,species,aleutica,Deschampsia,,"Tatew. & Ohwi",0,1934,,"J. Fac. Agric. Hokkaido Imp. Univ. 36: 95 (1934)",,,,,,urn:lsid:ipni.org:names:78049-2,wfo-0000862410,4144957,,
500f5038-8fcd-11eb-924d-9cd76263cbd0,species,alpicola,Deschampsia,,Rydb.,0,1905,,"Bull. Torrey Bot. Club 32: 601 (1905)",,Q55766747,Q13548538,,,urn:lsid:ipni.org:names:78050-2,wfo-0000862411,4144942,,
500f69b0-8fcd-11eb-924d-9cd76263cbd0,species,alpigena,Deschampsia,,Schur,0,1859,,"Oesterr. Bot. Z. 9: 326 (1859)",,Q101102704,,,,urn:lsid:ipni.org:names:397924-1,wfo-0000862412,4144931,,
