id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9c7b0caa-9bad-11eb-a8a2-19ed5c03f8d3,genus,Didymellina,,,Höhn.,0,1918,,"Annls mycol. 16(1/2): 66 (1918)",,,,9c7b0caa-9bad-11eb-a8a2-19ed5c03f8d3,,,,,1549," "
bc8e2744-9bac-11eb-a8a2-19ed5c03f8d3,species,dianthi,Didymellina,,"C.C. Burt",,1936,,"Trans. Br. mycol. Soc. 20: 214 (1936)",,,,bc8e2744-9bac-11eb-a8a2-19ed5c03f8d3,,,,,263108," "
10fa68b6-9bac-11eb-a8a2-19ed5c03f8d3,species,intermedia,Didymellina,,Cif.,0,,,,,,,10fa68b6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,296693," "
6818151c-9bac-11eb-a8a2-19ed5c03f8d3,species,iridis,Didymellina,,"(Desm.) Höhn.",0,1918,,"Annls mycol. 16(1/2): 66 (1918)",,,,6850ccae-9bac-11eb-a8a2-19ed5c03f8d3,,,,,154859," "
b96b5e6a-9bac-11eb-a8a2-19ed5c03f8d3,species,lethalis,Didymellina,,"(R. Stone) Höhn.",0,1918,,"Annls mycol. 16(1/2): 67 (1918)",,,,7c57402a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,502177," "
dddcdd78-9bac-11eb-a8a2-19ed5c03f8d3,species,macrospora,Didymellina,,Kleb.,0,1924,,"Ber. dt. bot. Ges., Sonder. 42: 60 (1924)",,,,dddcdd78-9bac-11eb-a8a2-19ed5c03f8d3,,,,,270172," "
ea2b849e-9bac-11eb-a8a2-19ed5c03f8d3,species,ornithogali,Didymellina,,"J.E. Jacques",,,,,,,,ea2b849e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,286117," "
620e0992-9bac-11eb-a8a2-19ed5c03f8d3,species,phaseolicola,Didymellina,,Höhn.,0,1918,,"Annls mycol. 16: 67 (1918)",,,,620e0992-9bac-11eb-a8a2-19ed5c03f8d3,,,,,508096," "
77821aa2-9bac-11eb-a8a2-19ed5c03f8d3,species,pinodes,Didymellina,,"(Berk. & A. Bloxam) Höhn.",0,1918,,"Annls mycol. 16: 67 (1918)",,,,5b6a41d2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,416349," "
e198d5ac-9bac-11eb-a8a2-19ed5c03f8d3,species,poecilospora,Didymellina,,McWhorter,,,,,,,,e198d5ac-9bac-11eb-a8a2-19ed5c03f8d3,,,,,274844," "
56b07210-9bac-11eb-a8a2-19ed5c03f8d3,species,rhaphithamni,Didymellina,,Keissl.,0,,,,,,,56b07210-9bac-11eb-a8a2-19ed5c03f8d3,,,,,154485," "
