id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9eaf8fdc-9bad-11eb-a8a2-19ed5c03f8d3,genus,Dimorphocystis,,,Corner,Q4233315,1950,,"Ann. Bot. Mem. 1: 400, 695 (1950)",,,,9eaf8fdc-9bad-11eb-a8a2-19ed5c03f8d3,,,,,17514," "
298e0f76-9bad-11eb-a8a2-19ed5c03f8d3,species,capitata,Dimorphocystis,,Corner,Q4233315,1950,,"Ann. Bot. Mem. 1: 695 (1950)",,,,298e0f76-9bad-11eb-a8a2-19ed5c03f8d3,,,,,344094," capitatus"
d7126f4e-9bac-11eb-a8a2-19ed5c03f8d3,species,capitatus,Dimorphocystis,,Corner,Q4233315,,,,,,,d7126f4e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,261143," Dimorphocystis capitata"
612f512a-9bac-11eb-a8a2-19ed5c03f8d3,species,laevis,Dimorphocystis,,Corner,Q4233315,1950,,"Monograph of Clavaria and allied Genera (Annals of Botany Memoirs No. 1) 695 (1950)",,,,612f512a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,296776," "
298ef0a8-9bad-11eb-a8a2-19ed5c03f8d3,species,subcapitata,Dimorphocystis,,Corner,Q4233315,1950,,"Ann. Bot. Mem. 1: 695 (1950)",,,,298ef0a8-9bad-11eb-a8a2-19ed5c03f8d3,,,,,344095," subcapitatus"
d712a482-9bac-11eb-a8a2-19ed5c03f8d3,species,subcapitatus,Dimorphocystis,,Corner,Q4233315,,,,,,,d712a482-9bac-11eb-a8a2-19ed5c03f8d3,,,,,261144," Dimorphocystis subcapitata"
894ac256-8fb4-11eb-924d-9cd76263cbd0,species,anethifolia,Dimorpholepis,,"(DC.) R.M.King & H.Rob.","Q123057,Q2854893,Q2100759",1971,,"Phytologia 22 119 1971",,,,,,80442-2,wfo-0000066490,5398437,,
a99fc3c8-8fb2-11eb-924d-9cd76263cbd0,species,australis,Dimorpholepis,,A.Gray,Q347356,1852,,"Hooker's J. Bot. Kew Gard. Misc. 4 227 1852",,,,,,201446-1,wfo-0000031152,5386298,,
fe1bf6c0-8fb1-11eb-924d-9cd76263cbd0,species,coriacea,Dimorpholepis,,"R.M.King & H.Rob.","Q2854893,Q2100759",1971,,"Phytologia 22: 119 (1971)",,,,,,80443-2,wfo-0000001260,5404780,,
a6ccebda-8fb2-11eb-924d-9cd76263cbd0,species,gaudichaudeana,Dimorpholepis,,"(DC.) R.M.King & H.Rob.","Q123057,Q2854893,Q2100759",1971,,"Phytologia 22 119 1971",,,,,,80444-2,wfo-0000030839,5404099,,
248385c2-8fbb-11eb-924d-9cd76263cbd0,species,grazielae,Dimorpholepis,,"R.M.King & H.Rob.","Q2854893,Q2100759",1971,,"Phytologia 22 119 1971",,,,,,297832-2,wfo-0000132046,5404096,,
0af25748-8fb9-11eb-924d-9cd76263cbd0,species,intermedia,Dimorpholepis,,"(DC.) R.M.King & H.Rob.","Q123057,Q2854893,Q2100759",1971,,"Phytologia 22 119 1971",,,,,,80445-2,wfo-0000114888,5404106,,
290d5580-8fb3-11eb-924d-9cd76263cbd0,species,mollissima,Dimorpholepis,,"(Sch.Bip. ex Baker) R.M.King & H.Rob.","Q65685,Q730330,Q2854893,Q2100759",1971,,"Phytologia 22 119 1971",,,,0a409212-8fb2-11eb-924d-9cd76263cbd0,,80446-2,wfo-0000042868,5404101,,
e85bf128-8fbb-11eb-924d-9cd76263cbd0,species,multifida,Dimorpholepis,,"(DC.) R.M.King & H.Rob.","Q123057,Q2854893,Q2100759",1971,,"Phytologia 22 119 1971",,,,,,80447-2,wfo-0000137537,5402963,,
3e591844-8fb7-11eb-924d-9cd76263cbd0,species,nummularia,Dimorpholepis,,"(Hook. & Arn.) R.M.King & H.Rob.","Q472639,Q730292,Q2854893,Q2100759",1971,,"Phytologia 22 119 1971",,,,18fe8750-8fb2-11eb-924d-9cd76263cbd0,,80448-2,wfo-0000097820,5404103,,
677bfcf8-8fb9-11eb-924d-9cd76263cbd0,species,serrata,Dimorpholepis,,"(Spreng.) R.M.King & H.Rob.","Q62829,Q2854893,Q2100759",1971,,"Phytologia 22 119 1971",,,,,,80449-2,wfo-0000118082,5402925,,
