id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e2d4809c-8fd1-11eb-924d-9cd76263cbd0,genus,Diphasium,,,,,,,,,,,wfo-4000011897,7286484,
cd9bef20-8fcd-11eb-924d-9cd76263cbd0,species,alpinum,Diphasium,,"(L.) Rothm.",,"Feddes Repert. Spec. Nov. Regni Veg. 54: 65 1944",,,,,81301-2,wfo-0001110250,2688419,
d19aba2a-8fcd-11eb-924d-9cd76263cbd0,species,anceps,Diphasium,,"Á.Löve & D.Löve",,"Nucleus 1(1): 7 1958",,,,,,wfo-0001118455,2688425,
d3eb2ba2-8fcd-11eb-924d-9cd76263cbd0,species,carolinum,Diphasium,,Lawalrée,,"Bull. Soc. Naturalistes Luxembourg. 76/1971/1: 3 1972",,,,,77100562-1,wfo-0001123633,8397977,
d19ad41a-8fcd-11eb-924d-9cd76263cbd0,species,chamaecyparissus,Diphasium,,"(A.Braun ex Mutel) Á.Löve & D.Löve",,"Bot. Not. 114: 34 1961",,,,,17435320-1,wfo-0001118456,3990967,
cd9c279c-8fcd-11eb-924d-9cd76263cbd0,species,complanatum,Diphasium,,"(L.) Rothm.",,"Feddes Repert. Spec. Nov. Regni Veg. 54: 64 1944",,,,,81303-2,wfo-0001110252,2688426,
d19af08a-8fcd-11eb-924d-9cd76263cbd0,subspecies,chamaecyparissus,Diphasium,complanatum,Kukkonen,,,,,,,,wfo-0001118457,7794128,
d19b0ade-8fcd-11eb-924d-9cd76263cbd0,subspecies,montellii,Diphasium,complanatum,Kukkonen,,"Ann. Bot. Fenn. 7: 142 1970",,,,,81526-2,wfo-0001118458,8042767,
d19b26ae-8fcd-11eb-924d-9cd76263cbd0,subspecies,zeileri,Diphasium,complanatum,Pacyna,,,,,,,,wfo-0001118459,,
d00abb4c-8fcd-11eb-924d-9cd76263cbd0,species,flabelliforme,Diphasium,,Rothm.,,"Feddes Repert. Spec. Nov. Regni Veg. 66: 235 1962",,,,,81305-2,wfo-0001115038,3990918,
d19b401c-8fcd-11eb-924d-9cd76263cbd0,species,hastulatum,Diphasium,,Sipliv.,,,,,,,,wfo-0001118460,3990954,
d00b02a0-8fcd-11eb-924d-9cd76263cbd0,species,issleri,Diphasium,,Holub,,,,,,,,wfo-0001115039,2688439,
d1ef1bf6-8fcd-11eb-924d-9cd76263cbd0,species,jussiaei,Diphasium,,"(Desv. ex Poir.) Rothm.",,"Feddes Repert. Spec. Nov. Regni Veg. 54: 65 1944",,,,,,wfo-0001119181,8347205,
d00a0882-8fcd-11eb-924d-9cd76263cbd0,species,madeirense,Diphasium,,"(J.H.Wilce) Rothm.",,"Feddes Repert. Spec. Nov. Regni Veg. 66: 235 1962",,,,,17435340-1,wfo-0001115032,3990881,
d00a790c-8fcd-11eb-924d-9cd76263cbd0,species,multispicatum,Diphasium,,"(J.H.Wilce) Rothm.",,"Feddes Repert. Spec. Nov. Regni Veg. 66: 235 1962",,,,,17435350-1,wfo-0001115036,3990873,
d00a41ee-8fcd-11eb-924d-9cd76263cbd0,species,platyrhizoma,Diphasium,,"(J.H.Wilce) Rothm.",,"Feddes Repert. Spec. Nov. Regni Veg. 66: 235 1962",,,,,17435360-1,wfo-0001115034,3990865,
d3eea00c-8fcd-11eb-924d-9cd76263cbd0,species,scariosum,Diphasium,,"(Forst.) Rothm.",,"Feddes Repert. Spec. Nov. Regni Veg. 54: 65 1944",,,,,,wfo-0001123658,3990826,
cdffe296-8fcd-11eb-924d-9cd76263cbd0,species,sitchense,Diphasium,,"Á.Löve & D.Löve",,"Univ. Colorado Stud., Ser. Biol. 17: 3 1965",,,,,81307-2,wfo-0001111137,2688444,
d009ebcc-8fcd-11eb-924d-9cd76263cbd0,species,tristachyum,Diphasium,,"(Pursh) Rothm.",,"Feddes Repert. Spec. Nov. Regni Veg. 54: 65 1944",,,,,81308-2,wfo-0001115031,2688417,
d19b5a20-8fcd-11eb-924d-9cd76263cbd0,species,wallrothii,Diphasium,,H.P.Fuchs,,"Acta Bot. Acad. Sci. Hung. 9: 13 1963",,,,,17435390-1,wfo-0001118461,2688428,
cc6994fe-8fcd-11eb-924d-9cd76263cbd0,species,zanclophyllum,Diphasium,,"(J.H.Wilce) Rothm.",,"Feddes Repert. Spec. Nov. Regni Veg. 66: 235 1962",,,,,17435410-1,wfo-0001107507,3990773,
d19b7780-8fcd-11eb-924d-9cd76263cbd0,species,zeileri,Diphasium,,"(Rouy) Damboldt",,"Ber. Bayer. Bot. Ges. 36: 26 1963",,,,,1059692-2,wfo-0001118462,,
