id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e2e27440-8fd1-11eb-924d-9cd76263cbd0,genus,Diporidium,,,H.L.Wendl.,0,1825,,"Beitr. Bot. 2: 24 (1825)",,,,,,urn:lsid:ipni.org:names:28042-1,wfo-4000012064,7326667,,
e462e0b6-8fcc-11eb-924d-9cd76263cbd0,species,acutifolium,Diporidium,,Tiegh.,0,1902,,"Ann. Sci. Nat., Bot. , sér. 8, 16: 356 (1902)",,,Q17621119,,,urn:lsid:ipni.org:names:606007-1,wfo-0000650881,3695413,,
e462fde4-8fcc-11eb-924d-9cd76263cbd0,species,afzelii,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,3ee21a94-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:606008-1,wfo-0000650882,3695400,,
e4631ae0-8fcc-11eb-924d-9cd76263cbd0,species,andravinense,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,,,urn:lsid:ipni.org:names:606009-1,wfo-0000650883,3695392,,
e46335d4-8fcc-11eb-924d-9cd76263cbd0,species,arboreum,Diporidium,,H.L.Wendl.,0,1825,,"Beitr. Bot. 2: 26 (1825)",,,,,,urn:lsid:ipni.org:names:606010-1,wfo-0000650884,3695378,,
e4634fc4-8fcc-11eb-924d-9cd76263cbd0,species,ardisiodes,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,3eee5458-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:606011-1,wfo-0000650885,7640646,,
e463da3e-8fcc-11eb-924d-9cd76263cbd0,species,atropurpureum,Diporidium,,Wendl.,0,1825,,"Beitr. Bot. 2: 24 (1825)",,,,,,urn:lsid:ipni.org:names:606012-1,wfo-0000650887,3695359,,
e463f6a4-8fcc-11eb-924d-9cd76263cbd0,species,baillonii,Diporidium,,Tiegh.,0,1902,,"Ann. Sci. Nat., Bot. , sér. 8, 16: 357 (1902)",,,Q17621119,,,urn:lsid:ipni.org:names:606013-1,wfo-0000650888,8106333,,
e46411fc-8fcc-11eb-924d-9cd76263cbd0,species,baronii,Diporidium,,Tiegh.,0,1902,,"Ann. Sci. Nat., Bot. , sér. 8, 16: 359 (1902)",,,Q17621119,,,urn:lsid:ipni.org:names:606014-1,wfo-0000650889,,,
17513892-8fcd-11eb-924d-9cd76263cbd0,variety,angustifolium,Diporidium,baronii,H.Perrier,0,1941,,"Notul. Syst. (Paris) 10: 29 1941",,,,,,,wfo-0000741300,,,
17515552-8fcd-11eb-924d-9cd76263cbd0,variety,meridionale,Diporidium,baronii,H.Perrier,0,1941,,"Notul. Syst. (Paris) 10: 30 1941",,,,,,,wfo-0000741301,,,
e46434e8-8fcc-11eb-924d-9cd76263cbd0,species,bernieri,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,,,urn:lsid:ipni.org:names:606015-1,wfo-0000650890,3695330,,
e464a554-8fcc-11eb-924d-9cd76263cbd0,species,boivinianum,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,,,urn:lsid:ipni.org:names:606016-1,wfo-0000650891,3695321,,
e464e064-8fcc-11eb-924d-9cd76263cbd0,species,brachypodum,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,,,urn:lsid:ipni.org:names:606017-1,wfo-0000650892,3695311,,
e4650116-8fcc-11eb-924d-9cd76263cbd0,species,brevipes,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,3ee81f16-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:606018-1,wfo-0000650893,3695304,,
e46520a6-8fcc-11eb-924d-9cd76263cbd0,species,cambodianum,Diporidium,,"Pierre ex Tiegh.",0,1907,,"Ann. Sci. Nat., Bot. , sér. 9, 5: 176 (1907)",,,Q17621119,,,urn:lsid:ipni.org:names:606019-1,wfo-0000650894,3695291,,
e4653d48-8fcc-11eb-924d-9cd76263cbd0,species,ciliatum,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,,,urn:lsid:ipni.org:names:606020-1,wfo-0000650895,3695281,,
e465597c-8fcc-11eb-924d-9cd76263cbd0,species,cinnabarinum,Diporidium,,Tiegh.,0,1904,,"Ann. Sci. Nat., Bot. , sér. 8, 18: 52 (1904)",,,Q17621119,,,urn:lsid:ipni.org:names:606021-1,wfo-0000650896,3695271,,
e4659266-8fcc-11eb-924d-9cd76263cbd0,species,comorense,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,,,urn:lsid:ipni.org:names:606022-1,wfo-0000650898,3695263,,
e465acce-8fcc-11eb-924d-9cd76263cbd0,species,cordatum,Diporidium,,Tiegh.,0,1902,,"J. Bot. (Morot) 16: 127 (1902)",,,,,,urn:lsid:ipni.org:names:606023-1,wfo-0000650899,3695250,,
e465c77c-8fcc-11eb-924d-9cd76263cbd0,species,decaisnei,Diporidium,,Tiegh.,0,1902,,"J. Bot. (Morot) 16: 127 (1902)",,,,3eea4a5c-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:606024-1,wfo-0000650900,3695244,,
e465e3e2-8fcc-11eb-924d-9cd76263cbd0,species,delagoense,Diporidium,,"Eckl. & Zeyh.",0,1835,,"Enum. Pl. Afric. Austral. : 118 (1835)",,,,,,urn:lsid:ipni.org:names:606025-1,wfo-0000650901,3695234,,
e465fe68-8fcc-11eb-924d-9cd76263cbd0,species,emarginatum,Diporidium,,Tiegh.,0,1902,,"J. Bot. (Morot) 16: 127 (1902)",,,,,,urn:lsid:ipni.org:names:606026-1,wfo-0000650902,8004364,,
e4661be6-8fcc-11eb-924d-9cd76263cbd0,species,fascicularis,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,3f30272a-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:606028-1,wfo-0000650903,3695204,,
e46638f6-8fcc-11eb-924d-9cd76263cbd0,species,goetzei,Diporidium,,Tiegh.,0,1902,,"Ann. Sci. Nat., Bot. , sér. 8, 16: 359 (1902)",,,Q17621119,,,urn:lsid:ipni.org:names:606029-1,wfo-0000650904,3695195,,
e46657d2-8fcc-11eb-924d-9cd76263cbd0,species,greveanum,Diporidium,,Tiegh.,0,1902,,"Ann. Sci. Nat., Bot. , sér. 8, 16: 357 (1902)",,,Q17621119,,,urn:lsid:ipni.org:names:606030-1,wfo-0000650905,3695182,,
17517794-8fcd-11eb-924d-9cd76263cbd0,variety,insigne,Diporidium,greveanum,H.Perrier,0,1941,,"Notul. Syst. (Paris) 10: 31 1941",,,,,,,wfo-0000741302,7903628,,
175193a0-8fcd-11eb-924d-9cd76263cbd0,variety,macrosepalum,Diporidium,greveanum,H.Perrier,0,1941,,"Notul. Syst. (Paris) 10: 30 1941",,,,,,,wfo-0000741303,7596969,,
e4667582-8fcc-11eb-924d-9cd76263cbd0,species,hoepfneri,Diporidium,,Tiegh.,0,1902,,"Ann. Sci. Nat., Bot. , sér. 8, 16: 358 (1902)",,,Q17621119,3f0fdaba-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:606031-1,wfo-0000650906,3695176,,
e46692ce-8fcc-11eb-924d-9cd76263cbd0,species,holstii,Diporidium,,Tiegh.,0,1902,,"Ann. Sci. Nat., Bot. , sér. 8, 16: 356 (1902)",,,Q17621119,,,urn:lsid:ipni.org:names:606032-1,wfo-0000650907,3695166,,
e46720d6-8fcc-11eb-924d-9cd76263cbd0,species,holtzii,Diporidium,,Tiegh.,0,1902,,"Ann. Sci. Nat., Bot. , sér. 8, 16: 52 (1902)",,,Q17621119,,,urn:lsid:ipni.org:names:606033-1,wfo-0000650909,3695156,,
e4675e5c-8fcc-11eb-924d-9cd76263cbd0,species,humblotianum,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,,,urn:lsid:ipni.org:names:606034-1,wfo-0000650910,3695147,,
e46782d8-8fcc-11eb-924d-9cd76263cbd0,species,inerme,Diporidium,,Tiegh.,0,1902,,"J. Bot. (Morot) 16: 127 (1902)",,,,,,urn:lsid:ipni.org:names:606035-1,wfo-0000650911,3695139,,
e467a4de-8fcc-11eb-924d-9cd76263cbd0,species,integrifolium,Diporidium,,C.Presl,0,1845,,"Abh. Königl. Böhm. Ges. Wiss. , ser. 5, 3: 462 (1845)",,,,6ecad3e4-8fbe-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:606036-1,wfo-0000650912,3695129,,
e467c4d2-8fcc-11eb-924d-9cd76263cbd0,species,jallae,Diporidium,,Tiegh.,0,1902,,"Ann. Sci. Nat., Bot. , sér. 8, 16: 359 (1902)",,,Q17621119,,,urn:lsid:ipni.org:names:606037-1,wfo-0000650913,3695118,,
e467e76e-8fcc-11eb-924d-9cd76263cbd0,species,kirkii,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,,,urn:lsid:ipni.org:names:606038-1,wfo-0000650914,3695109,,
e468060e-8fcc-11eb-924d-9cd76263cbd0,species,latifolium,Diporidium,,"Pierre ex Tiegh.",0,1907,,"Ann. Sci. Nat., Bot. , sér. 9, 5: 174 (1907)",,,Q17621119,,,urn:lsid:ipni.org:names:606039-1,wfo-0000650915,3695096,,
e4682170-8fcc-11eb-924d-9cd76263cbd0,species,leiocladum,Diporidium,,Tiegh.,0,1902,,"Ann. Sci. Nat., Bot. , sér. 8, 16: 360 (1902)",,,Q17621119,,,urn:lsid:ipni.org:names:606040-1,wfo-0000650916,3695088,,
e4683dae-8fcc-11eb-924d-9cd76263cbd0,species,leptocladum,Diporidium,,Kuntze,0,1891,,"Revis. Gen. Pl. 1: 105 (1891)",,,Q7318442,,,urn:lsid:ipni.org:names:606041-1,wfo-0000650917,3695076,,
e4685ac8-8fcc-11eb-924d-9cd76263cbd0,species,leucophloeos,Diporidium,,Tiegh.,0,1902,,"J. Bot. (Morot) 16: 126. 1902",,,,3f135438-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:606043-1,wfo-0000650918,3695056,,
e468968c-8fcc-11eb-924d-9cd76263cbd0,species,leucophloeum,Diporidium,,"(Hochst. ex A.Rich.) Kuntze",0,1891,,"Revis. Gen. Pl. 1: 105 1891",,,Q7318442,,,,wfo-0000650920,7544005,,
e468b374-8fcc-11eb-924d-9cd76263cbd0,species,louvelii,Diporidium,,H.Perrier,0,1941,,"Notul. Syst. (Paris) 10: 35 (1941)",,,,,,urn:lsid:ipni.org:names:606044-1,wfo-0000650921,7544354,,
