id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e3014244-8fd1-11eb-924d-9cd76263cbd0,genus,Dorstenia,,,L.,0,1753,,"Sp. Pl. : 121 (1753)",,,Q849308,,,urn:lsid:ipni.org:names:327220-2,wfo-4000012449,2984540,,
3f2113e8-1d4d-11ec-82c2-f14daa6f2d93,species,acangatara,Dorstenia,,"M.D.M.Vianna, Al.Santos, A.F.P.Machado, Mansano & Romaniuc",,2013,,"Phytotaxa 118: 30 (2013)",,,Q4807825,,,urn:lsid:ipni.org:names:77130683-1,wfo-0001317512,,,
e678fc0a-8fcc-11eb-924d-9cd76263cbd0,species,achtenii,Dorstenia,,"De Wild.",0,1932,,"Contr. Fl. Katanga , Suppl. 4: 100 (1932)",,,,,,urn:lsid:ipni.org:names:582984-1,wfo-0000654255,7536819,,
afc5b026-8fcd-11eb-924d-9cd76263cbd0,variety,laxiflora,Dorstenia,achtenii,Hauman,0,1948,,"Bull. Jard. Bot. État Brux. 19: 59–63 1948",,,,,,,wfo-0001043184,7740976,,
e67918b6-8fcc-11eb-924d-9cd76263cbd0,species,africana,Dorstenia,,"(Baill.) C.C.Berg",0,1977,,"Adansonia , n.s., 16: 422 (1977)",,Q58837899,,,,urn:lsid:ipni.org:names:582985-1,wfo-0000654256,3766272,,
e6793332-8fcc-11eb-924d-9cd76263cbd0,species,afromontana,Dorstenia,,R.E.Fr.,0,1924,,"Notizbl. Bot. Gart. Berlin-Dahlem 8: 667 (1924)",,,,,,urn:lsid:ipni.org:names:582986-1,wfo-0000654257,3766266,,
e679506a-8fcc-11eb-924d-9cd76263cbd0,species,albertii,Dorstenia,,"Carauta, C.Valente & Sucre",0,1974,,"Atas Soc. Biol. Rio de Janeiro 17(4): 63 (1974)",,,,,,urn:lsid:ipni.org:names:306634-2,wfo-0000654258,,,
e6796c08-8fcc-11eb-924d-9cd76263cbd0,species,albertorum,Dorstenia,,Carauta,0,1978,,"Rodriguésia 29(44): 75. 1978, correction not acceptable, correctly Dalberti Carauta, Valente & Sucre in Atas Soc. Biol. Rio de Janeiro, 17(4): 63. 1974.",,,,,,urn:lsid:ipni.org:names:582988-1,wfo-0000654259,3766241,,
e6798774-8fcc-11eb-924d-9cd76263cbd0,species,alexiteria,Dorstenia,,L.,0,1759,,"Syst. Nat. ed. 10 , 2: 899 (1759)",,,,,,urn:lsid:ipni.org:names:851500-1,wfo-0000654260,3766234,,
e679a592-8fcc-11eb-924d-9cd76263cbd0,species,alta,Dorstenia,,Engl.,0,1908,,"Bot. Jahrb. Syst. 40: 545 (1908)",,,Q5732642,,,urn:lsid:ipni.org:names:582989-1,wfo-0000654261,3766230,,
e679c27a-8fcc-11eb-924d-9cd76263cbd0,species,alternans,Dorstenia,,Engl.,0,1911,,"Bot. Jahrb. Syst. 46: 273 (1911)",,,Q5732642,,,urn:lsid:ipni.org:names:582990-1,wfo-0000654262,3766222,,
e679f830-8fcc-11eb-924d-9cd76263cbd0,species,amazonica,Dorstenia,,"Carauta, C.Valente & O.M.Barth",0,1979,,"Arq. Jard. Bot. Rio de Janeiro 23: 105 (1979)",,,,,,urn:lsid:ipni.org:names:83027-2,wfo-0000654264,3766213,,
e67a11bc-8fcc-11eb-924d-9cd76263cbd0,species,amboniensis,Dorstenia,,"De Wild.",0,1932,,"Pl. Bequaert. 6: 19 (1932)",,,,,,urn:lsid:ipni.org:names:582992-1,wfo-0000654265,3766208,,
e67a2b16-8fcc-11eb-924d-9cd76263cbd0,species,amoena,Dorstenia,,A.Chev.,0,1911,,"Mém. Soc. Bot. France 8: 208 (1912)",,Q55756922,,,,urn:lsid:ipni.org:names:582993-1,wfo-0000654266,3766200,,
e67a48e4-8fcc-11eb-924d-9cd76263cbd0,species,angusta,Dorstenia,,Engl.,0,1914,,"Bot. Jahrb. Syst. 51: 430 (1914)",,,Q5732642,,,urn:lsid:ipni.org:names:582994-1,wfo-0000654267,3766194,,
e67a6f90-8fcc-11eb-924d-9cd76263cbd0,species,angusticornis,Dorstenia,,Engl.,0,1911,,"Bot. Jahrb. Syst. 46: 274 (1911)",,,Q5732642,,,urn:lsid:ipni.org:names:582995-1,wfo-0000654268,3766186,,
e67a8b1a-8fcc-11eb-924d-9cd76263cbd0,species,annua,Dorstenia,,"Friis & Vollesen",0,1982,,"Kew Bull. 37: 473 (1982)",,Q55779880,,,,urn:lsid:ipni.org:names:899738-1,wfo-0000654269,3766178,,
e67b2f34-8fcc-11eb-924d-9cd76263cbd0,species,anthuriifolia,Dorstenia,,S.F.Blake,0,1919,,"Contr. U.S. Natl. Herb. 20: 237 (1919)",,Q95371387,,,,urn:lsid:ipni.org:names:83028-2,wfo-0000654270,3766159,,
e67b532e-8fcc-11eb-924d-9cd76263cbd0,species,appendiculata,Dorstenia,,Miq.,0,1853,,"Fl. Bras. 4(1): 162 (1853)",,,Q5460282,,,urn:lsid:ipni.org:names:851501-1,wfo-0000654271,3766152,,
e67b7368-8fcc-11eb-924d-9cd76263cbd0,species,arabica,Dorstenia,,Hemsl.,0,1899,,"Hooker's Icon. Pl. 26: t. 2503 (1899)",,,,,,urn:lsid:ipni.org:names:851502-1,wfo-0000654272,3766142,,
e67b9104-8fcc-11eb-924d-9cd76263cbd0,species,argentata,Dorstenia,,Hook.f.,0,1869,,"Bot. Mag. 95: t. 5795 (1869)",,,Q2269599,,,urn:lsid:ipni.org:names:851503-1,wfo-0000654273,4939319,,
e67bc8e0-8fcc-11eb-924d-9cd76263cbd0,species,arifolia,Dorstenia,,Lam.,0,1786,,"Encycl. 2: 317 (1786)",,,,,,urn:lsid:ipni.org:names:851504-1,wfo-0000654275,7262742,,
e67be5a0-8fcc-11eb-924d-9cd76263cbd0,variety,pinnatifida,Dorstenia,arifolia,Miq.,0,1853,,"Fl. Bras. 4(1): 167 (1853)",,,Q5460282,,,urn:lsid:ipni.org:names:83030-2,wfo-0000654276,3766109,,
e67c0170-8fcc-11eb-924d-9cd76263cbd0,species,aristeguietae,Dorstenia,,Cuatrec.,0,1954,,"Bol. Soc. Venez. Ci. Nat. 15: 108 (1954)",,,,,,urn:lsid:ipni.org:names:83031-2,wfo-0000654277,3766098,,
e67c1d36-8fcc-11eb-924d-9cd76263cbd0,species,asaroides,Dorstenia,,Gardner,0,1841,,"Hooker's Icon. Pl. 4: t. 399 (1841)",,,,,,urn:lsid:ipni.org:names:851505-1,wfo-0000654278,7262734,,
e67c3640-8fcc-11eb-924d-9cd76263cbd0,variety,celiae,Dorstenia,asaroides,"Carauta & C.Valente",0,1983,,"Atas Soc. Bot. Brasil, Secç. Rio de Janeiro 1: 117 (1983)",,,,,,urn:lsid:ipni.org:names:83033-2,wfo-0000654279,3766052,,
e67c4ff4-8fcc-11eb-924d-9cd76263cbd0,species,aspera,Dorstenia,,A.Chev.,0,1911,,"Mém. Soc. Bot. France 8: 207 (1912)",,Q55756922,,,,urn:lsid:ipni.org:names:582998-1,wfo-0000654280,3766045,,
afc1eaf4-8fcd-11eb-924d-9cd76263cbd0,variety,deltoidea,Dorstenia,aspera,A.Chev.,0,1911,,"Bull. Soc. Bot. France 58(Mem. 8d): 207 1911",,,Q5735483,,,,wfo-0001043149,8123856,,
e67c6980-8fcc-11eb-924d-9cd76263cbd0,species,asperifolia,Dorstenia,,Rossberg,0,1934,,"Notizbl. Bot. Gart. Berlin-Dahlem 12: 172 (1934)",,,,,,urn:lsid:ipni.org:names:83034-2,wfo-0000654281,3766032,,
e67c8348-8fcc-11eb-924d-9cd76263cbd0,species,asteriscus,Dorstenia,,Engl.,0,1914,,"Bot. Jahrb. Syst. 51: 428 (1914)",,,Q5732642,,,urn:lsid:ipni.org:names:583000-1,wfo-0000654282,3766027,,
e67c9fae-8fcc-11eb-924d-9cd76263cbd0,species,astyanactis,Dorstenia,,"Aké Assi",0,1967,,"Adansonia , n.s., 7: 387 (1967)",,Q58837612,,,,urn:lsid:ipni.org:names:583001-1,wfo-0000654283,3766022,,
e67cb8cc-8fcc-11eb-924d-9cd76263cbd0,species,bahiensis,Dorstenia,,"Klotzsch ex Fisch. & C.A.Mey.",0,1846,,"Index Seminum (LE, Petropolitanus) 11: 64 (1846)",,,,,,urn:lsid:ipni.org:names:971203-1,wfo-0000654284,7919540,,
e67cec52-8fcc-11eb-924d-9cd76263cbd0,species,barnimiana,Dorstenia,,Schweinf.,0,1862,,"Pl. Quaed. Nilot. : 36 (1862)",,,,,,urn:lsid:ipni.org:names:60453283-2,wfo-0000654286,7262729,,
afc748a0-8fcd-11eb-924d-9cd76263cbd0,variety,angustior,Dorstenia,barnimiana,Engl.,0,1902,,"Bot. Jahrb. Syst. 30: 292 1902",,,Q5732642,,,,wfo-0001043199,8336318,,
b3b59cfc-1d4c-11ec-82c2-f14daa6f2d93,variety,barnimiana,Dorstenia,barnimiana,,,,,,,,,,,,wfo-0001084998,,,
afc77eec-8fcd-11eb-924d-9cd76263cbd0,variety,ophioglossoides,Dorstenia,barnimiana,"(Hochst. ex Bureau) Engl.",0,1898,,"Monogr. Afrik. Pflanzen-Fam. 1898",,,,e6b4c14a-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0001043201,7742529,,
afc7997c-8fcd-11eb-924d-9cd76263cbd0,variety,telekii,Dorstenia,barnimiana,"(Schweinf. ex Engl.) Engl.",0,1898,,"Monogr. Afrik. Pflanzen-Fam. 1898",,,,,,,wfo-0001043202,8195626,,
e67d069c-8fcc-11eb-924d-9cd76263cbd0,variety,tropaeolifolia,Dorstenia,barnimiana,"(Schweinf.) Rendle",0,1916,,"Fl. Trop. Afr. 6(2): 71 1916",,,Q3700392,c72ba5f0-8fd1-11eb-924d-9cd76263cbd0,,,wfo-0000654287,7442878,,
e67d235c-8fcc-11eb-924d-9cd76263cbd0,subspecies,tropaeolifolia,Dorstenia,barnimiana,"(Schweinf.) Lye",0,1998,,"Lidia 4: 91 (1998)",,,,c72ba5f0-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:1005669-1,wfo-0000654288,3766004,,
e67dbb3c-8fcc-11eb-924d-9cd76263cbd0,species,barteri,Dorstenia,,Bureau,0,1873,,"Prodr. 17: 272 (1873)",,,Q2712448,,,urn:lsid:ipni.org:names:851507-1,wfo-0000654289,7262723,,
b393ab88-1d4c-11ec-82c2-f14daa6f2d93,variety,barteri,Dorstenia,barteri,,,,,,,,,,,,wfo-0001084787,,,
e67df6ec-8fcc-11eb-924d-9cd76263cbd0,variety,multiradiata,Dorstenia,barteri,"(Engl.) Hijman & C.C.Berg",0,1977,,"Adansonia , n.s., 16: 434 (1977)",,Q58837899,,e6b1349e-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:886823-1,wfo-0000654290,3765992,,
72b4a620-1d4d-11ec-82c2-f14daa6f2d93,variety,paucinervis,Dorstenia,barteri,"Hijman & C.C.Berg",,1977,,"Adansonia , n.s., 16: 436 (1977)",,,,,,urn:lsid:ipni.org:names:886824-1,wfo-0001387412,,,
e67e1c08-8fcc-11eb-924d-9cd76263cbd0,variety,subtriangularis,Dorstenia,barteri,"(Engl.) Hijman & C.C.Berg",0,1977,,"Adansonia , n.s., 16: 436 (1977)",,Q58837899,,e6cbbc42-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:886825-1,wfo-0000654291,3765974,,
e67e3a62-8fcc-11eb-924d-9cd76263cbd0,species,batesii,Dorstenia,,Rendle,0,1915,,"J. Bot. 53: 301 (1915)",,,,,,urn:lsid:ipni.org:names:583002-1,wfo-0000654292,3765965,,
e67e5de4-8fcc-11eb-924d-9cd76263cbd0,species,belizensis,Dorstenia,,C.C.Berg,0,1982,,"Proc. Kon. Ned. Akad. Wetensch. C 85: 38 (1982)",,,,,,urn:lsid:ipni.org:names:899739-1,wfo-0000654293,3765957,,
e67e796e-8fcc-11eb-924d-9cd76263cbd0,species,benguellensis,Dorstenia,,Welw.,0,1869,,"Trans. Linn. Soc. London 27: 71 (1869)",,Q55760776,Q6151611,,,urn:lsid:ipni.org:names:851508-1,wfo-0000654294,3765939,,
afc5cbd8-8fcd-11eb-924d-9cd76263cbd0,variety,capillaris,Dorstenia,benguellensis,Hauman,0,1948,,"Bull. Jard. Bot. État Brux. 19: 59–63 1948",,,,,,,wfo-0001043185,7757113,,
e67eaf88-8fcc-11eb-924d-9cd76263cbd0,species,bequaertii,Dorstenia,,"De Wild.",0,1932,,"Pl. Bequaert. 6: 23 (1932)",,,,,,urn:lsid:ipni.org:names:583004-1,wfo-0000654296,,,
e67ec8ce-8fcc-11eb-924d-9cd76263cbd0,species,bergiana,Dorstenia,,Hijman,0,1990,,"Kew Bull. 45: 361 (1990)",,Q43214387,,,,urn:lsid:ipni.org:names:940030-1,wfo-0000654297,3765926,,
e67ee354-8fcc-11eb-924d-9cd76263cbd0,species,bicaudata,Dorstenia,,Peter,0,1932,,"Repert. Spec. Nov. Regni Veg. Beih. 40(2, Anh.): 6 (1932)",,,Q6105814,,,urn:lsid:ipni.org:names:583005-1,wfo-0000654298,3765920,,
afc4f15e-8fcd-11eb-924d-9cd76263cbd0,variety,quercifolia,Dorstenia,bicaudata,Peter,0,1932,,"Repert. Spec. Nov. Regni Veg. 40(2.1): 1932",,,Q6105814,,,,wfo-0001043177,8091743,,
e67efefc-8fcc-11eb-924d-9cd76263cbd0,species,bicornis,Dorstenia,,Schweinf.,0,1871,,"Bot. Zeitung (Berlin) 29: 332 (1871)",,,Q5732649,,,urn:lsid:ipni.org:names:851509-1,wfo-0000654299,3765914,,
5c89a0e4-1d4d-11ec-82c2-f14daa6f2d93,species,bicuspis,Dorstenia,,"Schweinf ex Bureau",,1895,,"Bull. Mus. Hist. Nat. (Paris) i. (1895) 62, sphalm.",,,,,,urn:lsid:ipni.org:names:851510-1,wfo-0001357119,,,
e67f1964-8fcc-11eb-924d-9cd76263cbd0,species,binzaensis,Dorstenia,,"De Wild.",0,1932,,"Pl. Bequaert. 6: 25 (1932)",,,,,,urn:lsid:ipni.org:names:583006-1,wfo-0000654300,3765900,,
e67f3976-8fcc-11eb-924d-9cd76263cbd0,species,boliviana,Dorstenia,,C.C.Berg,0,1982,,"Proc. Kon. Ned. Akad. Wetensch. C 85: 33 (1982)",,,,,,urn:lsid:ipni.org:names:899740-1,wfo-0000654301,3765895,,
e67f551e-8fcc-11eb-924d-9cd76263cbd0,species,bonijesu,Dorstenia,,"Carauta & C.Valente",0,1983,,"Atas Soc. Bot. Brasil, Secç. Rio de Janeiro 1: 112 (1983)",,,,,,urn:lsid:ipni.org:names:83035-2,wfo-0000654302,3765879,,
e67f6e3c-8fcc-11eb-924d-9cd76263cbd0,species,bowmanniana,Dorstenia,,Baker,0,1873,,"Refug. Bot. 5: t. 303 (1873)",,,,,,urn:lsid:ipni.org:names:851512-1,wfo-0000654303,3765868,,
e67f8af2-8fcc-11eb-924d-9cd76263cbd0,species,brasiliensis,Dorstenia,,Lam.,0,1786,,"Encycl. 2: 317 (1786)",,,,,,urn:lsid:ipni.org:names:851513-1,wfo-0000654304,7262704,,
e680723c-8fcc-11eb-924d-9cd76263cbd0,form,balansae,Dorstenia,brasiliensis,Chodat,0,1920,,"Bull. Soc. Bot. Genève ser. 2, 11: 257. 1920",,,Q5735486,,,urn:lsid:ipni.org:names:83036-2,wfo-0000654306,3765853,,
e6809456-8fcc-11eb-924d-9cd76263cbd0,variety,guaranitica,Dorstenia,brasiliensis,Chodat,0,1920,,"Bull. Soc. Bot. Genève , sér. 2, 11: 257 (1919 publ. 1920)",,,Q5735486,,,urn:lsid:ipni.org:names:83037-2,wfo-0000654307,3765848,,
e680b4c2-8fcc-11eb-924d-9cd76263cbd0,variety,major,Dorstenia,brasiliensis,Chodat,0,1903,,"Bull. Herb. Boissier , sér. 2, 3: 350 (1903)",,,Q2378336,,,urn:lsid:ipni.org:names:83038-2,wfo-0000654308,3765831,,
e680d5e2-8fcc-11eb-924d-9cd76263cbd0,variety,palustris,Dorstenia,brasiliensis,Hassl.,0,1919,,"Annuaire Conserv. Jard. Bot. Genève 21: 118 (1919)",,,,,,urn:lsid:ipni.org:names:83039-2,wfo-0000654309,3765823,,
e680f37e-8fcc-11eb-924d-9cd76263cbd0,variety,tomentosa,Dorstenia,brasiliensis,"(Fisch. & C.A.Mey.) Hassl.",0,1919,,"Annuaire Conserv. Jard. Bot. Genève 21: 118 (1919)",,,,e6ce9098-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:83040-2,wfo-0000654310,3765810,,
e68110f2-8fcc-11eb-924d-9cd76263cbd0,variety,tubicina,Dorstenia,brasiliensis,Chodat,0,1920,,"Bull. Soc. Bot. Genève , sér. 2, 11: 258 (1919 publ. 1920)",,,Q5735486,e6cfe2b8-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:83041-2,wfo-0000654311,3765802,,
