id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e301863c-8fd1-11eb-924d-9cd76263cbd0,genus,Doryanthes,,,Corrêa,0,1802,,"Trans. Linn. Soc. London 6: 211 (1802)",,Q55760703,,,,urn:lsid:ipni.org:names:1443-1,wfo-4000012457,2766193,,
23046ba0-8fcd-11eb-924d-9cd76263cbd0,species,excelsa,Doryanthes,,Corrêa,0,1802,,"Trans. Linn. Soc. London 6: 213 (1802)",,Q55760703,,,,urn:lsid:ipni.org:names:64287-1,wfo-0000765642,5303645,,
75eade90-1d4d-11ec-82c2-f14daa6f2d93,variety,excelsa,Doryanthes,excelsa,Correa,,1883,,"A Synopsis of the Queensland Flora 1883",,,,,,urn:lsid:ipni.org:names:109782-3,wfo-0001391655,,,
e0ea9f0a-8fcc-11eb-924d-9cd76263cbd0,variety,guilfoylei,Doryanthes,excelsa,"(Bailey) F.M.Bailey",0,1902,,"Queensl. Fl. 5: 1613 (1902)",,,,23048900-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:109803-3,wfo-0000645034,5303640,,
e0eb4efa-8fcc-11eb-924d-9cd76263cbd0,variety,palmeri,Doryanthes,excelsa,F.M.Bailey,0,1883,,"Syn. Queensl. Fl. : 538 (1883)",,,,2304bcc2-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:109844-3,wfo-0000645041,5303642,,
23048900-8fcd-11eb-924d-9cd76263cbd0,species,guilfoylei,Doryanthes,,F.M.Bailey,0,1893,,"Bot. Bull. Dept. Agric. Queensland 7: 67 (1893)",,,,,,urn:lsid:ipni.org:names:64288-1,wfo-0000765643,5303643,,
2304a30e-8fcd-11eb-924d-9cd76263cbd0,species,larkinii,Doryanthes,,C.Moore,0,1885,,"J. Proc. Roy. Soc. New S. Wales 18: 85 (1885)",,,,,,urn:lsid:ipni.org:names:64290-1,wfo-0000765644,5303641,,
2304bcc2-8fcd-11eb-924d-9cd76263cbd0,species,palmeri,Doryanthes,,"W.Hill ex Benth.",0,1873,,"Gard. Chron. 1873: 606 (1873)",,,,,,urn:lsid:ipni.org:names:64291-1,wfo-0000765645,5303639,,
e0ecdea0-8fcc-11eb-924d-9cd76263cbd0,variety,larkinii,Doryanthes,palmeri,"(C.Moore) C.Moore & Betche",0,1893,,"Handb. Fl. N.S.W. : 413 (1893)",,,,2304a30e-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:110012-3,wfo-0000645051,5303644,,
75f065e0-1d4d-11ec-82c2-f14daa6f2d93,variety,palmeri,Doryanthes,palmeri,Benth.,,1893,,"Handbook of the Flora of New South Wales 1893",,,,,,urn:lsid:ipni.org:names:110035-3,wfo-0001391685,,,
81564f48-8fcd-11eb-924d-9cd76263cbd0,species,rubra,Dorycheile,,Fuss,0,1866,,"Fl. Transsilv. : 628 (1866)",,,,,,urn:lsid:ipni.org:names:630503-1,wfo-0000945255,2795850,,
