id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e31456b8-8fd1-11eb-924d-9cd76263cbd0,genus,Dufourea,,,,,,,,,,,wfo-4000012709,,
e8ab58ba-8fcc-11eb-924d-9cd76263cbd0,species,alternifolia,Dufourea,,Willd.,,"Ges. Naturf. Freunde Berlin Mag. Neuesten Entdeck. Gesammten Naturk. 6: 64 1812",,,,,688182-1,wfo-0000657769,5662966,
d86ab6de-8fbe-11eb-924d-9cd76263cbd0,species,amazonica,Dufourea,,"Mart. ex Choisy",,"Prodr. (DC.) 9: 437 1845 [1 Jan 1845]",,,,,267816-1,wfo-0000156400,5549215,
d8755c7e-8fbe-11eb-924d-9cd76263cbd0,species,aurea,Dufourea,,"Splitg. ex de Vriese",,"Ned. Kruidk. Arch. i. (1848) 150",,,,,267817-1,wfo-0000156401,5549212,
e8ab7fd4-8fcc-11eb-924d-9cd76263cbd0,species,boryi,Dufourea,,A.Rich.,,"Dict. Class. Hist. Nat. 5: 636 1824",,,,,688183-1,wfo-0000657770,5662964,
e8ab9c58-8fcc-11eb-924d-9cd76263cbd0,species,cerastiifolia,Dufourea,,"(Ramond ex DC.) Gren.",,"Actes Soc. Linn. Bordeaux 9: 25 1837",,,,,154210-1,wfo-0000657771,5588550,
dbfa7d4e-8fd1-11eb-924d-9cd76263cbd0,species,glabra,Dufourea,,Kunth,,"Nov. Gen. Sp. (quarto ed.) 3: 114 1818",,,,,267818-1,wfo-0001298887,5549209,
bd6d8524-8fd1-11eb-924d-9cd76263cbd0,species,heterantha,Dufourea,,"Nees & Mart.",,"Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur. 11: 79 1823",,,,,267819-1,wfo-0001249265,5549208,
e8abb9a4-8fcc-11eb-924d-9cd76263cbd0,species,hypnoides,Dufourea,,A.St.-Hil.,,"Mém. Mus. Hist. Nat. 10: 472 1823",,,,,688184-1,wfo-0000657772,8255134,
e8abd59c-8fcc-11eb-924d-9cd76263cbd0,species,purpurascens,Dufourea,,"(Ramond ex DC.) Gren.",,"Actes Soc. Linn. Bordeaux 9: 25 1837",,,,,154211-1,wfo-0000657773,5588546,
dadc6206-8fd1-11eb-924d-9cd76263cbd0,species,serica,Dufourea,,Kunth,,,,,,,85647-2,wfo-0001296799,7448685,
dadc7f8e-8fd1-11eb-924d-9cd76263cbd0,species,sericea,Dufourea,,Kunth,,"Nov. Gen. et Sp. 3: 114, t. 214 1818",,,,,267820-1,wfo-0001296800,5549204,
e8abf8c4-8fcc-11eb-924d-9cd76263cbd0,species,thouarsii,Dufourea,,A.Rich.,,"Dict. Class. Hist. Nat. 5: 636 1824",,,,,688185-1,wfo-0000657774,5662961,
e8ac15ca-8fcc-11eb-924d-9cd76263cbd0,species,trifaria,Dufourea,,"Bory ex Willd.",,"Sp. Pl. 5: 55 1810",,,,,688186-1,wfo-0000657775,5662958,
bed775f0-8fd1-11eb-924d-9cd76263cbd0,species,velutina,Dufourea,,"M.Martens & Galeotti",,"Bull. Acad. Roy. Sci. Bruxelles 12(2): 259 1845",,,,,267821-1,wfo-0001251873,5549200,
