id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e32a9f36-8fd1-11eb-924d-9cd76263cbd0,genus,Echinospermum,,,"Sw. ex Lehm.",0,1818,,"Pl. Asperif. Nucif. : 113 (1818)",,,,,,urn:lsid:ipni.org:names:30000600-2,wfo-4000012958,7294659,,
eb49ca34-8fcc-11eb-924d-9cd76263cbd0,species,affine,Echinospermum,,"Kar. & Kir.",0,1841,,"Bull. Soc. Imp. Naturalistes Moscou 14: 714 (1841)",,,,,,urn:lsid:ipni.org:names:115356-1,wfo-0000662427,4061597,,
eb49e870-8fcc-11eb-924d-9cd76263cbd0,species,alpinum,Echinospermum,,Schur,0,1866,,"Enum. Pl. Transsilv. : 464 (1866)",,,,,,urn:lsid:ipni.org:names:115357-1,wfo-0000662428,4061593,,
eb4a0440-8fcc-11eb-924d-9cd76263cbd0,species,anisacanthum,Echinospermum,,"Turcz. ex Bunge",0,1840,,"Index Seminum (TU, Dorpatensis) 1840: 8 (1840)",,,,,,urn:lsid:ipni.org:names:77073935-1,wfo-0000662429,4061578,,
eb4a1f7a-8fcc-11eb-924d-9cd76263cbd0,species,aridum,Echinospermum,,K.Schum.,0,1903,,"Just's Bot. Jahresber. 29(1): 564 (1903)",,,,,,urn:lsid:ipni.org:names:88548-2,wfo-0000662430,4061564,,
eb4a3a96-8fcc-11eb-924d-9cd76263cbd0,species,barbatum,Echinospermum,,Lehm.,0,1818,,"Pl. Asperif. Nucif. : 128 (1818)",,,,,,urn:lsid:ipni.org:names:115359-1,wfo-0000662431,4061556,,
c3272f74-8fd1-11eb-924d-9cd76263cbd0,subspecies,aragonense,Echinospermum,barbatum,"Reverchon & Freyn ex Willk",0,,,,,,,,,,wfo-0001259990,8297920,,
eb4a54cc-8fcc-11eb-924d-9cd76263cbd0,species,borbonicum,Echinospermum,,Lehm.,0,1818,,"Pl. Asperif. Nucif. : 119 (1818)",,,,,,urn:lsid:ipni.org:names:115360-1,wfo-0000662432,4061550,,
eb4a73bc-8fcc-11eb-924d-9cd76263cbd0,species,bornmuelleri,Echinospermum,,"Hausskn. ex Bornm.",0,1906,,"Beih. Bot. Centralbl. 20(2): 190 1906",,,,,,,wfo-0000662433,7584652,,
56f19e48-1d4d-11ec-82c2-f14daa6f2d93,species,brachycentrum,Echinospermum,,Eichw.,,,,"Casp. Cauc. 4.",,,,,,urn:lsid:ipni.org:names:115361-1,wfo-0001349642,,,
eb4ae07c-8fcc-11eb-924d-9cd76263cbd0,species,brachycentrum,Echinospermum,,Ledeb.,0,1829,,"Fl. Altaic. 1: 203 (1829)",,,,,,urn:lsid:ipni.org:names:30081854-2,wfo-0000662435,7294773,,
