id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e33405e4-8fd1-11eb-924d-9cd76263cbd0,genus,Ekebergia,,,Sparrm.,1779,"Kongl. Vetensk. Acad. Handl. 40: 282. 1779.",,,,,26724-1,wfo-4000013088,7271366,
ec033ad2-8fcc-11eb-924d-9cd76263cbd0,species,arborea,Ekebergia,,"Baker f.",1899,"J. Bot. 37: 427 1899",,,,,578359-1,wfo-0000663620,3851330,
ec035454-8fcc-11eb-924d-9cd76263cbd0,species,benguelensis,Ekebergia,,"Welw. ex C.DC.",1878,"Monogr. Phan. 1: 642 1878",,,,,578360-1,wfo-0000663621,3851322,
ec036e6c-8fcc-11eb-924d-9cd76263cbd0,species,buchananii,Ekebergia,,Harms,1896,"Bot. Jahrb. Syst. 23: 164 1896",,,,,578361-1,wfo-0000663622,3851316,
ec038bc2-8fcc-11eb-924d-9cd76263cbd0,species,capensis,Ekebergia,,Sparrm.,1779,"Kongl. Vetensk. Acad. Handl. 1779: 282 1779",,,,,578362-1,wfo-0000663623,3851310,
ec03c330-8fcc-11eb-924d-9cd76263cbd0,species,chevalieri,Ekebergia,,"(C.DC.) Harms",1911,"Bot. Jahrb. Syst. 46: 161 1911",,,,,578363-1,wfo-0000663625,3851300,
ec03ddb6-8fcc-11eb-924d-9cd76263cbd0,species,complanata,Ekebergia,,"Baker f.",1905,"J. Linn. Soc., Bot. 37: 132 1905",,,,,578364-1,wfo-0000663626,7831897,
ec03f846-8fcc-11eb-924d-9cd76263cbd0,species,convallariiodora,Ekebergia,,Baill.,1874,"Adansonia 11: 263 1874",,,,,,wfo-0000663627,7851063,
ec041560-8fcc-11eb-924d-9cd76263cbd0,species,dahomensis,Ekebergia,,A.Chev.,1920,"Explor. Bot. Afrique Occ. Franç. 1: 112 1920",,,,,578366-1,wfo-0000663628,3851275,
ec043112-8fcc-11eb-924d-9cd76263cbd0,species,discolor,Ekebergia,,O.Hoffm.,1880,"Linnaea 43: 123 1880",,,,,578367-1,wfo-0000663629,3851267,
ec045390-8fcc-11eb-924d-9cd76263cbd0,species,fruticosa,Ekebergia,,C.DC.,1878,"Monogr. Phan. 1: 644 1878",,,,,578368-1,wfo-0000663630,3851259,
ec04e0e4-8fcc-11eb-924d-9cd76263cbd0,species,holtzii,Ekebergia,,Harms,1911,"Bot. Jahrb. Syst. 46: 160 1911",,,,,578369-1,wfo-0000663631,3851249,
ec050eb6-8fcc-11eb-924d-9cd76263cbd0,species,indeniensis,Ekebergia,,"(A.Chev.) Harms ex Engl.",1915,"Veg. Erde 9(III 1): 819 1915",,,,,578370-1,wfo-0000663632,3851234,
ec053210-8fcc-11eb-924d-9cd76263cbd0,species,indica,Ekebergia,,"Hornem. ex Hoffmanns.",1828,"Verz. Pfl.-Kult. Nachtr. 2: 9 1828",,,,,,wfo-0000663633,3851218,
ec05507e-8fcc-11eb-924d-9cd76263cbd0,species,indica,Ekebergia,,Roxb.,1832,"Fl. Ind. ed. 1832 2: 392 1832",,,,,578371-1,wfo-0000663634,7997969,
ec058ba2-8fcc-11eb-924d-9cd76263cbd0,species,meyeri,Ekebergia,,"C.Presl ex C.DC.",1878,"Monogr. Phan. 1: 642 1878",,,,,578375-1,wfo-0000663636,3851195,
ec05a8b2-8fcc-11eb-924d-9cd76263cbd0,species,mildbraedii,Ekebergia,,Harms,1917,"Notizbl. Bot. Gart. Berlin-Dahlem 7: 229 1917",,,,,578376-1,wfo-0000663637,3851189,
