id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e33e24f2-8fd1-11eb-924d-9cd76263cbd0,genus,Elingamita,,,G.T.S.Baylis,0,1951,,"Rec. Auckland Inst. Mus. 4: 99 (1951)",,,,,,urn:lsid:ipni.org:names:27300-1,wfo-4000013209,7331037,,
ed97b1b6-8fcc-11eb-924d-9cd76263cbd0,species,johnsonii,Elingamita,,G.T.S.Baylis,0,1951,,"Rec. Auckland Inst. Mus. 4: 100 (1951)",,,,,,urn:lsid:ipni.org:names:588281-1,wfo-0000666359,3721188,,
236f9984-8fcd-11eb-924d-9cd76263cbd0,species,aureum,Eliokarmos,,Raf.,0,1837,,"Fl. Tellur. 2: 24 (1837)",,,Q5862831,,,urn:lsid:ipni.org:names:534625-1,wfo-0000766502,2773589,,
75789b36-8fcd-11eb-924d-9cd76263cbd0,species,bicornutus,Eliokarmos,,"(F.M.Leight.) Mart.-Azorín, M.B.Crespo & Juan",0,2011,,"Ann. Bot. (Oxford) 107: 29 (2011)",,Q34155283,Q1821243,,,urn:lsid:ipni.org:names:77109354-1,wfo-0000921507,8254838,,
7578b7c4-8fcd-11eb-924d-9cd76263cbd0,species,bolusianus,Eliokarmos,,"(Baker) Mart.-Azorín, M.B.Crespo & Juan",0,2011,,"Ann. Bot. (Oxford) 107: 29 (2011)",,Q34155283,Q1821243,,,urn:lsid:ipni.org:names:77109355-1,wfo-0000921508,8391560,,
236fb586-8fcd-11eb-924d-9cd76263cbd0,species,caudatum,Eliokarmos,,"(Aiton) Raf.",0,1837,,"Fl. Tellur. 2: 24 (1837)",,,Q5862831,,,urn:lsid:ipni.org:names:534626-1,wfo-0000766503,2773309,,
7577befa-8fcd-11eb-924d-9cd76263cbd0,species,ceresianus,Eliokarmos,,"(F.M.Leight.) Mart.-Azorín, M.B.Crespo & Juan",0,2011,,"Ann. Bot. (Oxford) 107: 29 (2011)",,Q34155283,Q1821243,,,urn:lsid:ipni.org:names:77109356-1,wfo-0000921500,7454101,,
765de934-8fcd-11eb-924d-9cd76263cbd0,species,ciliiferus,Eliokarmos,,"(U.Müll.-Doblies & D.Müll.-Doblies) Mart.-Azorín, M.B.Crespo & Juan",0,2011,,"Ann. Bot. (Oxford) 107: 29 (2011)",,Q34155283,Q1821243,,,urn:lsid:ipni.org:names:77109357-1,wfo-0000922764,7517861,,
236fd340-8fcd-11eb-924d-9cd76263cbd0,species,coarctatum,Eliokarmos,,"(Jacq.) Raf.",0,1837,,"Fl. Tellur. 2: 24 (1837)",,,Q5862831,040c9a60-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:534627-1,wfo-0000766504,2773552,,
75778746-8fcd-11eb-924d-9cd76263cbd0,species,conicus,Eliokarmos,,"(Jacq.) Mart.-Azorín, M.B.Crespo & Juan",0,2011,,"Ann. Bot. (Oxford) 107: 29 (2011)",,Q34155283,Q1821243,,,urn:lsid:ipni.org:names:77109358-1,wfo-0000921498,8313954,,
7577a1e0-8fcd-11eb-924d-9cd76263cbd0,species,constrictus,Eliokarmos,,"(F.M.Leight.) Mart.-Azorín, M.B.Crespo & Juan",0,2011,,"Ann. Bot. (Oxford) 107: 29 (2011)",,Q34155283,Q1821243,,,urn:lsid:ipni.org:names:77109359-1,wfo-0000921499,7607424,,
