id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e358c28a-8fd1-11eb-924d-9cd76263cbd0,genus,Epacris,,,Cav.,Q545430,1797,,"Icon. 4: 25, t. 344. 1797.",,,,,,331594-2,wfo-4000013529,7607049,,
eeaa05b8-8fcc-11eb-924d-9cd76263cbd0,species,acuminata,Epacris,,Benth.,Q731808,1868,,"Fl. Austral. 4: 240 1868",,,,,,325099-1,wfo-0000668273,5642756,,
eeaa2714-8fcc-11eb-924d-9cd76263cbd0,species,affinis,Epacris,,Colenso,Q2624463,1887,,"Trans. & Proc. New Zealand Inst. 20: 199 1887 publ. 1888",,,,,,325100-1,wfo-0000668274,5642754,,
eeaa43f2-8fcc-11eb-924d-9cd76263cbd0,species,alba-compacta,Epacris,,E.Otto,Q5406518,1850,,"Neue Allg. Deutsche Garten- Blumenzeitung 6: 104 1850",,,,,,,wfo-0000668275,5642751,,
eeaa5e50-8fcc-11eb-924d-9cd76263cbd0,species,alba-odorata,Epacris,,E.Otto,Q5406518,1850,,"Neue Allg. Deutsche Garten- Blumenzeitung 6: 104 1850",,,,,,,wfo-0000668276,5642750,,
eeaa796c-8fcc-11eb-924d-9cd76263cbd0,species,alpina,Epacris,,Hook.f.,Q157501,1853,,"Fl. Nov.-Zel. 1: 166 1853",,,,,,325101-1,wfo-0000668277,5642748,,
eeaa96e0-8fcc-11eb-924d-9cd76263cbd0,species,apiculata,Epacris,,A.Cunn.,Q545888,1825,,"Geogr. Mem. N. S. Wales 340 1825",,,,,,325102-1,wfo-0000668278,5642736,,
eeaab206-8fcc-11eb-924d-9cd76263cbd0,species,apsleyensis,Epacris,,Crowden,Q26713198,1986,,"Pap. & Proc. Roy. Soc. Tasmania 120: 17 1986",,,,,,930980-1,wfo-0000668279,5642732,,
eeaad0d8-8fcc-11eb-924d-9cd76263cbd0,species,attenuata,Epacris,,Lodd.,Q2993615,1817,,"Bot. Cab. 1: t. 38 1817",,,,,,,wfo-0000668280,5642727,,
eeaaef14-8fcc-11eb-924d-9cd76263cbd0,species,attleana,Epacris,,E.Otto,Q5406518,1850,,"Neue Allg. Deutsche Garten- Blumenzeitung 6: 104 1850",,,,,,,wfo-0000668281,5642722,,
eeab337a-8fcc-11eb-924d-9cd76263cbd0,species,auriculata,Epacris,,Benth.,Q731808,1837,,"Enum. Pl. Hügel 76 1837",,,,,,325104-1,wfo-0000668283,5642719,,
eeab50da-8fcc-11eb-924d-9cd76263cbd0,species,autumnalis,Epacris,,Paxton,Q318372,1844,,"Paxton's Mag. Bot. 11: 195 1844",,,,,,325105-1,wfo-0000668284,5642713,,
eeab6d36-8fcc-11eb-924d-9cd76263cbd0,species,barbata,Epacris,,Melville,Q7365114,1952,,"Kew Bull. 7: 176 1952",,Q43260813,,,,325106-1,wfo-0000668285,5642709,,
