id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e35d71cc-8fd1-11eb-924d-9cd76263cbd0,genus,Epicostorus,,,Raf.,Q364857,1832,,"Atlantic J. 1: 144. 1832.",,,,,,,wfo-4000013582,9331658,,
9cda313a-8fcd-11eb-924d-9cd76263cbd0,species,montanus,Epicostorus,,Raf.,Q364857,1832,,"; 1832 144 1832",,,,,,724768-1,wfo-0001003627,3016213,,
8321d68a-8fcd-11eb-924d-9cd76263cbd0,species,abbrevilabia,Epicranthes,,"(Carr) Garay & W.Kittr.","Q3281323,Q2937426,Q21516390",1985,,"Bot. Mus. Leafl. 30: 182 1985 publ. 1986",,,,,,942679-1,wfo-0000949270,2845678,,
8321fef8-8fcd-11eb-924d-9cd76263cbd0,species,adangensis,Epicranthes,,"(Seidenf.) Garay & W.Kittr.","Q606100,Q2937426,Q21516390",1985,,"Bot. Mus. Leafl. 30: 182 1985 publ. 1986",,,,,,942680-1,wfo-0000949271,2843877,,
83223698-8fcd-11eb-924d-9cd76263cbd0,species,annamensis,Epicranthes,,Guillaumin,Q2847911,1957,,"Bull. Mus. Natl. Hist. Nat. II, 28: 486 1957",,,,,,631225-1,wfo-0000949273,2845679,,
832252cc-8fcd-11eb-924d-9cd76263cbd0,species,barbata,Epicranthes,,"(Lindl.) Rchb.f.","Q378629,Q62820",1861,,"Ann. Bot. Syst. 6: 265 1861",,,,,,631226-1,wfo-0000949274,2785259,,
83226de8-8fcd-11eb-924d-9cd76263cbd0,species,cheiropetalum,Epicranthes,,"(Ridl.) Garay & W.Kittr.","Q733709,Q2937426,Q21516390",1985,,"Bot. Mus. Leafl. 30: 183 1985 publ. 1986",,,,79071a26-8fcc-11eb-924d-9cd76263cbd0,,942681-1,wfo-0000949275,2843762,,
83228a94-8fcd-11eb-924d-9cd76263cbd0,species,chlororhopalon,Epicranthes,,"(Schltr.) Garay & W.Kittr.","Q62278,Q2937426,Q21516390",1985,,"Bot. Mus. Leafl. 30: 183 1985 publ. 1986",,,,795e1c40-8fcc-11eb-924d-9cd76263cbd0,,942682-1,wfo-0000949276,2845832,,
8322a704-8fcd-11eb-924d-9cd76263cbd0,species,cimicina,Epicranthes,,"(J.J.Verm.) Garay & W.Kittr.","Q2342479,Q2937426,Q21516390",1985,,"Bot. Mus. Leafl. 30: 183 1985 publ. 1986",,,,,,942683-1,wfo-0000949277,2845838,,
8322c0fe-8fcd-11eb-924d-9cd76263cbd0,species,conchophylla,Epicranthes,,"(J.J.Sm.) Garay & W.Kittr.","Q770032,Q2937426,Q21516390",1985,,"Bot. Mus. Leafl. 30: 183 1985 publ. 1986",,,,,,942684-1,wfo-0000949278,2843056,,
