id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e3650c20-8fd1-11eb-924d-9cd76263cbd0,genus,Eremobium,,,Boiss.,,"Fl. Orient. 1: 156. 1867.",,,,,12563-1,wfo-4000013699,3051167,
ac82bef0-8fd1-11eb-924d-9cd76263cbd0,species,aegyptiacum,Eremobium,,Hochr.,,"Annuaire Conserv. Jard. Bot. Genève 7–8: 159 1904",,,,,283248-1,wfo-0001218200,7606680,
f01cd862-8fcc-11eb-924d-9cd76263cbd0,species,aegyptiacum,Eremobium,,"(Spreng.) Asch. ex Boiss.",,"Fl. Orient. Suppl.: 30 1888",,,,,20009473-1,wfo-0000670746,7581794,
ad0103f4-8fcd-11eb-924d-9cd76263cbd0,subspecies,diffusum,Eremobium,aegyptiacum,"(Decne.) Maire",,"Fl. Afrique N. 14: 66 1977",,,,,,wfo-0001036876,3051170,
1a96b180-8fcd-11eb-924d-9cd76263cbd0,variety,lineare,Eremobium,aegyptiacum,"(Delile) Zohary",,"in Fl. Palaestina 1: 267 1966",,,,,,wfo-0000748277,3051171,
f01cfa04-8fcc-11eb-924d-9cd76263cbd0,subspecies,lineare,Eremobium,aegyptiacum,"(Delile) Maire",,"in Fl. Afr. Nord 14: 68 1977",,,,,,wfo-0000670747,8163797,
f01d3dc0-8fcc-11eb-924d-9cd76263cbd0,variety,pyramidum,Eremobium,aegyptiacum,"(C.Presl) Täckh. & Boulos",,"Publ. Cairo Univ. Herb. 5: 36 1972 publ. 1974",,,,,879151-1,wfo-0000670748,3690630,
f01d6728-8fcc-11eb-924d-9cd76263cbd0,species,diffusum,Eremobium,,"(Decne.) Botsch.",,"Novosti Sist. Vyssh. Rast. 1: 359 1964",,,,,283249-1,wfo-0000670749,3051177,
f01d9a18-8fcc-11eb-924d-9cd76263cbd0,species,lineare,Eremobium,,"(Delile) Boiss.",,"Fl. Orient. 1: 157 1867",,,,,283250-1,wfo-0000670750,3051183,
f01dc114-8fcc-11eb-924d-9cd76263cbd0,species,longisiliquum,Eremobium,,"(Coss.) Boiss.",,"Fl. Orient. Suppl.: 30 1888",,,,,,wfo-0000670751,3051172,
f01e3626-8fcc-11eb-924d-9cd76263cbd0,species,nefudicum,Eremobium,,"(Velen.) B.L.Burtt & Rech.f.",,"Bot. Not. 115: 38 1962",,,,,283251-1,wfo-0000670755,3051178,
f01e5318-8fcc-11eb-924d-9cd76263cbd0,species,pyramidum,Eremobium,,"(C.Presl) Botsch.",,"Novosti Sist. Vyssh. Rast. 1: 358 1964",,,,,283252-1,wfo-0000670756,3051173,
