id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e37e8574-8fd1-11eb-924d-9cd76263cbd0,genus,Erythrophleum,,,"Afzel. ex G.Don",0,1832,,"Gen. Hist. 2: 424 (1832)",,,,,,urn:lsid:ipni.org:names:22390-1,wfo-4000013996,7587179,,
b626d18e-8fcd-11eb-924d-9cd76263cbd0,species,africanum,Erythrophleum,,"(Benth.) Harms",0,1913,,"Repert. Spec. Nov. Regni Veg. 12: 298 (1913)",,,Q6105814,,,urn:lsid:ipni.org:names:494644-1,wfo-0001057629,2971189,,
c70581ba-8fc5-11eb-924d-9cd76263cbd0,species,africanum,Erythrophleum,,"(Benth.) Harms",0,,,,,,,ba0d881a-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000194823,2971189,,
40d23be0-1d4d-11ec-82c2-f14daa6f2d93,form,glabrissimum,Erythrophleum,africanum,"(De Wild.) Wilczek",,,,,,,,,,,wfo-0001320084,,,
c27dab08-8fc6-11eb-924d-9cd76263cbd0,species,angustifolium,Erythrophleum,,Gagnep.,0,1952,,"Bull. Mus. Natl. Hist. Nat. , sér. 2, 24: 317 (1952)",,,Q37408733,,,urn:lsid:ipni.org:names:494631-1,wfo-0000199416,2944212,,
b626ed86-8fcd-11eb-924d-9cd76263cbd0,species,cambodianum,Erythrophleum,,"(Pierre) Gagnep.",0,1911,,"Notul. Syst. (Paris) 2: 111 (1911)",,,,,,urn:lsid:ipni.org:names:494645-1,wfo-0001057630,2971203,,
c23a5d3a-8fc6-11eb-924d-9cd76263cbd0,species,cambodianum,Erythrophleum,,"(Pierre) Gagnep.",0,,,,,,,,,,wfo-0000199411,2971203,,
b6267b62-8fcd-11eb-924d-9cd76263cbd0,species,chlorostachys,Erythrophleum,,"Hennings ex Taub.",,1892,,"Nat. Pflanzenfam. [Engler & Prantl] iii. 3 (1892) 127.",,,,,,urn:lsid:ipni.org:names:494646-1,wfo-0001057622,7837702,,
c6f8db0e-8fc5-11eb-924d-9cd76263cbd0,species,chlorostachys,Erythrophleum,,"(F.Muell.) Baill.",0,1870,,"Hist. Pl. 2: 150 (1870)",,,,,,urn:lsid:ipni.org:names:494632-1,wfo-0000194822,2971187,,
fbf5571a-8fc5-11eb-924d-9cd76263cbd0,species,coumingo,Erythrophleum,,Baill.,0,1871,,"Adansonia 10: 105 (1871)",,,,,,urn:lsid:ipni.org:names:494633-1,wfo-0000195755,2971188,,
b626b5d2-8fcd-11eb-924d-9cd76263cbd0,species,densiflorum,Erythrophleum,,"(Elmer) Merr.",0,1909,,"Philipp. J. Sci., C 4: 267 (1909)",,,,,,urn:lsid:ipni.org:names:494647-1,wfo-0001057626,2947768,,
b7dc7baa-8fcd-11eb-924d-9cd76263cbd0,species,densiflorum,Erythrophleum,,"(Elmer) Merr. & Rolfe",0,1909,,"Philipp. J. Sci. 4(Bot.): 267 1909",,,,,,,wfo-0001061547,2947768,,
b62641ba-8fcd-11eb-924d-9cd76263cbd0,species,dinklagei,Erythrophleum,,Taub.,0,1894,,"Nat. Pflanzenfam. [Engler & Prantl] iii. 3 (1892) 386.",,,,,,urn:lsid:ipni.org:names:494648-1,wfo-0001057620,3968268,,
c712102e-8fc5-11eb-924d-9cd76263cbd0,species,fordii,Erythrophleum,,Oliv.,0,1883,,"Hooker's Icon. Pl. 15: t. 1409 (1883)",,,,,,urn:lsid:ipni.org:names:494635-1,wfo-0000194824,2971186,,
b6269804-8fcd-11eb-924d-9cd76263cbd0,species,gabunense,Erythrophleum,,Taub.,0,1892,,"Nat. Pflanzenfam. 3(3): 386 (1892)",,,,,,urn:lsid:ipni.org:names:494649-1,wfo-0001057624,3968262,,
d46806e8-8fc5-11eb-924d-9cd76263cbd0,species,guineense,Erythrophleum,,G.Don,0,1832,,"Gen. Hist. 2: 424 (1832)",,,,,,urn:lsid:ipni.org:names:494636-1,wfo-0000195017,2971199,,
d474aac4-8fc5-11eb-924d-9cd76263cbd0,variety,swaziense,Erythrophleum,guineense,"Burtt Davy",0,,,,,,,,,,wfo-0000195019,2971197,,
