id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e380bf06-8fd1-11eb-924d-9cd76263cbd0,genus,Eschenbachia,,,Moench,,,,,,,,,,8866-1,wfo-4000014021,7336006,,
ab6705fa-8fbb-11eb-924d-9cd76263cbd0,species,ambigua,Eschenbachia,,Moris,,1843,,1843,,,,,,,wfo-0000135852,4208408,,
1bbeb62a-8fcd-11eb-924d-9cd76263cbd0,species,blinii,Eschenbachia,,"(H.Lév.) Brouillet",,2011,,"Fl. China 20-21: 556 2011",,,,,,77117649-1,wfo-0000750792,8031426,,
de917dc0-8fbb-11eb-924d-9cd76263cbd0,species,coulteri,Eschenbachia,,"(A.Gray) Rydb.",,1906,,"Bull. Torrey Bot. Club 33 154 1906",,Q55766860,,,,97198-2,wfo-0000137250,3111860,,
0f710b0e-8fb2-11eb-924d-9cd76263cbd0,species,globosa,Eschenbachia,,Moench,,1794,,"573 1794",,,,,,205041-1,wfo-0000008703,4208393,,
dbaca37a-8fb9-11eb-924d-9cd76263cbd0,species,japonica,Eschenbachia,,"(Thunb.) J.Kost.",,1952,,"Blumea 7 (1952) 290 1952",,Q96029105,,,,205042-1,wfo-0000121978,3126384,,
50c8e97e-8fb6-11eb-924d-9cd76263cbd0,species,lyrata,Eschenbachia,,"(Kunth) Britton & Millsp.",,1920,,"Fl. Baham. 444 1920",,,,,,97199-2,wfo-0000088111,3119464,,
598ed262-8fbb-11eb-924d-9cd76263cbd0,species,maxima,Eschenbachia,,"(Zoll.) J.Kost.",,1952,,"Blumea 7 290 1952",,Q96029105,,,,205044-1,wfo-0000133565,3126324,,
74a4be3c-8fb5-11eb-924d-9cd76263cbd0,species,persicifolia,Eschenbachia,,"(Benth.) Exell",,1944,,"224 1944",,,,,,205045-1,wfo-0000078298,3126061,,
6e7c64f2-8fb9-11eb-924d-9cd76263cbd0,species,rufa,Eschenbachia,,"(Wall. ex DC.) Raizada",,1959,,"679 1959",,,,3cf02cb4-8fb6-11eb-924d-9cd76263cbd0,,205046-1,wfo-0000118312,3126173,,
451313c0-8fb6-11eb-924d-9cd76263cbd0,species,stricta,Eschenbachia,,"(Willd.) Raizada",,1959,,"679 1959",,,,,,205047-1,wfo-0000087599,4208366,,
b73afc8c-8fb2-11eb-924d-9cd76263cbd0,species,tenuisecta,Eschenbachia,,"(A.Gray) Wooton & Standl.",,1913,,"Contr. U. S. Natl. Herb. 16 186 1913",,,,b1dceb54-8fb9-11eb-924d-9cd76263cbd0,,97200-2,wfo-0000032615,3126182,,
6f603aee-8fb2-11eb-924d-9cd76263cbd0,species,viscidula,Eschenbachia,,"(DC.) J.Kost.",,1952,,"Blumea 7 (1952) 290 1952",,Q96029105,,,,205049-1,wfo-0000024444,3126288,,
f5904748-8fcc-11eb-924d-9cd76263cbd0,species,gloxiniifolia,Escheria,,Regel,,1849,,"Flora 32: 179 1849",,,,,,380845-1,wfo-0000680401,7659858,,
