id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e3d98e74-8fd1-11eb-924d-9cd76263cbd0,genus,Gaillardia,,,Foug.,Q766363,,,,,,,,,329192-2,wfo-4000015173,3095122,,
1699123c-8fb2-11eb-924d-9cd76263cbd0,species,acaulis,Gaillardia,,Pursh,Q67353,1813,,"743 1813",,,,,,106480-2,wfo-0000010676,5387844,,
c9db9428-8fb2-11eb-924d-9cd76263cbd0,species,acaulis,Gaillardia,,A.Gray,Q347356,1874,,"73 1874",,,,,,208333-1,wfo-0000034512,7527891,,
30b125d0-8fb5-11eb-924d-9cd76263cbd0,species,aestivalis,Gaillardia,,"(Walter) H.Rock","Q1366734,Q21340854",1956,,"Rhodora 58 315 1956",,Q100411178,,a11de14c-8fcd-11eb-924d-9cd76263cbd0,,106481-2,wfo-0000075011,5387851,,
61e14098-8fb2-11eb-924d-9cd76263cbd0,variety,flavovirens,Gaillardia,aestivalis,"(C.Mohr) Cronquist","Q5081015,Q362245",1977,,"Brittonia 29 221 1977",,Q55768807,,13e0b422-8fb8-11eb-924d-9cd76263cbd0,,877293-1,wfo-0000022740,5699316,,
43329a9a-8fb5-11eb-924d-9cd76263cbd0,variety,winkleri,Gaillardia,aestivalis,"(Cory) B.L.Turner","Q6161483,Q4468157",1979,,"621 1979",,Q95999833,,3b2cbd2a-8fb6-11eb-924d-9cd76263cbd0,,106483-2,wfo-0000075922,5699310,,
ba806618-8fba-11eb-924d-9cd76263cbd0,species,alternifolia,Gaillardia,,Steud.,Q62821,1840,,"Nomencl. Bot., ed. 2 (Steudel) 1: 652, sphalm. 1840",,,,,,208336-1,wfo-0000128976,5699307,,
b7fc494e-8fb4-11eb-924d-9cd76263cbd0,species,amara,Gaillardia,,Raf.,Q364857,1817,,"69 1817",,,,,,208337-1,wfo-0000068922,5401837,,
3d8c32b6-8fb2-11eb-924d-9cd76263cbd0,species,amblyodon,Gaillardia,,J.Gay,Q2336833,1839,,"62 1839",,,,,,,wfo-0000017019,5387845,,
d9f7c4d8-8fb9-11eb-924d-9cd76263cbd0,species,aristata,Gaillardia,,Pursh,Q67353,1814,,"573 1814",,,,,,,wfo-0000121921,5387859,,
03e84014-8fb6-11eb-924d-9cd76263cbd0,variety,foliacea,Gaillardia,aristata,Lunell,Q3019197,1911,,"Amer. Midl. Naturalist 2 122 1911",,Q55773279,,,,106484-2,wfo-0000084740,5699300,,
7af1f34c-8fb8-11eb-924d-9cd76263cbd0,variety,foliosa,Gaillardia,aristata,Lunell,Q3019197,,,,,,,,,,wfo-0000109772,6298463,,
dcb30d6e-8fb8-11eb-924d-9cd76263cbd0,form,monochroma,Gaillardia,aristata,B.Boivin,Q5937075,1960,,"Naturaliste Canad. 87 33 1960",,,,,,106485-2,wfo-0000113278,5699297,,
da6df316-8fb8-11eb-924d-9cd76263cbd0,form,tubuliflora,Gaillardia,aristata,Clute,Q8003467,1915,,"Amer. Bot. (Binghamton) 21 101 1915",,,,,,106486-2,wfo-0000113198,5699295,,
6adc6346-8fba-11eb-924d-9cd76263cbd0,species,arizonica,Gaillardia,,A.Gray,Q347356,1884,,"353 1884",,,,,,208340-1,wfo-0000126481,5387846,,
9e318210-8fb7-11eb-924d-9cd76263cbd0,variety,pringlei,Gaillardia,arizonica,"(Rydb.) S.F.Blake","Q1905130,Q2332170",1940,,"472 1940",,Q96064218,,,,106487-2,wfo-0000101432,5699291,,
2ce243ba-8fb2-11eb-924d-9cd76263cbd0,species,aromatica,Gaillardia,,Baill.,Q461931,1882,,"307 1882",,,,,,208341-1,wfo-0000014597,5401868,,
377de12c-8fbb-11eb-924d-9cd76263cbd0,species,bicolor,Gaillardia,,Pursh,Q67353,1813,,1813,,,,,,,wfo-0000132622,8080921,,
ac141038-8fb6-11eb-924d-9cd76263cbd0,species,bicolor,Gaillardia,,Elliott,Q2982922,1823,,"449 1823",,,,,,,wfo-0000091939,5387823,,
e5f9cbca-8fb7-11eb-924d-9cd76263cbd0,species,bicolor,Gaillardia,,Lam.,Q82122,1788,,"590 1788",,,,,,208342-1,wfo-0000104252,7382983,,
13463252-8fb9-11eb-924d-9cd76263cbd0,species,bracteosa,Gaillardia,,Standl.,Q1333160,1912,,"2 1912",,,,,,106489-2,wfo-0000115182,5387863,,
18d5befe-8fb4-11eb-924d-9cd76263cbd0,species,cabrerae,Gaillardia,,Covas,Q4225704,1969,,"Bol. Soc. Argent. Bot. 11 262 1969",,,,,,106490-2,wfo-0000059907,5387871,,
23c0a84a-8fbb-11eb-924d-9cd76263cbd0,species,chrysantha,Gaillardia,,Small,Q2590065,1903,,1903,,,,,,208347-1,wfo-0000132023,5387854,,
f5c17742-8fb2-11eb-924d-9cd76263cbd0,species,coahuilensis,Gaillardia,,B.L.Turner,Q4468157,1977,,"539 1977",,Q98713803,,,,106492-2,wfo-0000038420,5387879,,
e69a7be2-8fb7-11eb-924d-9cd76263cbd0,species,comosa,Gaillardia,,A.Gray,Q347356,,,109,,,,,,,wfo-0000104276,5387819,,
9479c4f0-8fba-11eb-924d-9cd76263cbd0,species,crassa,Gaillardia,,Rydb.,Q1905130,1915,,"N. Amer. Fl. 34 138 1915",,,,,,208350-1,wfo-0000127782,5387832,,
72c52a82-8fb2-11eb-924d-9cd76263cbd0,species,crassifolia,Gaillardia,,"A.Nelson & J.F.Macbr.","Q4316797,Q3046674",1916,,"Bot. Gaz. 61 46 1916",,Q55758661,,,,106494-2,wfo-0000024860,5387830,,
27c3f410-8fb6-11eb-924d-9cd76263cbd0,species,crinita,Gaillardia,,Rydb.,Q1905130,1915,,"N. Amer. Fl. 34 139 1915",,,,,,106495-2,wfo-0000086296,5387848,,
ca435692-8fb9-11eb-924d-9cd76263cbd0,species,doniana,Gaillardia,,"(Hook. & Arn.) Griseb.","Q472639,Q730292,Q76351",1874,,"Abh. Königl. Ges. Wiss. Göttingen 19: 188 (1874)",,,,,,,wfo-0000121398,5387818,,
be0f6cfa-8fb7-11eb-924d-9cd76263cbd0,variety,discoidea,Gaillardia,doniana,Griseb.,Q76351,1874,,"188 1874",,,,,,106496-2,wfo-0000102693,5699248,,
7408d95c-8fb2-11eb-924d-9cd76263cbd0,species,drummondii,Gaillardia,,"(Hook.) DC.","Q472639,Q123057",1836,,"652 1836",,,,,,208353-1,wfo-0000024985,5387828,,
09351096-8fb2-11eb-924d-9cd76263cbd0,species,fastigiata,Gaillardia,,Small,Q2590065,,,,,,,,,296186-2,wfo-0000006610,8365429,,
302d0924-8fb2-11eb-924d-9cd76263cbd0,species,fastigiata,Gaillardia,,Greene,Q2661665,1902,,"Pittonia 5 57 1902",,,,,,106497-2,wfo-0000015139,5387858,,
45b36426-8fb4-11eb-924d-9cd76263cbd0,species,fimbriata,Gaillardia,,Michx.,Q521848,1803,,"142 1803",,,,,,208355-1,wfo-0000062541,5401873,,
e4403524-8fb4-11eb-924d-9cd76263cbd0,species,flava,Gaillardia,,Rydb.,Q1905130,1915,,"N. Amer. Fl. 34 139 1915",,,,,,106499-2,wfo-0000071245,5387834,,
3401cbb6-8fb2-11eb-924d-9cd76263cbd0,species,gauroides,Gaillardia,,Greene,Q2661665,1907,,"Bull. Gulf Biol. Sta. 7: 40. 1907",,,,,,106500-2,wfo-0000015743,5699234,,
e367f31e-8fb2-11eb-924d-9cd76263cbd0,species,glauca,Gaillardia,,"(Cav.) Baill.","Q545430,Q461931",1882,,"307 1882",,,,,,208357-1,wfo-0000036794,5401856,,
5b2e6424-8fb2-11eb-924d-9cd76263cbd0,species,globosa,Gaillardia,,A.Nelson,Q4316797,1926,,"135 1926",,,,,,106501-2,wfo-0000021783,5387836,,
