id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e3ddbe7c-8fd1-11eb-924d-9cd76263cbd0,genus,Galeottiella,,,Schltr.,,1920,,"Beih. Bot. Centralbl., Abt. 2 37(2, Heft 3): 360–361. 1920. (31 Mar 1920)",,,,,,295859-2,wfo-4000015227,2783261,,
8bb890ae-8fcd-11eb-924d-9cd76263cbd0,species,constricta,Galeottiella,,Szlach.,,1994,,"Fragm. Florist. Geobot. 39: 427 1994",,,,,,306143-2,wfo-0000968109,2838888,,
8bb8ae7c-8fcd-11eb-924d-9cd76263cbd0,species,hintoniorum,Galeottiella,,Todzia,,1994,,"Brittonia 46: 332 1994",,Q55770830,,,,303018-2,wfo-0000968110,2838891,,
8bb8cb96-8fcd-11eb-924d-9cd76263cbd0,species,markowskiana,Galeottiella,,Szlach.,,1991,,"Fragm. Florist. Geobot. 35: 61 1991",,,,,,303182-2,wfo-0000968111,2838901,,
8bb8e8a6-8fcd-11eb-924d-9cd76263cbd0,species,minutiflora,Galeottiella,,"(A.Rich. & Galeotti) Szlach.",,1991,,"Fragm. Florist. Geobot. 35: 63 1991",,,,0eb1c87e-8fcc-11eb-924d-9cd76263cbd0,,1071869-2,wfo-0000968112,2838884,,
8bb9055c-8fcd-11eb-924d-9cd76263cbd0,species,nutantiflora,Galeottiella,,"(Schltr.) Szlach.",,1991,,"Fragm. Florist. Geobot. 35: 63 1991",,,,,,963398-1,wfo-0000968113,2838880,,
30b85324-8fcd-11eb-924d-9cd76263cbd0,species,orchioides,Galeottiella,,"(Lindl.) R.González ex Rutk., Mytnik & Szlach.",,2004,,"Ann. Bot. Fenn. 41: 477 2004",,Q42898984,,fb84cf12-8fcb-11eb-924d-9cd76263cbd0,,77063837-1,wfo-0000795394,2783265,,
8bb92082-8fcd-11eb-924d-9cd76263cbd0,species,rubrocalosa,Galeottiella,,"(B.L.Rob. & Greenm.) Szlach.",,1991,,"Fragm. Florist. Geobot. 35: 64 1991",,,,,,963399-1,wfo-0000968114,2838894,,
8bb93c2a-8fcd-11eb-924d-9cd76263cbd0,variety,santa-elenae,Galeottiella,rubrocalosa,Szlach.,,1991,,"Fragm. Florist. Geobot. 36: 8 1991",,,,,,312537-2,wfo-0000968115,2838893,,
8bb9569c-8fcd-11eb-924d-9cd76263cbd0,species,santa-elenae,Galeottiella,,"(Szlach.) Szlach.",,1994,,"Fragm. Florist. Geobot. 39: 427 1994",,,,8bb93c2a-8fcd-11eb-924d-9cd76263cbd0,,981427-1,wfo-0000968116,2838897,,
8bb973a2-8fcd-11eb-924d-9cd76263cbd0,species,sarcoglossa,Galeottiella,,"(A.Rich. & Galeotti) Schltr.",,1920,,"Beih. Bot. Centralbl. 37(2): 361 1920",,,,0ecc261a-8fcc-11eb-924d-9cd76263cbd0,,106840-2,wfo-0000968117,2783262,,
