id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e3f89242-8fd1-11eb-924d-9cd76263cbd0,genus,Geonoma,,,Willd.,0,1805,,"Sp. Pl., ed. 4 , 4: 593 (1805)",,,,,,urn:lsid:ipni.org:names:328418-2,wfo-4000015535,2734029,,
8dc26d5c-8fcd-11eb-924d-9cd76263cbd0,species,acaulis,Geonoma,,"(Poit.) Burret",0,1930,,"Bot. Jahrb. Syst. 63: 162 1930",,,Q5732642,,,108821-2,wfo-0000971999,8090456,,
8dc2a858-8fcd-11eb-924d-9cd76263cbd0,species,acaulis,Geonoma,,Mart.,0,1823,,"Hist. Nat. Palm. 2: 18 (1823)",,,,,,urn:lsid:ipni.org:names:666990-1,wfo-0000972001,2734279,,
8dc2c9f0-8fcd-11eb-924d-9cd76263cbd0,subspecies,tapajotensis,Geonoma,acaulis,Trail,0,1876,,"J. Bot. 14: 324 (1876)",,,,,,urn:lsid:ipni.org:names:108822-2,wfo-0000972002,2734276,,
8dc2ec0a-8fcd-11eb-924d-9cd76263cbd0,species,acutangula,Geonoma,,Burret,0,1930,,"Bot. Jahrb. Syst. 63: 177 (1930)",,,Q5732642,,,urn:lsid:ipni.org:names:108823-2,wfo-0000972003,2734162,,
8dc30b4a-8fcd-11eb-924d-9cd76263cbd0,species,acutiflora,Geonoma,,Mart.,0,1823,,"Hist. Nat. Palm. 2: 10 (1823)",,,,,,urn:lsid:ipni.org:names:666993-1,wfo-0000972004,2734372,,
8dc32d6e-8fcd-11eb-924d-9cd76263cbd0,species,adscendens,Geonoma,,"Dammer ex Burret",0,1930,,"Bot. Jahrb. Syst. 63: 175 (1930)",,,Q5732642,,,urn:lsid:ipni.org:names:108824-2,wfo-0000972005,2734153,,
8dc3794a-8fcd-11eb-924d-9cd76263cbd0,species,allenii,Geonoma,,L.H.Bailey,0,1943,,"Gentes Herbarum 6: 204 (1943)",,,,,,urn:lsid:ipni.org:names:108825-2,wfo-0000972006,2732331,,
8dc39b78-8fcd-11eb-924d-9cd76263cbd0,species,altissima,Geonoma,,Barb.Rodr.,0,1898,,"Palm. Mattogross. Nov. : 6 (1898)",,,,,,urn:lsid:ipni.org:names:108826-2,wfo-0000972007,2734032,,
8dc3ba22-8fcd-11eb-924d-9cd76263cbd0,species,amabilis,Geonoma,,"H.Wendl. ex Dahlgren",0,1936,,"Publ. Field Mus. Nat. Hist., Bot. Ser. 14: 158 1936",,,,,,,wfo-0000972008,2735621,,
8dc3dade-8fcd-11eb-924d-9cd76263cbd0,species,amazonica,Geonoma,,"hort. ex H.Wendl.",0,1878,,"Palmiers [Kerchove] 245. 1878",,,,,,urn:lsid:ipni.org:names:666998-1,wfo-0000972009,3592986,,
8dc3fbf4-8fcd-11eb-924d-9cd76263cbd0,species,ambigua,Geonoma,,Spruce,0,1869,,"J. Linn. Soc., Bot. 11: 111 (1869)",,Q55758848,,,,urn:lsid:ipni.org:names:666999-1,wfo-0000972010,2734221,,
c4bc31da-8fcd-11eb-924d-9cd76263cbd0,species,ambilis,Geonoma,,H.Wendl.,0,,,,,,,,,,wfo-0001090584,7801182,,
8dc43c9a-8fcd-11eb-924d-9cd76263cbd0,species,amoena,Geonoma,,Burret,0,1933,,"Notizbl. Bot. Gart. Berlin-Dahlem 11: 862 (1933)",,Q55777351,,,,urn:lsid:ipni.org:names:108827-2,wfo-0000972012,2734151,,
8dc45c66-8fcd-11eb-924d-9cd76263cbd0,species,andicola,Geonoma,,"Dammer ex Burret",0,1930,,"Bot. Jahrb. Syst. 63: 218 (1930)",,,Q5732642,,,urn:lsid:ipni.org:names:108828-2,wfo-0000972013,2734297,,
8dc47c0a-8fcd-11eb-924d-9cd76263cbd0,species,andina,Geonoma,,Burret,0,1930,,"Bot. Jahrb. Syst. 63: 188 (1930)",,,Q5732642,,,urn:lsid:ipni.org:names:108829-2,wfo-0000972014,2734077,,
8dc4e12c-8fcd-11eb-924d-9cd76263cbd0,species,anomoclada,Geonoma,,Burret,0,1935,,"Notizbl. Bot. Gart. Berlin-Dahlem 12: 615 (1935)",,Q55777605,,,,urn:lsid:ipni.org:names:108830-2,wfo-0000972015,2734070,,
c4c25b64-8fcd-11eb-924d-9cd76263cbd0,species,antioquensis,Geonoma,,"hort. ex H.Wendl.",0,1878,,"Palmiers [Kerchove] 245, nomen. 1878",,,,,,urn:lsid:ipni.org:names:667004-1,wfo-0001090641,3592967,,
8dc522ae-8fcd-11eb-924d-9cd76263cbd0,species,appuniana,Geonoma,,Spruce,0,1869,,"J. Linn. Soc., Bot. 11: 106 (1869)",,Q55758848,,,,urn:lsid:ipni.org:names:667005-1,wfo-0000972016,2734365,,
8dc54266-8fcd-11eb-924d-9cd76263cbd0,species,aricanga,Geonoma,,Barb.Rodr.,0,1875,,"Enum. Palm. Nov. : 40 (1875)",,,,,,urn:lsid:ipni.org:names:667007-1,wfo-0000972017,2734043,,
