id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e3fd6dee-8fd1-11eb-924d-9cd76263cbd0,genus,Geunsia,,,Blume,,"Catalogus 11. 1823.",,,,,,wfo-4000015603,7237574,
8e04229c-8fcd-11eb-924d-9cd76263cbd0,species,acuminatissima,Geunsia,,"(Teijsm. & Binn.) H.J.Lam",,"Verben. Malay. Archip. 32 1919",,,,,862811-1,wfo-0000972493,7308123,
8e04406a-8fcd-11eb-924d-9cd76263cbd0,species,anisophylla,Geunsia,,"Hallier f.",,"Meded. Rijks-Herb. 37: 29 1918",,,,,862812-1,wfo-0000972494,7308122,
8e045e2e-8fcd-11eb-924d-9cd76263cbd0,species,anomala,Geunsia,,Ridl.,,"Bull. Misc. Inform. Kew 1929: 260 1929",,,,,862813-1,wfo-0000972495,7308120,
8e0480de-8fcd-11eb-924d-9cd76263cbd0,species,apoensis,Geunsia,,"(Elmer) Moldenke",,"Phytologia 5: 8 1954",,,,,862814-1,wfo-0000972496,7308119,
8e04abae-8fcd-11eb-924d-9cd76263cbd0,species,beccariana,Geunsia,,Briq.,,"Nat. Pflanzenfam. 4(3a): 165 1894",,,,,862815-1,wfo-0000972497,7308117,
cad8124c-8fd1-11eb-924d-9cd76263cbd0,species,celebica,Geunsia,,"Koord. ex Bakh.",,"Bull. Jard. Bot. Buitenzorg, sér. 3, 3: 14 1921",,,,,862816-1,wfo-0001274237,7308115,
8e04da0c-8fcd-11eb-924d-9cd76263cbd0,species,cinnamomea,Geunsia,,"Hallier f.",,"Meded. Rijks-Herb. 37: 30 1918",,,,,862817-1,wfo-0000972498,7308114,
8e05124c-8fcd-11eb-924d-9cd76263cbd0,species,cumingiana,Geunsia,,"(Schauer) Rolfe",,"J. Linn. Soc., Bot. 21: 315 1884",,,,,862818-1,wfo-0000972499,7308112,
34525d54-8fcd-11eb-924d-9cd76263cbd0,variety,dentata,Geunsia,cumingiana,"(Bakh.) Moldenke",,"Phytologia 5: 8 1954",,,,,,wfo-0000802930,7906826,
34200af2-8fcd-11eb-924d-9cd76263cbd0,variety,pentamera,Geunsia,cumingiana,H.J.Lam,,"Verben. Malay. Archip. ? 1919",,,,,,wfo-0000802488,7593866,
8e0550ae-8fcd-11eb-924d-9cd76263cbd0,species,epiphytica,Geunsia,,"(Elmer) H.J.Lam",,"Verben. Malay. Archip. 38 1919",,,,,862819-1,wfo-0000972500,7308109,
8e05735e-8fcd-11eb-924d-9cd76263cbd0,species,farinosa,Geunsia,,Blume,,"Catalogus 12 1823",,,,,862821-1,wfo-0000972501,7308104,
8e058fa6-8fcd-11eb-924d-9cd76263cbd0,variety,callicarpoides,Geunsia,farinosa,"H.J.Lam ex Moldenke",,"Phytologia 50: 220 1982",,,,,917009-1,wfo-0000972502,7308108,
8e05ed84-8fcd-11eb-924d-9cd76263cbd0,form,serratula,Geunsia,farinosa,Moldenke,,"Phytologia 44: 473 1979",,,,,892409-1,wfo-0000972504,7308106,
8e061c14-8fcd-11eb-924d-9cd76263cbd0,species,fastuosa,Geunsia,,Raf.,,"Fl. Tellur. 4: 61 1838",,,,,862822-1,wfo-0000972505,3774160,
8e0641c6-8fcd-11eb-924d-9cd76263cbd0,species,flavida,Geunsia,,"(Elmer) H.J.Lam",,"Verben. Malay. Archip. 39 1919",,,,,862823-1,wfo-0000972506,7308100,
8e066a02-8fcd-11eb-924d-9cd76263cbd0,species,furfuracea,Geunsia,,"(Bakh.) Moldenke",,"Amer. J. Bot. 32: 612 1945",,,,,862824-1,wfo-0000972507,7308099,
8e06885c-8fcd-11eb-924d-9cd76263cbd0,species,grandiflora,Geunsia,,"Hallier f.",,"Meded. Rijks-Herb. 37: 24 1918",,,,,862825-1,wfo-0000972508,7308098,
8e06ab52-8fcd-11eb-924d-9cd76263cbd0,species,havilandii,Geunsia,,"King & Gamble",,"Bull. Misc. Inform. Kew 1908: 105 1908",,,,,862826-1,wfo-0000972509,7308096,
8e06c79a-8fcd-11eb-924d-9cd76263cbd0,species,hexandra,Geunsia,,"(Teijsm. & Binn.) Koord.",,"Meded. Lands Plantentuin 19: 559 1898",,,,,862827-1,wfo-0000972510,7308093,
8e06e4a0-8fcd-11eb-924d-9cd76263cbd0,variety,macrophylla,Geunsia,hexandra,Moldenke,,"Phytologia 49: 430 1981",,,,,916336-1,wfo-0000972511,7308095,
34527a8c-8fcd-11eb-924d-9cd76263cbd0,form,serrulata,Geunsia,hexandra,Moldenke,,"Phytologia 5: 8 1954",,,,,,wfo-0000802931,7405396,
8e0711b4-8fcd-11eb-924d-9cd76263cbd0,species,homoeophylla,Geunsia,,"Hallier f.",,"Meded. Rijks-Herb. 37: 26 1918",,,,,862828-1,wfo-0000972512,7308092,
8e072fb4-8fcd-11eb-924d-9cd76263cbd0,species,hookeri,Geunsia,,Merr.,,"Philipp. J. Sci., C 7: 342 1912",,,,,862829-1,wfo-0000972513,7308088,
8e07526e-8fcd-11eb-924d-9cd76263cbd0,species,paloensis,Geunsia,,"(Elmer) H.J.Lam ex Moldenke",,"Phytologia 50: 361 1982",,,,,910694-1,wfo-0000972514,7308084,
34529666-8fcd-11eb-924d-9cd76263cbd0,variety,celebica,Geunsia,paloensis,"(Bakh.) Moldenke",,"Phytologia 5: 8 1954",,,,,,wfo-0000802932,7905907,
8e07753c-8fcd-11eb-924d-9cd76263cbd0,species,pentandra,Geunsia,,"(Roxb.) Merr.",,"Philipp. J. Sci., C 11: 309 1916",,,,,862831-1,wfo-0000972515,7308081,
