id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e40284f0-8fd1-11eb-924d-9cd76263cbd0,genus,Ginkgo,,,L.,1771,"Mant. Pl. 2: 313. 1771.",,,,,11657-1,wfo-4000015665,2687884,
30c7bb02-8fcd-11eb-924d-9cd76263cbd0,species,biloba,Ginkgo,,L.,1771,"Mant. Pl. 2: 313 1771",,,,,262125-1,wfo-0000795526,2687885,
450f5c82-8fcd-11eb-924d-9cd76263cbd0,form,aurea,Ginkgo,biloba,"(J.Nelson) Beissn.",1887,"Handb. Conif. 47 1887",,,,,,wfo-0000838882,2687892,
450f78fc-8fcd-11eb-924d-9cd76263cbd0,variety,aurea,Ginkgo,biloba,"(J.Nelson) A.Henry",1906,"Trees Great Britain 1: 58 1906",,,,,,wfo-0000838883,6285427,
30c7d466-8fcd-11eb-924d-9cd76263cbd0,variety,epiphylla,Ginkgo,biloba,Makino,1929,"J. Jap. Bot. 6: 5 1929",,,,,,wfo-0000795527,2687896,
450f0110-8fcd-11eb-924d-9cd76263cbd0,form,fastigiata,Ginkgo,biloba,"(A.Henry) Rehder",1949,"Bibl. Cult. Trees 1 1949",,,,,,wfo-0000838879,6285431,
30c7ee7e-8fcd-11eb-924d-9cd76263cbd0,variety,fastigiata,Ginkgo,biloba,A.Henry,1906,"Trees Great Britain 1: 58 1906",,,,,,wfo-0000795528,6285431,
382fe14e-8fcd-11eb-924d-9cd76263cbd0,variety,laciniata,Ginkgo,biloba,"(Carrière) Carrière",1867,"Traité Gén. Conif. ed. 2: 712 1867",,,,,,wfo-0000811146,6285429,
450f1db2-8fcd-11eb-924d-9cd76263cbd0,form,laciniata,Ginkgo,biloba,"(Carrière) Beissn.",1887,"Handb. Conif. 24 1887",,,,,,wfo-0000838880,2687891,
30c80878-8fcd-11eb-924d-9cd76263cbd0,form,microsperma,Ginkgo,biloba,Sugim.,1977,"J. Geobot. 24: 61 1977",,,,,974469-1,wfo-0000795529,2687888,
30c82e20-8fcd-11eb-924d-9cd76263cbd0,form,parvifolia,Ginkgo,biloba,Sugim.,1977,"J. Geobot. 24: 61 1977",,,,,974468-1,wfo-0000795530,2687900,
38300584-8fcd-11eb-924d-9cd76263cbd0,variety,pendula,Ginkgo,biloba,"(Van Geert) Carrière",1867,"Traité Gén. Conif. ed. 2: 713 1867",,,,32b891e8-8fcd-11eb-924d-9cd76263cbd0,,wfo-0000811147,2687890,
30c849d2-8fcd-11eb-924d-9cd76263cbd0,form,pendula,Ginkgo,biloba,"(Van Geert) Beissn.",1887,"Handb. Conif. 24 1887",,,,,,wfo-0000795531,6285428,
450f37a2-8fcd-11eb-924d-9cd76263cbd0,form,variegata,Ginkgo,biloba,"(Carrière) Beissn.",1887,"Handb. Conif. 25 1887",,,,,,wfo-0000838881,6285430,
382fc1fa-8fcd-11eb-924d-9cd76263cbd0,variety,variegata,Ginkgo,biloba,"(Carrière) Carrière",1867,"Traité Gén. Conif. ed. 2: 712 1867",,,,,,wfo-0000811145,2687897,
30c86480-8fcd-11eb-924d-9cd76263cbd0,species,macrophylla,Ginkgo,,K.Koch,1873,"Dendrologie 2(2): 108 1873",,,,,262126-1,wfo-0000795532,2687903,
c24efa6e-8fd1-11eb-924d-9cd76263cbd0,species,parvifolia,Ginkgo,,Sugim.,1977,"J. Geobot. 24(3): 61 1977",,,,,,wfo-0001258456,8211843,
