id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e40c3180-8fd1-11eb-924d-9cd76263cbd0,genus,Glockeria,,,Nees,,1847,,"Prodr. 11: 728 (1847)",,,Q2712448,,,urn:lsid:ipni.org:names:602-1,wfo-4000015774,3230231,,
029f2580-8fcd-11eb-924d-9cd76263cbd0,species,blepharorhachis,Glockeria,,"(Lindau) Leonard",0,1938,,"Publ. Field Columb. Mus., Bot. Ser. 18: 1218 (1938)",,,,b02a1692-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:110869-2,wfo-0000703939,5574169,,
029f4844-8fcd-11eb-924d-9cd76263cbd0,species,glabra,Glockeria,,Leonard,0,1941,,"Contr. Univ. Michigan Herb. No. 6, 60 (1941).",,,,,,urn:lsid:ipni.org:names:49102-1,wfo-0000703940,5574159,,
029f64dc-8fcd-11eb-924d-9cd76263cbd0,species,glandulosa,Glockeria,,Oerst.,0,1854,,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1854: 141 (1855)",,,,,,urn:lsid:ipni.org:names:49103-1,wfo-0000703941,5574152,,
029f7f94-8fcd-11eb-924d-9cd76263cbd0,species,gracilis,Glockeria,,Nees,0,1847,,"Prodr. 11: 728 (1847)",,,Q2712448,,,urn:lsid:ipni.org:names:49104-1,wfo-0000703942,5574146,,
c759d434-8fd1-11eb-924d-9cd76263cbd0,species,gracilis,Glockeria,,"(Nees) Oerst.",0,1854,,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1854: 140. 1855",,,,,,urn:lsid:ipni.org:names:1024285-2,wfo-0001267543,5574146,,
029f9e7a-8fcd-11eb-924d-9cd76263cbd0,species,haematodes,Glockeria,,"(Schltdl.) Oerst.",0,1854,,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1854: 141 (1855)",,,,c0a6e528-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:1162445-2,wfo-0000703943,5574141,,
b88a5b90-8fd1-11eb-924d-9cd76263cbd0,species,maramttioides,Glockeria,,Göpp.,0,1836,,"Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur. 17(Suppl.): 379 1836",,,,,,,wfo-0001240243,7989088,,
029fbcf2-8fcd-11eb-924d-9cd76263cbd0,species,monolopha,Glockeria,,Donn.Sm.,0,1899,,"Bot. Gaz. 27: 439 (1899)",,Q55758536,Q894627,,,urn:lsid:ipni.org:names:309162-2,wfo-0000703944,5574135,,
029fe04c-8fcd-11eb-924d-9cd76263cbd0,species,moralesii,Glockeria,,Standl.,0,1930,,"Publ. Field Columb. Mus., Bot. Ser. 8: 47 (1930)",,,,,,urn:lsid:ipni.org:names:110873-2,wfo-0000703945,5574126,,
02a0a7b6-8fcd-11eb-924d-9cd76263cbd0,species,reflexiflora,Glockeria,,Leonard,0,1941,,"Ann. Missouri Bot. Gard. 28: 465 (1941)",,Q55764699,Q2530335,,,urn:lsid:ipni.org:names:110874-2,wfo-0000703947,5574118,,
02a0c520-8fcd-11eb-924d-9cd76263cbd0,species,sessilifolia,Glockeria,,Oerst.,0,1854,,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn 1854: 141 (1855)",,,,,,urn:lsid:ipni.org:names:277556-2,wfo-0000703948,5574109,,
02a0e488-8fcd-11eb-924d-9cd76263cbd0,species,stricta,Glockeria,,Leonard,0,1938,,"Publ. Field Columb. Mus., Bot. Ser. 18: 1219 (1938)",,,,,,urn:lsid:ipni.org:names:110876-2,wfo-0000703949,5574101,,
02a100b2-8fcd-11eb-924d-9cd76263cbd0,species,ventricosa,Glockeria,,Donn.Sm.,0,1899,,"Bot. Gaz. 27: 439 (1899)",,Q55758536,Q894627,,,urn:lsid:ipni.org:names:110877-2,wfo-0000703950,5574094,,
