id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e40e3c78-8fd1-11eb-924d-9cd76263cbd0,genus,Glossocarya,,,"Wall. ex Griff.",,1843,,"Calcutta J. Nat. Hist. 3: 366. 1843.",,,,,,41279-1,wfo-4000015797,7307826,,
8ea9a6ea-8fcd-11eb-924d-9cd76263cbd0,species,calcicola,Glossocarya,,Domin,,1928,,"Biblioth. Bot. 89: 558 1928",,,,,,862913-1,wfo-0000973845,3891649,,
8ea9c382-8fcd-11eb-924d-9cd76263cbd0,species,coriacea,Glossocarya,,Munir,,1990,,"J. Adelaide Bot. Gard. 13: 21 1990",,Q92901670,,,,940406-1,wfo-0000973846,3891632,,
8ea9dfa2-8fcd-11eb-924d-9cd76263cbd0,species,crenata,Glossocarya,,H.R.Fletcher,,1938,,"Bull. Misc. Inform. Kew 1938: 205 1938",,Q55778756,,,,862914-1,wfo-0000973847,3891626,,
8ea9fc30-8fcd-11eb-924d-9cd76263cbd0,species,hemiderma,Glossocarya,,"(F.Muell. ex Benth.) Benth. ex B.D.Jacks.",,,,"Index Kew. 1(2): 1035 1893",,,,59292950-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000973848,8115174,,
8eaa2fb6-8fcd-11eb-924d-9cd76263cbd0,species,linnaei,Glossocarya,,"(Thwaites) Benth. ex C.B.Clarke",,1885,,"Fl. Brit. India 4: 598 1885",,,,59da3f1a-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0000973850,7701128,,
8eaa4a78-8fcd-11eb-924d-9cd76263cbd0,species,longiflora,Glossocarya,,H.R.Fletcher,,1938,,"Bull. Misc. Inform. Kew 1938: 205 1938",,Q55778756,,,,862917-1,wfo-0000973851,3891601,,
8eaa672e-8fcd-11eb-924d-9cd76263cbd0,species,mollis,Glossocarya,,"Wall. ex Griff.",,1843,,"Calcutta J. Nat. Hist. 3: 366 1843",,,,,,862919-1,wfo-0000973852,7307843,,
8eaa83e4-8fcd-11eb-924d-9cd76263cbd0,variety,maxwellii,Glossocarya,mollis,Moldenke,,1976,,"Phytologia 35: 111 1976 publ. 1977",,,,,,892415-1,wfo-0000973853,3891585,,
cae89086-8fd1-11eb-924d-9cd76263cbd0,species,pinnatifida,Glossocarya,,Steud.,,1840,,"Nomencl. Bot. (ed. 2) 1: 419 1840",,,,,,862920-1,wfo-0001274352,3891577,,
8eaaa086-8fcd-11eb-924d-9cd76263cbd0,species,premnoides,Glossocarya,,Ridl.,,1911,,"J. Straits Branch Roy. Asiat. Soc. 59: 157 1911",,Q99658326,,,,862921-1,wfo-0000973854,3891567,,
8eaabcd8-8fcd-11eb-924d-9cd76263cbd0,species,puberula,Glossocarya,,Moldenke,,1959,,"Phytologia 7: 81 1959",,,,,,862922-1,wfo-0000973855,3891559,,
8eaad6dc-8fcd-11eb-924d-9cd76263cbd0,species,scandens,Glossocarya,,"(L.f.) Trimen",,1885,,"Syst. Cat. Fl. Pl. Ceylon 69 1885",,,,,,,wfo-0000973856,7307831,,
8eaaf306-8fcd-11eb-924d-9cd76263cbd0,form,pubescens,Glossocarya,scandens,"(Moldenke) Moldenke",,1978,,"Phytologia 38: 498 1978",,,,,,892416-1,wfo-0000973857,3891533,,
8eab0ecc-8fcd-11eb-924d-9cd76263cbd0,variety,pubescens,Glossocarya,scandens,Moldenke,,1977,,"Phytologia 36: 437 1977",,,,,,892417-1,wfo-0000973858,3891533,,
8eab2ac4-8fcd-11eb-924d-9cd76263cbd0,species,siamensis,Glossocarya,,Craib,,1922,,"Bull. Misc. Inform. Kew 1922: 240 1922",,Q55781770,,,,862924-1,wfo-0000973859,7307827,,
8eab61f6-8fcd-11eb-924d-9cd76263cbd0,variety,pubescens,Glossocarya,siamensis,Moldenke,,1976,,"Phytologia 34: 19 1976",,,,,,892418-1,wfo-0000973861,3891516,,
c7458ede-8fd1-11eb-924d-9cd76263cbd0,species,collinum,Glossocentrum,,Crueg.,,1847,,"Linnaea 20: 111 1847",,,,,,568721-1,wfo-0001267406,3863756,,
5f91125e-8fcc-11eb-924d-9cd76263cbd0,species,carnosula,Glossochilopsis,,"(Rolfe ex Downie) Szlach. & Marg.",,2001,,"Polish Bot. J. 46: 114 2001",,,,e33d6bee-8fcb-11eb-924d-9cd76263cbd0,,,wfo-0000430796,2813410,,
8eab7ff6-8fcd-11eb-924d-9cd76263cbd0,species,chamaeorchis,Glossochilopsis,,"(Schltr.) Szlach.",,1995,,"Fragm. Florist. Geobot. Suppl. 3: 123 1995",,,,e33dfb90-8fcb-11eb-924d-9cd76263cbd0,,988086-1,wfo-0000973862,2808258,,
8eab9eb4-8fcd-11eb-924d-9cd76263cbd0,species,finetii,Glossochilopsis,,"(Gagnep.) Szlach.",,1995,,"Fragm. Florist. Geobot. Suppl. 3: 123 1995",,,,,,988087-1,wfo-0000973863,2813422,,
