id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e4137f4e-8fd1-11eb-924d-9cd76263cbd0,genus,Gluta,,,L.,Q1043,1771,,"Mant. Pl. 2: 293. 1771.",,,,,,1806-1,wfo-4000015834,3190573,,
02d1f00a-8fcd-11eb-924d-9cd76263cbd0,species,aptera,Gluta,,"(King) Ding Hou","Q2566984,Q5807356",1978,,"Blumea 24: 12 1978",,Q96027345,,3306edda-8fcc-11eb-924d-9cd76263cbd0,,69609-1,wfo-0000704289,3662621,,
02d20c3e-8fcd-11eb-924d-9cd76263cbd0,species,beccarii,Gluta,,"(Engl.) Ding Hou","Q60718,Q5807356",1978,,"Blumea 24: 13 1978",,Q96027345,,,,69610-1,wfo-0000704290,3662612,,
b2c2b5da-8fcd-11eb-924d-9cd76263cbd0,species,benghas,Gluta,,L.,Q1043,1771,,"Mant. Pl. 2: 293 1771",,,,,,69611-1,wfo-0001050012,7361417,,
b2c2edd4-8fcd-11eb-924d-9cd76263cbd0,variety,tourtour,Gluta,benghas,"(Marchand) Engl.","Q6998001,Q60718",1883,,"Monogr. Phan. 4: 266 1883",,,,02d67c56-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001050014,7859778,,
02d22656-8fcd-11eb-924d-9cd76263cbd0,species,cambodiana,Gluta,,Pierre,Q2593213,1897,,"Fl. Forest. Cochinch. t. 368B 1897",,,,,,69613-1,wfo-0000704291,3662590,,
02d242f8-8fcd-11eb-924d-9cd76263cbd0,species,capituliflora,Gluta,,"Ding Hou",Q5807356,1978,,"Blumea 24: 13 1978",,Q96027345,,,,69614-1,wfo-0000704292,3662580,,
02d26012-8fcd-11eb-924d-9cd76263cbd0,species,celebica,Gluta,,Kosterm.,Q2467467,1988,,"Blumea 33: 348 1988",,Q96032928,,,,935692-1,wfo-0000704293,3662571,,
02d27cb4-8fcd-11eb-924d-9cd76263cbd0,species,coarctata,Gluta,,"(Griff.) Hook.f.","Q11705310,Q157501",1876,,"Fl. Brit. India 2: 22 1876",,,,,,69615-1,wfo-0000704294,3662565,,
02d29992-8fcd-11eb-924d-9cd76263cbd0,species,compacta,Gluta,,Evrard,Q18984554,1952,,"Bull. Soc. Bot. France 99: 84 1952",,Q95996926,,,,69616-1,wfo-0000704295,3662556,,
02d2b666-8fcd-11eb-924d-9cd76263cbd0,species,curtisii,Gluta,,"(Oliv.) Ding Hou","Q1161960,Q5807356",1978,,"Blumea 24: 13 1978",,Q96027345,,,,69617-1,wfo-0000704296,3662548,,
02d2d650-8fcd-11eb-924d-9cd76263cbd0,species,elegans,Gluta,,"(Wall.) Kurz","Q730310,Q2587569",1875,,"Prelim. Rep. Forest Pegu App. A: xli 1875",,,,,,69619-1,wfo-0000704297,3662535,,
02d34b4e-8fcd-11eb-924d-9cd76263cbd0,variety,curtisii,Gluta,elegans,Burkill,Q4084920,1931,,"Gard. Bull. Singapore 5: 228 1931",,,,,,,wfo-0000704299,7663487,,
02d38064-8fcd-11eb-924d-9cd76263cbd0,variety,helferi,Gluta,elegans,Hook.f.,Q157501,1876,,"Fl. Brit. India 2: 22 1876",,,,,,,wfo-0000704300,,,
02d3a17a-8fcd-11eb-924d-9cd76263cbd0,species,glabra,Gluta,,"(Wall.) Ding Hou","Q730310,Q5807356",1978,,"Blumea 24: 13 1978",,Q96027345,,,,69620-1,wfo-0000704301,3662526,,
02d3bc6e-8fcd-11eb-924d-9cd76263cbd0,species,gracilis,Gluta,,Evrard,Q18984554,1952,,"Bull. Soc. Bot. France 99: 83 1952",,Q95996926,,,,69621-1,wfo-0000704302,3662519,,
02d3d78a-8fcd-11eb-924d-9cd76263cbd0,species,laccifera,Gluta,,"(Pierre) Ding Hou","Q2593213,Q5807356",1978,,"Blumea 24: 14 1978",,Q96027345,,3306b734-8fcc-11eb-924d-9cd76263cbd0,,69623-1,wfo-0000704303,3662503,,
02d3f422-8fcd-11eb-924d-9cd76263cbd0,species,lanceolata,Gluta,,Ridl.,Q733709,1908,,"J. Straits Branch Roy. Asiat. Soc. 49: 17 1908",,Q99658026,,,,69624-1,wfo-0000704304,3662497,,
02d4143e-8fcd-11eb-924d-9cd76263cbd0,species,laxiflora,Gluta,,Ridl.,Q733709,1933,,"Bull. Misc. Inform. Kew 1933: 196 1933",,Q55783340,,,,69625-1,wfo-0000704305,3662487,,
