id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9f709cae-9bad-11eb-a8a2-19ed5c03f8d3,genus,Guignardia,,,"Viala & Ravaz",0,1892,conserved,"Bull. Soc. mycol. Fr. 8: 63 (1892)",,,,9f709cae-9bad-11eb-a8a2-19ed5c03f8d3,,,,,2147,"Nom. cons., see Art. 14 "
1d23f8fe-9bad-11eb-a8a2-19ed5c03f8d3,species,abeana,Guignardia,,"Yamam.{?} & K. Konno",,,,,,,,1d23f8fe-9bad-11eb-a8a2-19ed5c03f8d3,,,,,331527," "
381ad304-9bac-11eb-a8a2-19ed5c03f8d3,species,abietella-sibirica,Guignardia,,"(Schwarzman & Tartenova) Vasyag.",,1987,,"in Vasyagina, Byzova & Tartenova, Flora Sporovykh Rastenii Kazakhstana (Alma-Ata), Sumchatye. Griby Lokuloaskomitsety (Loculoascomycetes) 25 (1987)",,,,3f12380a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,131099," "
c3019868-9bac-11eb-a8a2-19ed5c03f8d3,species,acaciae,Guignardia,,Hansf.,,1957,,"Proc. Linn. Soc. N.S.W. 82: 14 (1957)",,,,c3019868-9bac-11eb-a8a2-19ed5c03f8d3,,,,,297977," "
1320df9e-9bac-11eb-a8a2-19ed5c03f8d3,species,acerifera,Guignardia,,"(Cooke) Lindau",0,,,,,,,1fe8d9e8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,121852," "
8736094a-9bac-11eb-a8a2-19ed5c03f8d3,species,adeana,Guignardia,,Rehm,0,,,,,,,8736094a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,186640," "
c301c3e2-9bac-11eb-a8a2-19ed5c03f8d3,species,adianti,Guignardia,,"(Höhn.) Arx & E. Müll.",0,1954,,"Beitr. Kryptfl. Schweiz 11(no. 1): 60 (1954)",,,,56ee015c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,297978," "
b552c64c-9bac-11eb-a8a2-19ed5c03f8d3,species,adriatica,Guignardia,,Kirschst.,,1938,,"Krypt.-Fl. Brandenburg (Leipzig) 7(3): 322 (1938)",,,,651ffd2a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,255868," "
d43c2a9e-9bac-11eb-a8a2-19ed5c03f8d3,species,aegyptiaca,Guignardia,,"(Müll. Arg.) Reichert",0,1921,,"Bot. Jb. 56: 669 (1921)",,,,93407eb8-9bad-11eb-a8a2-19ed5c03f8d3,,,,,255915," "
23312a92-9bac-11eb-a8a2-19ed5c03f8d3,species,aesculi,Guignardia,,"(Peck) V.B. Stewart",0,1916,,"Phytopathology 6: 9 (1916)",,,,4d3bcf36-9bac-11eb-a8a2-19ed5c03f8d3,,,,,100063," "
8ec83bce-9bac-11eb-a8a2-19ed5c03f8d3,species,agerati,Guignardia,,"Gonz. Frag. & Cif.",0,1928,,"Estac. Agron. de Moca, B 13: 8 (1928)",,,,8ec83bce-9bac-11eb-a8a2-19ed5c03f8d3,,,,,256037," "
d44e3950-9bac-11eb-a8a2-19ed5c03f8d3,species,ahlesiana,Guignardia,,"(Hepp) Keissl.",0,1930,,"Rabenhorst's Kryptogamen-Flora, Pilze - Die Flechtenparasiten 2(8): 345 (1930)",,,,584e3364-9bac-11eb-a8a2-19ed5c03f8d3,,,,,256099," "
