id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e43fe5fc-8fd1-11eb-924d-9cd76263cbd0,genus,Gutierrezia,,,Lag.,0,1816,,"Gen. Sp. Pl. : 30 (1816)",,,,,,urn:lsid:ipni.org:names:30011380-2,wfo-4000016398,3086909,,
100ca3c6-8fb6-11eb-924d-9cd76263cbd0,species,alamanii,Gutierrezia,,A.Gray,0,1852,,"Smithsonian Contr. Knowl. 3(5): 91 (1852)",,,,,,urn:lsid:ipni.org:names:1021719-2,wfo-0000085245,5385065,,
df6ec486-1d47-11ec-82c2-f14daa6f2d93,variety,alamanii,Gutierrezia,alamanii,,,,,,,,,,,,wfo-0000104492,,,
2501c4be-8fb6-11eb-924d-9cd76263cbd0,variety,megalocephala,Gutierrezia,alamanii,"(Fernald) M.A.Lane",0,1980,,"Sida 8: 313 (1980)",,,,,,urn:lsid:ipni.org:names:114987-2,wfo-0000086172,5693709,,
670debcc-8fba-11eb-924d-9cd76263cbd0,species,ameghinoi,Gutierrezia,,Speg.,0,1897,,"Revista Fac. Agron. Univ. Nac. La Plata 3: 527 (1897)",,,,,,urn:lsid:ipni.org:names:114988-2,wfo-0000126364,5385060,,
248ddaf8-8fb2-11eb-924d-9cd76263cbd0,species,amoena,Gutierrezia,,"(Shinners) Diggs, Lipscomb & O'Kennon",0,1999,,"Unknown 364 (1999): (1999)",,,,,,urn:lsid:ipni.org:names:1007088-1,wfo-0000013266,5392977,,
5c5947d8-8fb2-11eb-924d-9cd76263cbd0,species,argyrocarpa,Gutierrezia,,Greenm.,0,1904,,"Proc. Amer. Acad. Arts 40: 35 (1904)",,,,,,urn:lsid:ipni.org:names:114989-2,wfo-0000021950,5385051,,
1170bc1e-8fb3-11eb-924d-9cd76263cbd0,species,arizonica,Gutierrezia,,"(A.Gray) M.A.Lane",0,1980,,"Sida 8: 314 (1980)",,,,,,urn:lsid:ipni.org:names:114990-2,wfo-0000040870,5385057,,
13f9cfc8-8fba-11eb-924d-9cd76263cbd0,species,baccharoides,Gutierrezia,,Phil.,0,1894,,"Anales Univ. Chile 87: 428. 1894",,,,,,urn:lsid:ipni.org:names:210807-1,wfo-0000123793,5385062,,
1caf4b54-8fb3-11eb-924d-9cd76263cbd0,species,baccharoides,Gutierrezia,,Sch.Bip.,0,1855,,"Flora 38: 115 (1855)",,,Q5862699,,,urn:lsid:ipni.org:names:210806-1,wfo-0000041822,8412302,,
b846991a-1d47-11ec-82c2-f14daa6f2d93,variety,baccharoides,Gutierrezia,baccharoides,,,,,,,,,,,,wfo-0000055780,,,
07f71674-8fb8-11eb-924d-9cd76263cbd0,variety,hoffmannii,Gutierrezia,baccharoides,Hauman,0,1918,,"Anales Soc. Ci. Argent. 86: 321 (1918)",,,,,,urn:lsid:ipni.org:names:114991-2,wfo-0000105528,5693693,,
d262e7d6-8fb2-11eb-924d-9cd76263cbd0,species,berlandieri,Gutierrezia,,A.Gray,0,1880,,"Proc. Amer. Acad. Arts 15: 31 (1880)",,,,,,urn:lsid:ipni.org:names:277826-2,wfo-0000035341,5693692,,
8ae4d3d8-8fb2-11eb-924d-9cd76263cbd0,species,brachyris,Gutierrezia,,Macloskie,0,1905,,"Rep. Princeton Univ. Exped. Patagonia, Botany 8: 780 (1905)",,,,,,urn:lsid:ipni.org:names:114992-2,wfo-0000027604,5385109,,
b26949fc-1d47-11ec-82c2-f14daa6f2d93,variety,brachyris,Gutierrezia,brachyris,,,,,,,,,,,,wfo-0000048580,,,
937e4bf6-8fb6-11eb-924d-9cd76263cbd0,variety,patagonica,Gutierrezia,brachyris,Macloskie,0,1905,,"Rep. Princeton Univ. Exped. Patagonia, Botany 8: 780 (1905)",,,,,,urn:lsid:ipni.org:names:114993-2,wfo-0000090909,5693690,,
1f090026-8fb2-11eb-924d-9cd76263cbd0,species,bracteata,Gutierrezia,,Abrams,0,1907,,"Bull. Torrey Bot. Club 34: 265 (1907)",,Q55767983,Q13548538,,,urn:lsid:ipni.org:names:114994-2,wfo-0000012274,5385050,,
17e36026-8fb6-11eb-924d-9cd76263cbd0,species,californica,Gutierrezia,,"(DC.) Torr. & A.Gray",0,1842,,"Fl. N. Amer. 2(2): 193 (1842)",,,,,,urn:lsid:ipni.org:names:114995-2,wfo-0000085585,5385048,,
564e56b6-8fb8-11eb-924d-9cd76263cbd0,variety,bracteata,Gutierrezia,californica,H.M.Hall,0,1907,,"Univ. Calif. Publ. Bot. 3: 36 (1907)",,,,1f090026-8fb2-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:114996-2,wfo-0000108465,5693686,,
b83f73d8-1d47-11ec-82c2-f14daa6f2d93,variety,californica,Gutierrezia,californica,,,,,,,,,,,,wfo-0000055737,,,
54338c7a-1d4d-11ec-82c2-f14daa6f2d93,species,chubutensis,Gutierrezia,,"Ratto & Adr.Bartoli",,2016,,"Phytotaxa 266(2): 157 (2016)",,,Q4807825,,,urn:lsid:ipni.org:names:77155751-1,wfo-0001346019,,,
85189212-8fb4-11eb-924d-9cd76263cbd0,species,compacta,Gutierrezia,,Phil.,0,1894,,"Anales Univ. Chile 87: 427 (1894)",,Q101007054,,,,urn:lsid:ipni.org:names:114997-2,wfo-0000066269,5385110,,
e1cc40bc-8fb4-11eb-924d-9cd76263cbd0,species,conoidea,Gutierrezia,,"(Hemsl.) M.A.Lane",0,1980,,"Sida 8: 313 (1980)",,,,,,urn:lsid:ipni.org:names:114998-2,wfo-0000071119,5385094,,
7aa15aee-8fb4-11eb-924d-9cd76263cbd0,species,copiapina,Gutierrezia,,Phil.,0,1894,,"Anales Univ. Chile 87: 425 (1894)",,Q101007054,,,,urn:lsid:ipni.org:names:114999-2,wfo-0000065667,5385119,,
d3c7fff6-8fb9-11eb-924d-9cd76263cbd0,species,corymbosa,Gutierrezia,,A.Nelson,0,1936,,"Amer. J. Bot. 23: 265 (1936)",,Q55765873,,,,urn:lsid:ipni.org:names:115000-2,wfo-0000121714,5385073,,
135c583e-8fb9-11eb-924d-9cd76263cbd0,species,coulteri,Gutierrezia,,Hemsl.,0,1881,,"Biol. Cent.-Amer., Bot. 2: 111 (1881)",,,,,,urn:lsid:ipni.org:names:210816-1,wfo-0000115185,5385098,,
5c86769a-8fb2-11eb-924d-9cd76263cbd0,species,cupressiformis,Gutierrezia,,Sch.Bip.,0,1855,,"Flora 38: 114 (1855)",,,Q5862699,,,urn:lsid:ipni.org:names:210817-1,wfo-0000021976,5391609,,
