id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
90b7190a-1d4d-11ec-82c2-f14daa6f2d93,genus,Gynestum,,,Poit.,,1822,,"Mém. Mus. Hist. Nat. 9: 387 (1822)",,,,,,urn:lsid:ipni.org:names:31265-1,wfo-4000016574,,,
90251130-8fcd-11eb-924d-9cd76263cbd0,species,acaule,Gynestum,,Poit.,0,1822,,"Mém. Mus. Hist. Nat. 9: 391 (1822)",,,,,,urn:lsid:ipni.org:names:667372-1,wfo-0000976825,2734286,,
90252e86-8fcd-11eb-924d-9cd76263cbd0,species,baculiferum,Gynestum,,Poit.,0,1822,,"Mém. Mus. Hist. Nat. 9: 389 (1822)",,,,,,urn:lsid:ipni.org:names:667373-1,wfo-0000976826,2734370,,
90254a38-8fcd-11eb-924d-9cd76263cbd0,species,deversum,Gynestum,,Poit.,0,1822,,"Mém. Mus. Hist. Nat. 9: 390 (1822)",,,,,,urn:lsid:ipni.org:names:667374-1,wfo-0000976827,2734125,,
90257ce2-8fcd-11eb-924d-9cd76263cbd0,species,maximum,Gynestum,,Poit.,0,1822,,"Mém. Mus. Hist. Nat. 9: 388 (1822)",,,,,,urn:lsid:ipni.org:names:667375-1,wfo-0000976828,2734217,,
9025a276-8fcd-11eb-924d-9cd76263cbd0,species,strictum,Gynestum,,Poit.,0,1822,,"Mém. Mus. Hist. Nat. 9: 391 (1822)",,,,,,urn:lsid:ipni.org:names:667376-1,wfo-0000976829,2734103,,
08839382-8fcd-11eb-924d-9cd76263cbd0,species,volubilis,Gynetera,,"(L.) Raf.",0,1838,,"Sylva Tellur. 165. 1838 [Oct-Dec 1838]",,,,,,urn:lsid:ipni.org:names:316853-1,wfo-0000713257,4162916,,
4f6b872c-8fb5-11eb-924d-9cd76263cbd0,species,dentata,Gynheteria,,Spreng.,0,1826,,"Syst. Veg. 3: 482 (1826)",,,,,,urn:lsid:ipni.org:names:211065-1,wfo-0000076515,3114911,,
0546ae5e-8fb2-11eb-924d-9cd76263cbd0,species,incana,Gynheteria,,Spreng.,0,1821,,"Neue Entdeck. Pflanzenk. 2: 135 (1821)",,,,,,urn:lsid:ipni.org:names:211066-1,wfo-0000005346,3114906,,
782f9ad4-8fb2-11eb-924d-9cd76263cbd0,species,salicifolia,Gynheteria,,"Willd. ex Less.",0,1832,,"Syn. Gen. Compos. : 208 (1832)",,,,,,urn:lsid:ipni.org:names:211067-1,wfo-0000025418,3114913,,
