id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a12961e8-9bad-11eb-a8a2-19ed5c03f8d3,genus,Gyrophana,,,Pat.,,1897,,"Cat. Rais. Pl. Cellul. Tunisie (Paris) 53 (1897)",,,,a12961e8-9bad-11eb-a8a2-19ed5c03f8d3,,,,,17712," "
bff45c28-9bac-11eb-a8a2-19ed5c03f8d3,species,brassicaefolia,Gyrophana,,"(Berk.) Pat.",0,,,,,,,088eeab2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,491593," Gyrophana brassicifolia"
6e655876-9bac-11eb-a8a2-19ed5c03f8d3,species,brassicifolia,Gyrophana,,"(Berk.) Pat.",0,1900,,"Essai Tax. Hyménomyc. (Lons-le-Saunier) 39(2): 108 (1900)",,,,1b1216c2-9bad-11eb-a8a2-19ed5c03f8d3,,,,,329311," brassicaefolia"
cca5ef18-9bac-11eb-a8a2-19ed5c03f8d3,species,himantioides,Gyrophana,,"(Fr.) Bourdot & Galzin",0,1923,,"Bull. Soc. mycol. Fr. 39(2): 108 (1923)",,,Q51451216,30870c98-9bac-11eb-a8a2-19ed5c03f8d3,,,,,267164," "
1534b88c-9bac-11eb-a8a2-19ed5c03f8d3,species,ianthinospora,Gyrophana,,Pat.,,,,,,,,1534b88c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,491594," Gyrophana janthinospora"
75ec2204-9bad-11eb-a8a2-19ed5c03f8d3,species,irpicina,Gyrophana,,"(Peck) Pat.",0,1900,,"Essai Tax. Hyménomyc. (Lons-le-Saunier) 108 (1900)",,,,f84bc098-9bac-11eb-a8a2-19ed5c03f8d3,,,,,491595," "
ac497ad2-9bac-11eb-a8a2-19ed5c03f8d3,species,janthinospora,Gyrophana,,Pat.,,1894,,"Expl. sci. Tunisie 4: 108, tab. 4, fig. 1 (1894)",,,,ac497ad2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,439915," "
75f38df0-9bad-11eb-a8a2-19ed5c03f8d3,species,lacrymans,Gyrophana,,"(Wulfen) Pat.",0,1900,,"Essai Tax. Hyménomyc. (Lons-le-Saunier) 39(2): 108 (1900)",,,,9c7b0cb0-9bac-11eb-a8a2-19ed5c03f8d3,,,,,491596," "
eab23c82-9bac-11eb-a8a2-19ed5c03f8d3,species,minor,Gyrophana,,"(Falck) Bondartsev & Singer",,1941,,"Annls mycol. 39(1): 48 (1941)",,,Q21385869,5f7a57f8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,286814," "
e16a5baa-9bac-11eb-a8a2-19ed5c03f8d3,species,pinastri,Gyrophana,,"(Fr.) Bourdot & Galzin",0,1923,,"Bull. Soc. mycol. Fr. 39(2): 109 (1923)",,,Q51451216,46ca13c4-9bac-11eb-a8a2-19ed5c03f8d3,,,,,274484," "
1d38a01a-9bad-11eb-a8a2-19ed5c03f8d3,species,pseudolacrymans,Gyrophana,,"(Henn.) Teng",0,1964,,"Fungi of China (Ithaca) 761 (1964)",,,,c5a48936-9bac-11eb-a8a2-19ed5c03f8d3,,,,,331623," "
e24020f0-9bac-11eb-a8a2-19ed5c03f8d3,species,pulverulenta,Gyrophana,,"(Sowerby) Bourdot & Galzin",0,1923,,"Bull. Soc. mycol. Fr. 39(2): 107 (1923)",,,Q51451216,68c9e6b6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,275674," "
eab2f302-9bac-11eb-a8a2-19ed5c03f8d3,species,sclerotiorum,Gyrophana,,"(Falck) Bondartsev & Singer",,1941,,"Annls mycol. 39(1): 48 (1941)",,,Q21385869,,,,,,286815," "
ac493b94-9bac-11eb-a8a2-19ed5c03f8d3,species,similis,Gyrophana,,"(Berk. & Broome) Pat.",0,1923,,"Bull. Soc. mycol. Fr. 39(1): 53 (1923)",,,Q51451216,876ce21c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,439914," "
75f3ef48-9bad-11eb-a8a2-19ed5c03f8d3,species,tessellata,Gyrophana,,"(Bres.) Pat.",,1900,,"Essai Tax. Hyménomyc. (Lons-le-Saunier) 39(2): 108 (1900)",,,,755b083e-9bab-11eb-a8a2-19ed5c03f8d3,,,,,491597," "
e6769c30-9bac-11eb-a8a2-19ed5c03f8d3,species,umbrina,Gyrophana,,"(Pers.) Bourdot & Galzin",0,1923,,"Bull. Soc. mycol. Fr. 39(2): 107 (1923)",,,Q51451216,929bad6c-9bac-11eb-a8a2-19ed5c03f8d3,,,,,281073," "
