id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9f89cf6c-9bad-11eb-a8a2-19ed5c03f8d3,genus,Haplocarpon,,,"M. Choisy",,1936,,"in Tronchet, Bull. mens. Soc. linn. Lyon 5(2): 21 (1936)",,,,9f89cf6c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,2225," "
0777d002-9bad-11eb-a8a2-19ed5c03f8d3,species,albocaerulescens,Haplocarpon,,"(Wulfen) M. Choisy",Q698014,,,,,,,c72caad6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,366477," "
87c5744e-9bad-11eb-a8a2-19ed5c03f8d3,variety,albocaerulescens,Haplocarpon,albocaerulescens,"(Wulfen) M. Choisy",Q698014,,,,,,,87c5744e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,443996," "
b039c2c2-9bad-11eb-a8a2-19ed5c03f8d3,form,albocaerulescens,Haplocarpon,albocaerulescens,"(Wulfen) M. Choisy",Q698014,,,,,,,b039c2c2-9bad-11eb-a8a2-19ed5c03f8d3,,,,,444001," "
542c5242-9bad-11eb-a8a2-19ed5c03f8d3,variety,alpina,Haplocarpon,albocaerulescens,"(Schaer.) M. Choisy",,,,,,,,6ae1e6d8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,436235," "
542c095e-9bad-11eb-a8a2-19ed5c03f8d3,form,tinctorium,Haplocarpon,albocaerulescens,"M. Choisy",,,,,,,,542c095e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,436234," "
ed5820a6-9bab-11eb-a8a2-19ed5c03f8d3,species,albosuffusum,Haplocarpon,,Nyl.,Q932083,,,,,,,ed5820a6-9bab-11eb-a8a2-19ed5c03f8d3,,,,,366478," "
ed584b4e-9bab-11eb-a8a2-19ed5c03f8d3,species,cinereoatrum,Haplocarpon,,"(Ach.) M. Choisy",Q365923,,,,,,,0021b620-9bac-11eb-a8a2-19ed5c03f8d3,,,,,366479," "
ed587146-9bab-11eb-a8a2-19ed5c03f8d3,species,contiguum,Haplocarpon,,"(Hoffm.) M. Choisy",Q69815,,,,,,,a9a5d018-9bad-11eb-a8a2-19ed5c03f8d3,,,,,366480," "
580fe932-9bad-11eb-a8a2-19ed5c03f8d3,variety,contiguum,Haplocarpon,contiguum,"(Hoffm.) M. Choisy",Q69815,,,,,,,a9a5d018-9bad-11eb-a8a2-19ed5c03f8d3,,,,,443959," "
addc271e-9bac-11eb-a8a2-19ed5c03f8d3,form,contiguum,Haplocarpon,contiguum,"(Hoffm.) M. Choisy",Q69815,,,,,,,a9a5d018-9bad-11eb-a8a2-19ed5c03f8d3,,,,,443994," "
542b89d4-9bad-11eb-a8a2-19ed5c03f8d3,variety,flavicundum,Haplocarpon,contiguum,"(Ach.) M. Choisy",Q365923,,,,,,,,,,,,436233," "
bade2d22-9bac-11eb-a8a2-19ed5c03f8d3,form,oxydatum,Haplocarpon,contiguum,"(Grognot) M. Choisy",Q5742011,,,,,,,5402f73a-9bad-11eb-a8a2-19ed5c03f8d3,,,,,123719," "
ed5895ea-9bab-11eb-a8a2-19ed5c03f8d3,species,convexum,Haplocarpon,,"(Fr.) M. Choisy",Q15405,,,,,,,,,,,,366481," "
39dd9b4e-9bad-11eb-a8a2-19ed5c03f8d3,species,crustulatum,Haplocarpon,,"(Ach.) M. Choisy",Q365923,1950,,"Bull. mens. Soc. linn. Lyon 19: 159 (1950)",,,,,,,,,366482," "
