id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e4669d78-8fd1-11eb-924d-9cd76263cbd0,genus,Haplopappus,,,Cass.,,,,,,,329847-2,wfo-4000016879,3100380,
7c12591c-8fbb-11eb-924d-9cd76263cbd0,species,aberrans,Haplopappus,,"(A.Nelson) H.M.Hall",1928,"Publications of the Carnegie Institution of Washington 389: 185 1928",,,,1c28a386-8fba-11eb-924d-9cd76263cbd0,117390-2,wfo-0000134592,3087540,
00b4f0ce-8fb9-11eb-924d-9cd76263cbd0,species,acanthodon,Haplopappus,,Phil.,1894,"603 1894",,,,,117391-2,wfo-0000114529,3100420,
974d8b4e-8fba-11eb-924d-9cd76263cbd0,species,acaulis,Haplopappus,,"(Nutt.) A.Gray",1868,"353 1868",,,,87603980-8fb4-11eb-924d-9cd76263cbd0,117392-2,wfo-0000127873,3139506,
507c5a00-8fb6-11eb-924d-9cd76263cbd0,variety,atwoodii,Haplopappus,acaulis,S.L.Welsh,2003,"Utah Fl., ed. 3 197. 2003",,,,,60437316-2,wfo-0000088098,4210080,
abe2cec4-8fb6-11eb-924d-9cd76263cbd0,variety,glabratus,Haplopappus,acaulis,D.C.Eaton,1871,"Botany [Fortieth Parallel] 161 1871",,,,,117394-2,wfo-0000091931,4210073,
b422ddbc-8fb7-11eb-924d-9cd76263cbd0,subspecies,glabratus,Haplopappus,acaulis,"(D.C.Eaton) H.M.Hall",1928,"Publ. Carnegie Inst. Wash. 389: 166. 1928",,,,abe2cec4-8fb6-11eb-924d-9cd76263cbd0,117393-2,wfo-0000102300,4210073,
c518c51a-8fb6-11eb-924d-9cd76263cbd0,subspecies,typicus,Haplopappus,acaulis,H.M.Hall,1928,"Publ. Carnegie Inst. Wash. 389: 165, fig. 53. 1928",,,,,117395-2,wfo-0000092977,4210067,
198418ca-8fb7-11eb-924d-9cd76263cbd0,species,acerosus,Haplopappus,,Bertero,,,,,,,117396-2,wfo-0000096358,7697244,
eafb6e76-8fb2-11eb-924d-9cd76263cbd0,species,acerosus,Haplopappus,,"(Bertero) Bertero ex Phil.",1858,"Linnaea 28: 724. 1858",,,,198418ca-8fb7-11eb-924d-9cd76263cbd0,177871-1,wfo-0000037430,,
42069434-8fb3-11eb-924d-9cd76263cbd0,species,acradenius,Haplopappus,,"(Greene) S.F.Blake",1925,1925,,,,,,wfo-0000044863,3099246,
