id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e4803a8a-8fd1-11eb-924d-9cd76263cbd0,genus,Hedyotis,,,L.,,1753,,"Sp. Pl. 1: 101. 1753. (1 May 1753)",,,,,,30001807-2,wfo-4000017143,9631866,,
918e4d5c-8fcd-11eb-924d-9cd76263cbd0,species,abyssinica,Hedyotis,,"Hochst. ex A.Rich.",,1848,,"Tent. Fl. Abyss. 1: 363 1848",,,,,,752234-1,wfo-0000979963,2910003,,
918e6c6a-8fcd-11eb-924d-9cd76263cbd0,species,accedens,Hedyotis,,Miq.,,1857,,"Fl. Ned. Ind. 2: 353 1857",,,,,,752235-1,wfo-0000979964,2916122,,
918e87b8-8fcd-11eb-924d-9cd76263cbd0,species,acerosa,Hedyotis,,A.Gray,,1852,,"Pl. Wright. 1: 81 1852",,,,,,,wfo-0000979965,2908240,,
918ea338-8fcd-11eb-924d-9cd76263cbd0,variety,bigelovii,Hedyotis,acerosa,"(Greenm.) W.H.Lewis",,1969,,"Ann. Missouri Bot. Gard. 55: 397 1969",,Q55808968,,,,118354-2,wfo-0000979966,2908248,,
918ebeb8-8fcd-11eb-924d-9cd76263cbd0,variety,polypremoides,Hedyotis,acerosa,"(A.Gray) W.H.Lewis",,1968,,"Ann. Missouri Bot. Gard. 55: 31 1968",,Q95998672,,e67bcfc8-8fc9-11eb-924d-9cd76263cbd0,,118355-2,wfo-0000979967,2908244,,
918edb14-8fcd-11eb-924d-9cd76263cbd0,variety,potosina,Hedyotis,acerosa,B.L.Turner,,1996,,"Phytologia 79: 87 1996",,,,,,303279-2,wfo-0000979968,2908252,,
1c9ae18c-8fcc-11eb-924d-9cd76263cbd0,subspecies,tamaulipana,Hedyotis,acerosa,"(B.L.Turner) Borhidi",,2004,,"Acta Bot. Hung. 46: 35 2004",,Q55763021,,,,60435703-2,wfo-0000336199,2908254,,
918efa0e-8fcd-11eb-924d-9cd76263cbd0,variety,tamaulipana,Hedyotis,acerosa,B.L.Turner,,1996,,"Phytologia 97: 87 1996",,,,,,,wfo-0000979969,2908254,,
918f157a-8fcd-11eb-924d-9cd76263cbd0,species,acuminata,Hedyotis,,"(Cham. & Schltdl.) Steud.",,1840,,"Nomencl. Bot. ed. 2, 1: 726 1840",,,,048ba578-8fcb-11eb-924d-9cd76263cbd0,,,wfo-0000979970,2893575,,
918f3406-8fcd-11eb-924d-9cd76263cbd0,form,alanii,Hedyotis,acuminata,Fosberg,,1856,,"Brittonia 8: 170 1856",,,,,,,wfo-0000979971,2893568,,
918f4ff4-8fcd-11eb-924d-9cd76263cbd0,form,alicarpa,Hedyotis,acuminata,Fosberg,,1943,,"Bernice P. Bishop Mus. Bull. 174: 82 1943",,,,,,,wfo-0000979972,2893609,,
918f887a-8fcd-11eb-924d-9cd76263cbd0,form,alicarpoides,Hedyotis,acuminata,Fosberg,,1956,,"Brittonia 8: 171 1956",,,,,,,wfo-0000979974,2893595,,
