id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
a3fcb820-9bad-11eb-a8a2-19ed5c03f8d3,genus,Heliomyces,,,Lév.,0,1844,,"Annls Sci. Nat., Bot., sér. 3 2: 177 (1844)",,,,a3fcb820-9bad-11eb-a8a2-19ed5c03f8d3,,,,,17730," "
040902b6-9bac-11eb-a8a2-19ed5c03f8d3,species,angustifolius,Heliomyces,,Murrill,0,,,,,,,040902b6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,245718," "
b67f9a12-9bad-11eb-a8a2-19ed5c03f8d3,species,berteroi,Heliomyces,,Lév.,0,1844,,"Annls Sci. Nat., Bot., sér. 3 2: 177 (1844)",,,,b67f9a12-9bad-11eb-a8a2-19ed5c03f8d3,,,,,144449," "
7e43f630-9bac-11eb-a8a2-19ed5c03f8d3,species,brevipes,Heliomyces,,Mont.,0,,,,,,,7e43f630-9bac-11eb-a8a2-19ed5c03f8d3,,,,,171253," "
7e3fbcdc-9bac-11eb-a8a2-19ed5c03f8d3,species,caryotae,Heliomyces,,Berk.,0,,,,,,,7e3fbcdc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,171221," "
7e4d2e76-9bac-11eb-a8a2-19ed5c03f8d3,species,decolorans,Heliomyces,,"Berk. & M.A. Curtis",0,,,,,,,7e4d2e76-9bac-11eb-a8a2-19ed5c03f8d3,,,,,171347," "
f93660ea-9bab-11eb-a8a2-19ed5c03f8d3,species,elegans,Heliomyces,,Lév.,0,1844,,"Annls Sci. Nat., Bot., sér. 3 2: 177 (1844)",,,,f93660ea-9bab-11eb-a8a2-19ed5c03f8d3,,,,,160532," "
7188382a-9bac-11eb-a8a2-19ed5c03f8d3,species,etrabeculatus,Heliomyces,,Speg.,0,1919,,"Boletín de la Academia Nacional de Ciencias de Córdoba 23(3-4): 384-386 [no. 45, reprint pages 22-24] (1919)",,,,7188382a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,160440," "
71e332e8-9bac-11eb-a8a2-19ed5c03f8d3,species,foetens,Heliomyces,,Pat.,,,,,,,,71e332e8-9bac-11eb-a8a2-19ed5c03f8d3,,,,,161126," "
da287c0a-9bac-11eb-a8a2-19ed5c03f8d3,species,foetidus,Heliomyces,,"(Sowerby) Singer",0,,,,,,,acc72de2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,265165," "
1d6c703e-9bad-11eb-a8a2-19ed5c03f8d3,species,gigasporus,Heliomyces,,Rick,,,,,,,,1d6c703e-9bad-11eb-a8a2-19ed5c03f8d3,,,,,331782," "
44b9126a-9bac-11eb-a8a2-19ed5c03f8d3,species,hondurensis,Heliomyces,,Murrill,0,,,,,,,44b9126a-9bac-11eb-a8a2-19ed5c03f8d3,,,,,172838," "
63b2e618-9bad-11eb-a8a2-19ed5c03f8d3,species,hymenicephalus,Heliomyces,,"(Speg.) Speg.",0,1919,,"Boln Acad. nac. Cienc. Córdoba 23: 386 (1919)",,,,02dc58f2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,502519," "
1e6c5aea-9bac-11eb-a8a2-19ed5c03f8d3,species,leveilleanus,Heliomyces,,Berk.,0,,,,,,,1e6c5aea-9bac-11eb-a8a2-19ed5c03f8d3,,,,,172606," "
1d360616-9bad-11eb-a8a2-19ed5c03f8d3,species,matsihingili,Heliomyces,,"(Henn.) R. Heim",0,,,,,,,,,,,,331783,"  not cited"
041d3280-9bad-11eb-a8a2-19ed5c03f8d3,species,multifolius,Heliomyces,,Murrill,0,,,,,,,041d3280-9bad-11eb-a8a2-19ed5c03f8d3,,,,,172394," "
63c45100-9bad-11eb-a8a2-19ed5c03f8d3,species,nigripes,Heliomyces,,"(Schwein.) Morgan",0,1906,,"J. Mycol. 12: 93 (1906)",,,,,,,,,453051," "
63259e4e-9bac-11eb-a8a2-19ed5c03f8d3,species,pauciradiatus,Heliomyces,,Ces.,0,,,,,,,63259e4e-9bac-11eb-a8a2-19ed5c03f8d3,,,,,150738," "
3f87637c-9bad-11eb-a8a2-19ed5c03f8d3,species,peckii,Heliomyces,,Murrill,0,,,,,,,3f87637c-9bad-11eb-a8a2-19ed5c03f8d3,,,,,150914," "
