id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e48c6486-8fd1-11eb-924d-9cd76263cbd0,genus,Helipterum,,,,,,,,,,,wfo-4000017270,,
cdb25f92-8fbb-11eb-924d-9cd76263cbd0,species,adpressum,Helipterum,,Fitzg.,1904,1904,,,,,73764-3,wfo-0000136759,3150909,
030c5fc8-8fb5-11eb-924d-9cd76263cbd0,species,affine,Helipterum,,B.Nord.,1967,"in Aquilo, Bot., 6: 220 (1967), nom. nov.",,,,,213556-1,wfo-0000072820,3149827,
29d16b70-8fb6-11eb-924d-9cd76263cbd0,species,albicans,Helipterum,,"(A.Cunn.) DC.",1838,1838,,,,a46395a4-8fcd-11eb-924d-9cd76263cbd0,73807-3,wfo-0000086388,3137377,
294fb4bc-8fb7-11eb-924d-9cd76263cbd0,subspecies,alpinum,Helipterum,albicans,"(F.Muell.) Paul G.Wilson",,,,,,5a4f7c14-8fb7-11eb-924d-9cd76263cbd0,,wfo-0000096989,6301566,
ddb48244-8fb6-11eb-924d-9cd76263cbd0,variety,graminifolium,Helipterum,albicans,"(DC. & A.Cunn.) Paul G.Wilson",1960,"Transactions of the Royal Society of South Australia 83  1960",,,,,74043-3,wfo-0000093997,4243181,
4c7578e8-8fb5-11eb-924d-9cd76263cbd0,variety,grampiarum,Helipterum,albicans,"Paul G.Wilson",,,,,,,,wfo-0000076371,6298415,
ccdf9afc-8fb7-11eb-924d-9cd76263cbd0,variety,incanum,Helipterum,albicans,"(Hook.) Paul G.Wilson",1960,"Transactions of the Royal Society of South Australia 83  1960",,,,,74124-3,wfo-0000103277,7468172,
e1768f70-8fb2-11eb-924d-9cd76263cbd0,form,purpureo-album,Helipterum,albicans,"(F.Muell.) Paul G.Wilson",1960,"Transactions of the Royal Society of South Australia 83  1960",,,,,74217-3,wfo-0000036623,7841490,
019a3a00-8fbc-11eb-924d-9cd76263cbd0,species,album,Helipterum,,L.H.Bailey,1900,"Cyclopedia of American Horticulture 2 1900 in obs.",,,,,74242-3,wfo-0000138179,7831293,
50f7f746-8fb6-11eb-924d-9cd76263cbd0,species,album,Helipterum,,Ewart,1908,1908,,,,,74265-3,wfo-0000088119,3137683,
b4cb9aea-8fb4-11eb-924d-9cd76263cbd0,species,anactinum,Helipterum,,F.Muell.,1862,1862,,,,,74310-3,wfo-0000068750,4243166,
3beeaec0-8fb2-11eb-924d-9cd76263cbd0,species,anthemoides,Helipterum,,"(Sieber ex Spreng.) A.Cunn. ex DC.",1838,1838,,,,38d2c87a-8fb2-11eb-924d-9cd76263cbd0,74374-3,wfo-0000016728,3137706,
0b07d4bc-8fb2-11eb-924d-9cd76263cbd0,species,argyreum,Helipterum,,St.-Lag.,1880,"Ann. Soc. Bot. Lyon vii. (1880) 127",,,,,,wfo-0000007272,4243160,
7459959a-8fb2-11eb-924d-9cd76263cbd0,species,argyropsis,Helipterum,,DC.,1838,"Prodr. (DC.) 6: 211 1838",,,,,213562-1,wfo-0000025022,3149798,
468aaba8-8fb3-11eb-924d-9cd76263cbd0,species,australe,Helipterum,,"(A.Gray) Ostenf.",1921,"142 1921",,,,,213564-1,wfo-0000045200,7550080,
06bea008-8fb6-11eb-924d-9cd76263cbd0,species,australe,Helipterum,,"(A.Gray) Druce",1917,"627 1917",,,,,213563-1,wfo-0000084847,3091026,
1036861c-8fb3-11eb-924d-9cd76263cbd0,species,battii,Helipterum,,F.Muell.,1894,1894,,,,,74510-3,wfo-0000040765,3137694,
0bb3d404-8fb9-11eb-924d-9cd76263cbd0,species,bicolorum,Helipterum,,"A.Cunn. ex DC.",1838,"Prodr. (DC.) 6: 215 1838",,,,,323224-2,wfo-0000114914,3137378,
67434c74-8fb8-11eb-924d-9cd76263cbd0,species,brachypterum,Helipterum,,Levyns,1941,"J. S. African Bot. vii. 84 (1941).",,,,,213567-1,wfo-0000109089,3149755,
1565c104-8fbb-11eb-924d-9cd76263cbd0,species,brachyrrhynchum,Helipterum,,"(F.Muell.) Sond.",1853,1853,,,,,74608-3,wfo-0000131585,4243118,
62989ede-8fb5-11eb-924d-9cd76263cbd0,species,calvertianum,Helipterum,,F.Muell.,1877,1877,,,,,74659-3,wfo-0000077436,4243107,
10f9e34c-8fb2-11eb-924d-9cd76263cbd0,species,canescens,Helipterum,,"(L.) DC.",1838,"Prodr. (DC.) 6: 212 1838",,,,,213570-1,wfo-0000009160,3143250,
