id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e49cc27c-8fd1-11eb-924d-9cd76263cbd0,genus,Hennediella,,,Paris,,"Index Bryol. 557. 1896.",,,,,,wfo-4000017477,2670757,
f752cd0c-8fcd-11eb-924d-9cd76263cbd0,species,acletoi,Hennediella,,"(H.Rob.) R.H.Zander",,"Bull. Buffalo Soc. Nat. Sci. 32: 247 1993",,,,,,wfo-0001198698,2670775,
f752e9ea-8fcd-11eb-924d-9cd76263cbd0,species,acutidentata,Hennediella,,"(Cardot & Thér.) R.H.Zander",,"Bull. Buffalo Soc. Nat. Sci. 32: 248 1993",,,,,,wfo-0001198699,2670760,
f760caf6-8fcd-11eb-924d-9cd76263cbd0,species,angustifolia,Hennediella,,"(Herzog) R.H.Zander",,"Bull. Buffalo Soc. Nat. Sci. 32: 248 1993",,,,,,wfo-0001198822,2670761,
f8ee677a-8fcd-11eb-924d-9cd76263cbd0,species,antarctica,Hennediella,,"(Ångström) Ochyra & Matteri",,"Fragm. Florist. Geobot. 41: 1006 1996",,,,,,wfo-0001201868,2670759,
f753039e-8fcd-11eb-924d-9cd76263cbd0,species,arenae,Hennediella,,"(Besch.) R.H.Zander",,"Bull. Buffalo Soc. Nat. Sci. 32: 248 1993",,,,,,wfo-0001198700,2670768,
f7531d98-8fcd-11eb-924d-9cd76263cbd0,variety,petriei,Hennediella,arenae,"(Broth. ex Beckett) R.H.Zander",,"Bull. Buffalo Soc. Nat. Sci. 32: 248 1993",,,,,,wfo-0001198701,7859544,
f61c28ac-8fcd-11eb-924d-9cd76263cbd0,species,austrogeorgica,Hennediella,,"(Cardot) Blockeel",,"J. Bryol. 16: 191 1990",,,,,,wfo-0001196005,8039434,
f75337c4-8fcd-11eb-924d-9cd76263cbd0,species,bellii,Hennediella,,"(E.B.Bartram) R.H.Zander",,"Bull. Buffalo Soc. Nat. Sci. 32: 248 1993",,,,,,wfo-0001198702,2670776,
eb8ae2b6-8fcd-11eb-924d-9cd76263cbd0,species,bruchioides,Hennediella,,"(Müll.Hal.) Broth.",,"Nat. Pflanzenfam. I(3): 420 1902",,,,,,wfo-0001174643,7488556,
f753894a-8fcd-11eb-924d-9cd76263cbd0,species,densifolia,Hennediella,,"(Hook.f. & Wilson) R.H.Zander",,"Bull. Buffalo Soc. Nat. Sci. 32: 248 1993",,,,,,wfo-0001198705,2670769,
f753a376-8fcd-11eb-924d-9cd76263cbd0,species,denticulata,Hennediella,,"(Wilson) R.H.Zander",,"Bull. Buffalo Soc. Nat. Sci. 32: 248 1993",,,,,,wfo-0001198706,2670777,
fa4e6052-8fcd-11eb-924d-9cd76263cbd0,species,diaguita,Hennediella,,"R.H.Zander & Mahu",,"Bryologist 102: 349–351. f. 1–11 1999",,,,,,wfo-0001204650,2670774,
