id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e4a08e70-8fd1-11eb-924d-9cd76263cbd0,genus,Hereroa,,,"(Schwantes) Dinter & Schwantes",0,1927,,"in Z. Sukkulentenk. 3: 15, 23. 1927.",,,,,,,wfo-4000017533,7329478,,
d8d8e704-8fd1-11eb-924d-9cd76263cbd0,species,acuminata,Hereroa,,L.Bolus,0,1933,,"Notes Mesembryanthemum 2: 390. 1933.",,,,,,,wfo-0001293181,3707493,,
d8d903ce-8fd1-11eb-924d-9cd76263cbd0,species,albanensis,Hereroa,,L.Bolus,0,1950,,"Notes Mesembryanthemum 3: 222. 1950.",,,,,,,wfo-0001293182,3707486,,
0c6d41f0-8fcd-11eb-924d-9cd76263cbd0,species,angustifolia,Hereroa,,L.Bolus,0,1930,,"Notes Mesembryanthemum 2: 197. 1930.",,,,,,,wfo-0000720272,3707480,,
d8d920b6-8fd1-11eb-924d-9cd76263cbd0,species,aspera,Hereroa,,L.Bolus,0,1933,,"Notes Mesembryanthemum 2: 391. 1933.",,,,,,,wfo-0001293183,3707472,,
d8d93ad8-8fd1-11eb-924d-9cd76263cbd0,species,brevifolia,Hereroa,,L.Bolus,0,1929,,"Notes Mesembryanthemum 2: 116. 1929.",,,,,,,wfo-0001293184,3707464,,
d8d95c2a-8fd1-11eb-924d-9cd76263cbd0,species,calycina,Hereroa,,L.Bolus,0,1928,,"in J. Bot. 66: 200. 1928.",,,,,,,wfo-0001293185,3707458,,
0c6d5d20-8fcd-11eb-924d-9cd76263cbd0,species,cana,Hereroa,,L.Bolus,0,1930,,"in S. African Gard. 20: 121. 1930.",,,,,,,wfo-0000720273,3707451,,
d8d98222-8fd1-11eb-924d-9cd76263cbd0,species,carinans,Hereroa,,"(Haw.) Dinter & Schwantes ex H.Jacobsen",0,1935,,"Succ. Pl.: 138. 1935.",,,,,,,wfo-0001293186,3707436,,
d8d9ebd6-8fd1-11eb-924d-9cd76263cbd0,species,concava,Hereroa,,L.Bolus,0,1928,,"in J. Bot. 66: 200. 1928.",,,,,,,wfo-0001293187,3707428,,
d8da745c-8fd1-11eb-924d-9cd76263cbd0,species,crassa,Hereroa,,L.Bolus,0,1932,,"Notes Mesembryanthemum 2: 363. 1932.",,,,,,,wfo-0001293188,3707420,,
0c6db1d0-8fcd-11eb-924d-9cd76263cbd0,species,dolabriformis,Hereroa,,"(L.) L.Bolus",0,1928,,"Notes Mesembryanthemum 1: 143. 1928.",,,,,,,wfo-0000720275,3707413,,
d8dabb92-8fd1-11eb-924d-9cd76263cbd0,species,dyeri,Hereroa,,L.Bolus,0,1928,,"in S. African Gard. 18: 126. 1928.",,,,,,,wfo-0001293189,3707406,,
d8dadb72-8fd1-11eb-924d-9cd76263cbd0,species,fimbriata,Hereroa,,L.Bolus,0,1928,,"in J. Bot. 66: 198. 1928.",,,,,,,wfo-0001293190,3707397,,
0c6ddac0-8fcd-11eb-924d-9cd76263cbd0,species,glenensis,Hereroa,,"(N.E.Br.) L.Bolus",0,1950,,"Notes Mesembryanthemum 3: 233. 1950.",,,,b0a639a8-8fcc-11eb-924d-9cd76263cbd0,,,wfo-0000720276,3707390,,
0c6e0d88-8fcd-11eb-924d-9cd76263cbd0,species,gracilis,Hereroa,,L.Bolus,0,1931,,"Notes Mesembryanthemum 2: 268. 1931.",,,,,,,wfo-0000720277,3707383,,
8855892c-1d4d-11ec-82c2-f14daa6f2d93,variety,compressa,Hereroa,gracilis,L.Bolus,,1931,,"Notes Mesembryanthemum 2: 268. 1931.",,,,,,,wfo-0001435396,,,
d8dafb16-8fd1-11eb-924d-9cd76263cbd0,species,granulata,Hereroa,,"(N.E.Br.) Dinter & Schwantes",0,1927,,"in Z. Sukkulentenk. 3: 24. 1927.",,,,,,,wfo-0001293191,3707374,,
d8db166e-8fd1-11eb-924d-9cd76263cbd0,species,herrei,Hereroa,,Schwantes,0,1928,,"in Z. Sukkulentenk. 3: 302. 1928.",,,,,,,wfo-0001293192,3707369,,
d8db341e-8fd1-11eb-924d-9cd76263cbd0,species,hesperantha,Hereroa,,"(Dinter & A.Berger) Dinter & Schwantes",0,1927,,"in Z. Sukkulentenk. 2(3): 24. 1927.",,,,,,,wfo-0001293193,3707362,,
d8db520a-8fd1-11eb-924d-9cd76263cbd0,species,incurva,Hereroa,,L.Bolus,0,1929,,"Notes Mesembryanthemum 2: 83. 1929.",,,,,,,wfo-0001293194,3707353,,
d8db700a-8fd1-11eb-924d-9cd76263cbd0,species,joubertii,Hereroa,,L.Bolus,0,1935,,"Notes Mesembryanthemum 2: 484. 1935.",,,,,,,wfo-0001293195,3707345,,
d8db8cac-8fd1-11eb-924d-9cd76263cbd0,species,latipetala,Hereroa,,L.Bolus,0,1928,,"in J. Bot. 66: 199. 1928.",,,,,,,wfo-0001293196,3707337,,
d8dba7d2-8fd1-11eb-924d-9cd76263cbd0,species,muirii,Hereroa,,L.Bolus,0,1927,,"in S. African Gard. 17: 365. 1927.",,,,,,,wfo-0001293197,3707329,,
d8dbc47e-8fd1-11eb-924d-9cd76263cbd0,species,nelii,Hereroa,,Schwantes,0,1929,,"in Monatsschr. Deutsch. Kakteen-Ges. 1: 14. 1929.",,,,,,,wfo-0001293198,3707322,,
d8dc2a40-8fd1-11eb-924d-9cd76263cbd0,species,odorata,Hereroa,,"(L.Bolus) L.Bolus",0,1950,,"Notes Mesembryanthemum 3: 222. 1950.",,,,,,,wfo-0001293199,3707314,,
0c6e5482-8fcd-11eb-924d-9cd76263cbd0,species,pallens,Hereroa,,L.Bolus,0,1939,,"Notes Mesembryanthemum 3: 156. 1939.",,,,,,,wfo-0000720279,3707307,,
