id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e4a0de7a-8fd1-11eb-924d-9cd76263cbd0,genus,Hermannia,,,L.,0,1753,,"Sp. Pl. : 673 (1753)",,,,,,urn:lsid:ipni.org:names:38725-1,wfo-4000017541,3152198,,
dbcebb22-8fcd-11eb-924d-9cd76263cbd0,species,abrotanoides,Hermannia,,Schrad.,0,,,"Hort. Gott. 1: 17 (1809)",,,,,,urn:lsid:ipni.org:names:823597-1,wfo-0001140848,7847432,,
dbe3bf68-8fcd-11eb-924d-9cd76263cbd0,species,abyssinica,Hermannia,,"(Hochst. ex A.Rich.) K.Schum. ex Schinz",0,1895,,"Verh. Bot. Vereins Prov. Brandenburg 30: 236 (1888)",,,,dbe42ebc-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:823598-1,wfo-0001141037,7505371,,
dbcf47a4-8fcd-11eb-924d-9cd76263cbd0,species,adenotricha,Hermannia,,K.Schum.,0,1899,,"Notizbl. Königl. Bot. Gart. Berlin 2: 306 (1899)",,,,,,urn:lsid:ipni.org:names:823599-1,wfo-0001140853,8150543,,
dbcf6400-8fcd-11eb-924d-9cd76263cbd0,species,affinis,Hermannia,,"K.Schum. ex Schinz",0,,,"Verh. Bot. Vereins Prov. Brandenburg 31: 180 (1890)",,,,,,urn:lsid:ipni.org:names:823600-1,wfo-0001140854,8399683,,
0c78abe4-8fcd-11eb-924d-9cd76263cbd0,species,albiensis,Hermannia,,K.Schum.,0,1899,,"Notizbl. Königl. Bot. Gart. Berlin 2: 303 (1899)",,,,,,urn:lsid:ipni.org:names:823601-1,wfo-0000720345,7803048,,
dbcf7e4a-8fcd-11eb-924d-9cd76263cbd0,species,alnifolia,Hermannia,,L.,0,,,"Sp. Pl. : 674 (1753)",,,,,,urn:lsid:ipni.org:names:823604-1,wfo-0001140855,7373819,,
dbcf9a7e-8fcd-11eb-924d-9cd76263cbd0,species,althaeifolia,Hermannia,,L.,0,,,"Sp. Pl. : 673 (1753)",,,,,,urn:lsid:ipni.org:names:823605-1,wfo-0001140856,8327676,,
dbcfb64e-8fcd-11eb-924d-9cd76263cbd0,species,althaeoides,Hermannia,,"Hurt ex Link",0,,,"Enum. Hort. Berol. Alt. 2: 179 (1822)",,,,,,urn:lsid:ipni.org:names:823607-1,wfo-0001140857,7499104,,
dbcfd2c8-8fcd-11eb-924d-9cd76263cbd0,species,amabilis,Hermannia,,"Marloth ex K.Schum.",0,,,"Bot. Jahrb. Syst. 10: 42 (1888)",,,,,,urn:lsid:ipni.org:names:823608-1,wfo-0001140859,8452937,,
dbcfec4a-8fcd-11eb-924d-9cd76263cbd0,species,amoena,Hermannia,,"Dinter ex E.Holzh.",0,,,"Mitt. Bot. Staatssamml. München 8: 345 (1953)",,,,,,urn:lsid:ipni.org:names:823609-1,wfo-0001140860,7452346,,
0c78e00a-8fcd-11eb-924d-9cd76263cbd0,species,angolensis,Hermannia,,K.Schum.,0,1903,,"Kunene-Sambesi Exped. : 302 (1903)",,,,,,urn:lsid:ipni.org:names:823610-1,wfo-0000720346,8240367,,
dbd00590-8fcd-11eb-924d-9cd76263cbd0,species,angularis,Hermannia,,Jacq.,0,,,"Pl. Hort. Schoenbr. 1: 68 (1797)",,,,,,urn:lsid:ipni.org:names:823612-1,wfo-0001140861,8395175,,
0c7901f2-8fcd-11eb-924d-9cd76263cbd0,species,angustifolia,Hermannia,,"Otto & A.Dietr.",0,1840,,"Allg. Gartenzeitung 8: 332 (1840)",,,,,,urn:lsid:ipni.org:names:823613-1,wfo-0000720347,8209640,,
0c792114-8fcd-11eb-924d-9cd76263cbd0,species,anthemidifolia,Hermannia,,C.Presl,0,1845,,"Abh. Königl. Böhm. Ges. Wiss. , ser. 5, 3: 452 (1845)",,,,,,urn:lsid:ipni.org:names:823614-1,wfo-0000720348,8345802,,
dbd01e90-8fcd-11eb-924d-9cd76263cbd0,species,antonii,Hermannia,,I.Verd.,0,,,"Bothalia 10: 77 (1969)",,,,,,urn:lsid:ipni.org:names:823615-1,wfo-0001140862,7928933,,
0c793eb0-8fcd-11eb-924d-9cd76263cbd0,species,arabica,Hermannia,,"Hochst. & Steud. ex Fisch., C.A.Mey. & Avé-Lall.",0,1840,,"Index Seminum (LE, Petropolitanus) 6: 51 (1840)",,,,,,urn:lsid:ipni.org:names:823616-1,wfo-0000720349,8450150,,
0c795ecc-8fcd-11eb-924d-9cd76263cbd0,species,arenicola,Hermannia,,Engl.,0,1907,,"Bot. Jahrb. Syst. 39: 590 (1907)",,,,,,urn:lsid:ipni.org:names:823617-1,wfo-0000720350,8186229,,
dbe368a6-8fcd-11eb-924d-9cd76263cbd0,species,argentea,Hermannia,,Sm.,0,,,"Cycl. 17: s.p. (1811)",,,,,,urn:lsid:ipni.org:names:823618-1,wfo-0001141034,7583026,,
dbd03e16-8fcd-11eb-924d-9cd76263cbd0,species,argillicola,Hermannia,,"Dinter ex E.Holzh.",0,,,"Mitt. Bot. Staatssamml. München 8: 347 (1953)",,,,,,urn:lsid:ipni.org:names:823620-1,wfo-0001140863,7390703,,
0c799914-8fcd-11eb-924d-9cd76263cbd0,species,argyrata,Hermannia,,C.Presl,0,1845,,"Abh. Königl. Böhm. Ges. Wiss. , ser. 5, 3: 450 (1845)",,,,,,urn:lsid:ipni.org:names:823621-1,wfo-0000720352,7961308,,
0c79b598-8fcd-11eb-924d-9cd76263cbd0,species,arida,Hermannia,,Diels,0,1919,,"Bot. Jahrb. Syst. 55: 358 (1919)",,,,,,urn:lsid:ipni.org:names:823622-1,wfo-0000720353,8340333,,
dbe78e68-8fcd-11eb-924d-9cd76263cbd0,species,asbestina,Hermannia,,Schltr.,0,,,"J. Bot. 36: 373 (1898)",,,,,,urn:lsid:ipni.org:names:823623-1,wfo-0001141072,7746251,,
dbd05860-8fcd-11eb-924d-9cd76263cbd0,species,aspera,Hermannia,,J.C.Wendl.,0,,,"Bot. Beob. : 52 (1798)",,,,,,urn:lsid:ipni.org:names:823624-1,wfo-0001140864,7572447,,
