id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e4a4b892-8fd1-11eb-924d-9cd76263cbd0,genus,Herrania,,,Goudot,0,1844,,"Ann. Sci. Nat., Bot. , sér. 3, 2: 230 (1844)",,,Q17621119,,,urn:lsid:ipni.org:names:38726-1,wfo-4000017582,7322892,,
0cc09206-8fcd-11eb-924d-9cd76263cbd0,species,albiflora,Herrania,,Goudot,0,1844,,"Ann. Sci. Nat., Bot. , sér. 3, 2: 230 (1844)",,,Q17621119,,,urn:lsid:ipni.org:names:824010-1,wfo-0000720851,7322911,,
40f41af8-1d4d-11ec-82c2-f14daa6f2d93,form,titanica,Herrania,albiflora,R.E.Schult.,,1945,,"Caldasia 3: 442, fig. 1945",,,,,,urn:lsid:ipni.org:names:120750-2,wfo-0001320286,,,
dbb1cf08-8fcd-11eb-924d-9cd76263cbd0,species,amazonica,Herrania,,Huber,0,,,,,,,,,,wfo-0001140623,7357352,,
c33aa658-8fd1-11eb-924d-9cd76263cbd0,species,aspera,Herrania,,"(H.Karst. & Triana) H.Karst.",0,1857,,"Linnaea 28(4): 446. 1857 [Jun 1857]",,,Q5976761,dbf16c6c-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:824011-1,wfo-0001260134,3668462,,
dbc17b24-8fcd-11eb-924d-9cd76263cbd0,species,atrorubens,Herrania,,Huber,0,1914,,"Bull. Soc. Bot. Genève , sér. 2, 6: 187 (1914 publ. 1915)",,,Q5735486,,,urn:lsid:ipni.org:names:120751-2,wfo-0001140736,3668443,,
dbf5ff98-8fcd-11eb-924d-9cd76263cbd0,species,balaensis,Herrania,,P.Preuss,0,1901,,"Exped. C.-Sudamer. 253. 1901",,,,,,urn:lsid:ipni.org:names:120752-2,wfo-0001141200,3668417,,
b930485c-8fd1-11eb-924d-9cd76263cbd0,species,breviligulata,Herrania,,R.E.Schult.,0,1942,,"Caldasia 1(4): 20 (1942)",,Q95132919,,,,urn:lsid:ipni.org:names:120753-2,wfo-0001241436,3668388,,
0cc0b25e-8fcd-11eb-924d-9cd76263cbd0,species,camargoana,Herrania,,R.E.Schult.,0,1950,,"Bot. Mus. Leafl. 14: 120 (1950)",,Q100425536,Q5732619,,,urn:lsid:ipni.org:names:120754-2,wfo-0000720852,3668368,,
dbc0c4ea-8fcd-11eb-924d-9cd76263cbd0,species,cuatrecasana,Herrania,,García-Barr.,,1941,,"Caldasia 1(2): 57 (1941)",,,,,,urn:lsid:ipni.org:names:120755-2,wfo-0001140732,3668352,,
dbf70dd4-8fcd-11eb-924d-9cd76263cbd0,species,dugandii,Herrania,,García-Barr.,,1941,,"Caldasia 1(2): 59 (1941)",,,,,,urn:lsid:ipni.org:names:120756-2,wfo-0001141210,3668335,,
5880d29c-1d4d-11ec-82c2-f14daa6f2d93,species,guianensis,Herrania,,Sagot,,1886,,"Fl. Bras. (Martius) 12(3): 75. 1886 [1 Mar 1886]",,,Q5460282,,,urn:lsid:ipni.org:names:292490-2,wfo-0001351765,,,
bd9e6162-8fd1-11eb-924d-9cd76263cbd0,species,kanukuensis,Herrania,,R.E.Schult.,0,1943,,"Caldasia 2: 11 (1943)",,,,,,urn:lsid:ipni.org:names:120757-2,wfo-0001249605,3668306,,
dbc0e588-8fcd-11eb-924d-9cd76263cbd0,species,kofanorum,Herrania,,R.E.Schult.,,1950,,"Bot. Mus. Leafl. 14: 126 (1950)",,Q100425536,Q5732619,,,urn:lsid:ipni.org:names:120758-2,wfo-0001140733,3668287,,
dbb1e9f2-8fcd-11eb-924d-9cd76263cbd0,species,laciniifolia,Herrania,,"Goudot ex Triana & Planch.",0,1862,,"Ann. Sci. Nat., Bot. , sér. 4, 17: 337 (1862)",,,Q17621119,,,urn:lsid:ipni.org:names:824022-1,wfo-0001140624,8146156,,
577da032-1d4d-11ec-82c2-f14daa6f2d93,species,lanciifolia,Herrania,,"Goudot ex Triana & Planch.",,,,,,,,,,urn:lsid:ipni.org:names:120759-2,wfo-0001350376,,,
0cc0ed3c-8fcd-11eb-924d-9cd76263cbd0,species,lemniscata,Herrania,,"(M.R.Schomb.) R.E.Schult.",0,1943,,"Caldasia 2: 13 (1943)",,,,68e2c960-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:824024-1,wfo-0000720854,3668236,,
dbc1095a-8fcd-11eb-924d-9cd76263cbd0,species,mariae,Herrania,,"(Mart.) Goudot",0,1844,,"Ann. Sci. Nat., Bot. , sér. 3, 2: 233 (1844)",,,Q17621119,9021efd8-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:824025-1,wfo-0001140734,,,
6683d4d4-1d4d-11ec-82c2-f14daa6f2d93,variety,putumayonis,Herrania,mariae,R.E.Schult.,,1950,,"Bot. Mus. Leafl. 14: 129 (1950)",,,Q5732619,,,urn:lsid:ipni.org:names:120760-2,wfo-0001371621,,,
0cc10ab0-8fcd-11eb-924d-9cd76263cbd0,species,nitida,Herrania,,"(Poepp.) R.E.Schult.",0,1943,,"Caldasia 2: 16 (1943)",,,,90222e08-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:824026-1,wfo-0000720855,7322898,,
dbf14bb0-8fcd-11eb-924d-9cd76263cbd0,variety,aspera,Herrania,nitida,"(H.Karst. & Triana) R.E.Schult.",0,1950,,"Bot. Mus. Leafl. 14: 130 (1950)",,Q100425536,Q5732619,dbf16c6c-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:120762-2,wfo-0001141160,,,
de0529c8-1d4c-11ec-82c2-f14daa6f2d93,form,nitida,Herrania,nitida,,,,,,,,,,,,wfo-0001141181,,,
dbf12da6-8fcd-11eb-924d-9cd76263cbd0,form,sphenophylla,Herrania,nitida,"(R.E.Schult.) R.E.Schult.",0,1950,,"Bot. Mus. Leafl. 14: 131 (1950)",,Q100425536,Q5732619,dbf18f58-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:120763-2,wfo-0001141159,3668169,,
dbf18f58-8fcd-11eb-924d-9cd76263cbd0,variety,sphenophylla,Herrania,nitida,R.E.Schult.,0,1943,,"Caldasia 2: 20 (1943)",,,,,,urn:lsid:ipni.org:names:120764-2,wfo-0001141162,3668169,,
dbc19b36-8fcd-11eb-924d-9cd76263cbd0,species,nycterodendron,Herrania,,R.E.Schult.,0,1943,,"Caldasia no. 6: 21, fig. 1943",,,,,,urn:lsid:ipni.org:names:120765-2,wfo-0001140737,3668149,,
dbb20522-8fcd-11eb-924d-9cd76263cbd0,species,pulcherrima,Herrania,,Goudot,0,1844,,"Ann. Sci. Nat., Bot. , sér. 3, 2: 232 (1844)",,,Q17621119,,,urn:lsid:ipni.org:names:824028-1,wfo-0001140625,7322895,,
66842718-1d4d-11ec-82c2-f14daa6f2d93,variety,pacifica,Herrania,pulcherrima,R.E.Schult.,,1950,,"Bot. Mus. Leafl. 14: 131, tab. 28 (lower). 1950",,,Q5732619,,,urn:lsid:ipni.org:names:120767-2,wfo-0001371623,,,
dbbc7408-8fcd-11eb-924d-9cd76263cbd0,species,purpurea,Herrania,,"(Pittier) R.E.Schult.",0,1944,,"Caldasia 2: 333 (1944)",,,,d50c1bca-8fc0-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:120768-2,wfo-0001140700,3668083,,
c376afb8-8fd1-11eb-924d-9cd76263cbd0,species,tomentella,Herrania,,R.E.Schult.,,1954,,"Bot. Mus. Leafl. 16: 213 (1954)",,Q100425600,Q5732619,,,urn:lsid:ipni.org:names:120769-2,wfo-0001260556,3668062,,
bd9e3af2-8fd1-11eb-924d-9cd76263cbd0,species,umbratica,Herrania,,R.E.Schult.,0,1943,,"Caldasia 2: 261 (1943)",,,,,,urn:lsid:ipni.org:names:120770-2,wfo-0001249604,3668030,,
