id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e4b5874e-8fd1-11eb-924d-9cd76263cbd0,genus,Heterotheca,,,Cass.,,,,,,,30001631-2,wfo-4000017788,3139349,
d5adf170-8fbb-11eb-924d-9cd76263cbd0,species,adenolepis,Heterotheca,,"(Fernald) H.E.Ahles",,"173 1964",,,,,121426-2,wfo-0000136991,5701008,
7d48bcc6-8fb2-11eb-924d-9cd76263cbd0,species,angustifolia,Heterotheca,,"(Nutt.) Shinners",,,,,,,,wfo-0000026001,7575508,
0f8906d2-8fb2-11eb-924d-9cd76263cbd0,species,arizonica,Heterotheca,,"(Semple) G.L.Nesom",,"Journal of the Botanical Research Institute of Texas 1(1): 27 2007",,,,,60446786-2,wfo-0000008730,5701005,
16e47236-8fb7-11eb-924d-9cd76263cbd0,species,aspera,Heterotheca,,"(Shuttlew. ex A.Gray) Shinners",,"Sida 3 348 1969",,,,,214036-1,wfo-0000096251,5701002,
ffd4f150-8fb2-11eb-924d-9cd76263cbd0,species,barbata,Heterotheca,,"(Rydb.) Semple",,"379 1987",,,,,278158-2,wfo-0000039334,5402000,
defbf948-8fb6-11eb-924d-9cd76263cbd0,species,bartlettii,Heterotheca,,"(S.F.Blake) M.C.Johnst.",,"172 1958",,,,,121428-2,wfo-0000094049,5402748,
6ace977a-8fb5-11eb-924d-9cd76263cbd0,species,bolanderi,Heterotheca,,"(A.Gray) V.L.Harms",,"61 1974",,,,,121429-2,wfo-0000077832,5700994,
a2fa5dbe-8fb5-11eb-924d-9cd76263cbd0,species,brandegei,Heterotheca,,"(B.L.Rob. & Greenm.) Semple",,"557 1988",,,,,945691-1,wfo-0000080393,5401987,
ec171e2c-8fb2-11eb-924d-9cd76263cbd0,species,breweri,Heterotheca,,"(A.Gray) Shinners",,"71 1951",,,,,121430-2,wfo-0000037528,5386330,
0db25b84-8fb6-11eb-924d-9cd76263cbd0,species,camphorata,Heterotheca,,"(Eastw.) Semple",,"148 1980",,,,,121431-2,wfo-0000085144,5700983,
00707efa-8fb7-11eb-924d-9cd76263cbd0,species,camporum,Heterotheca,,"(Greene) Shinners",,"71 1951",,,,,121432-2,wfo-0000095366,5402008,
7b036150-8fb7-11eb-924d-9cd76263cbd0,variety,glandulissima,Heterotheca,camporum,Semple,,"Brittonia 35(2) 146 1983",,,,,121433-2,wfo-0000100151,,
4d30dd0e-8fba-11eb-924d-9cd76263cbd0,species,canescens,Heterotheca,,"(DC.) Shinners",,"68 1951",,,,,121434-2,wfo-0000125537,5401993,
d0885bb0-8fb4-11eb-924d-9cd76263cbd0,species,chihuahuana,Heterotheca,,B.L.Turner,,"128 1987",,,,,278160-2,wfo-0000070218,5700976,
