id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e4bb8216-8fd1-11eb-924d-9cd76263cbd0,genus,Hicriopteris,,,C.Presl,0,1851,,"Abh. Königl. Böhm. Ges. Wiss. , ser. 5, 6: 26 (1851)",,,,,,urn:lsid:ipni.org:names:17119940-1,wfo-4000017880,7265333,,
fbda3ef2-8fbc-11eb-924d-9cd76263cbd0,species,arachnoides,Hicriopteris,,"(Hassk.) Copel.",0,1941,,"Philipp. J. Sci. 75: 358 (1941)",,,,,,urn:lsid:ipni.org:names:17398150-1,wfo-0000144870,3790391,,
b0f294b0-8fd1-11eb-924d-9cd76263cbd0,species,astrotricha,Hicriopteris,,Copel.,0,1941,,"Philipp. J. Sci. 75: 358 (1941)",,,,,,urn:lsid:ipni.org:names:17398160-1,wfo-0001226346,3790384,,
ce6cbd80-8fcd-11eb-924d-9cd76263cbd0,species,bancroftii,Hicriopteris,,"(Hook.) Ching",0,1940,,"Sunyatsenia 5: 278 (1940)",,,,ce6c55ca-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:122130-2,wfo-0001111985,3790374,,
d44a9010-8fcd-11eb-924d-9cd76263cbd0,species,blotiana,Hicriopteris,,"(C.Chr.) Ching",0,1940,,"Sunyatsenia 5: 279 (1940)",,,,d42e3848-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:17398180-1,wfo-0001124459,3790366,,
b0f238d0-8fd1-11eb-924d-9cd76263cbd0,species,bullata,Hicriopteris,,"(Moore) Ching",0,1947,,"Sunyatsenia 5: 279. 1940. (1940)",,,,b0f25888-8fd1-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:17398190-1,wfo-0001226343,7956016,,
d44b3b3c-8fcd-11eb-924d-9cd76263cbd0,species,cantonensis,Hicriopteris,,"(Ching) Ching",0,1940,,"Sunyatsenia 5: 279. 1940. (1940)",,,,,,urn:lsid:ipni.org:names:17398200-1,wfo-0001124465,3790349,,
d44ae6be-8fcd-11eb-924d-9cd76263cbd0,species,chinensis,Hicriopteris,,"(Rosenst.) Ching",0,1940,,"Sunyatsenia 5: 279. 1940. (1940)",,,,d3a74f40-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:17398210-1,wfo-0001124462,3790341,,
c03f28d4-8fd1-11eb-924d-9cd76263cbd0,species,clemensiae,Hicriopteris,,Copel.,0,1942,,"Univ. Calif. Publ. Bot. 18: 217. 1942. (1942)",,,,,,urn:lsid:ipni.org:names:17398220-1,wfo-0001254529,3790334,,
d3b6e572-8fcd-11eb-924d-9cd76263cbd0,species,critica,Hicriopteris,,"Ching & Chiu in Chien & Chun",0,1959,,"Fl. Reipubl. Popularis Sin. 2: 348. 1959. (1959)",,,,,,urn:lsid:ipni.org:names:17398230-1,wfo-0001123200,3790320,,
