id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e4db320a-8fd1-11eb-924d-9cd76263cbd0,genus,Hornschuchia,,,Nees,0,1821,,"Flora 4: 302 (1821)",,,Q5862699,,,urn:lsid:ipni.org:names:2052-1,wfo-4000018294,3158449,,
0ee5e716-8fcd-11eb-924d-9cd76263cbd0,species,alba,Hornschuchia,,R.E.Fr.,0,1931,,"Acta Horti Berg. 10: 137 (1931)",,,,b299a65a-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:124083-2,wfo-0000724749,5407558,,
4304c792-8fcd-11eb-924d-9cd76263cbd0,species,brasiliensis,Hornschuchia,,Spreng.,0,1822,,"Neue Entdeck. Pflanzenk. 3: 64. 1822",,,,,,urn:lsid:ipni.org:names:435594-1,wfo-0000834419,5643435,,
0ee60412-8fcd-11eb-924d-9cd76263cbd0,species,bryotrophe,Hornschuchia,,Nees,0,1821,,"Flora 4: 302 (1821)",,,Q5862699,,,urn:lsid:ipni.org:names:73724-1,wfo-0000724750,5407556,,
b9b6ad06-8fcd-11eb-924d-9cd76263cbd0,species,caudata,Hornschuchia,,"R.E.Fr. in A.C.Sm.",0,1939,,"Lloydia 2: 180 (1939)",,,,,,urn:lsid:ipni.org:names:124084-2,wfo-0001065764,5407044,,
0ee63ee6-8fcd-11eb-924d-9cd76263cbd0,species,cauliflora,Hornschuchia,,"Maas & Setten",0,1988,,"Proc. Kon. Ned. Akad. Wetensch. C 91: 259 (1988)",,,,,,urn:lsid:ipni.org:names:278278-2,wfo-0000724752,5407560,,
0ee65c46-8fcd-11eb-924d-9cd76263cbd0,species,citriodora,Hornschuchia,,D.M.Johnson,0,1993,,"Contr. Univ. Michigan Herb. 19: 259 (1993)",,,,,,urn:lsid:ipni.org:names:304284-2,wfo-0000724753,5407561,,
0ee678ac-8fcd-11eb-924d-9cd76263cbd0,species,duckei,Hornschuchia,,R.E.Fr.,0,1934,,"Acta Horti Berg. 12: 197 (1934)",,,,,,urn:lsid:ipni.org:names:124085-2,wfo-0000724754,5407045,,
0ee692f6-8fcd-11eb-924d-9cd76263cbd0,species,guianensis,Hornschuchia,,R.E.Fr.,0,1937,,"Acta Horti Berg. 12: 264 (1937)",,,,,,urn:lsid:ipni.org:names:124086-2,wfo-0000724755,5407046,,
0ee6affc-8fcd-11eb-924d-9cd76263cbd0,species,leptandra,Hornschuchia,,D.M.Johnson,0,1995,,"Brittonia 47: 310 (1995)",,Q54783775,,,,urn:lsid:ipni.org:names:304072-2,wfo-0000724757,5407563,,
0ee6c9ec-8fcd-11eb-924d-9cd76263cbd0,species,lianarum,Hornschuchia,,D.M.Johnson,0,1995,,"Brittonia 47: 300 (1995)",,Q54783775,,,,urn:lsid:ipni.org:names:305360-2,wfo-0000724758,5407564,,
0ee6e436-8fcd-11eb-924d-9cd76263cbd0,species,myrtillus,Hornschuchia,,Nees,0,1821,,"Flora 4: 302 (1821)",,,Q5862699,,,urn:lsid:ipni.org:names:73728-1,wfo-0000724759,5407555,,
0ee703bc-8fcd-11eb-924d-9cd76263cbd0,species,obliqua,Hornschuchia,,"Maas & Setten",0,1988,,"Proc. Kon. Ned. Akad. Wetensch. C 91: 260 (1988)",,,,,,urn:lsid:ipni.org:names:278279-2,wfo-0000724760,5407557,,
0ee797aa-8fcd-11eb-924d-9cd76263cbd0,species,polyantha,Hornschuchia,,Maas,0,1986,,"Proc. Kon. Ned. Akad. Wetensch. C 89: 258 (1986)",,,,,,urn:lsid:ipni.org:names:278280-2,wfo-0000724763,5407559,,
0ee7d594-8fcd-11eb-924d-9cd76263cbd0,species,santosii,Hornschuchia,,D.M.Johnson,0,1995,,"Brittonia 47: 303 (1995)",,Q54783775,,,,urn:lsid:ipni.org:names:302648-2,wfo-0000724764,5407562,,
