id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e4e59682-8fd1-11eb-924d-9cd76263cbd0,genus,Humbertacalia,,,C.Jeffrey,Q1065059,,,,,Q54635033,,,,956912-1,wfo-4000018403,3091154,,
6288872c-8fb2-11eb-924d-9cd76263cbd0,species,amplexifolia,Humbertacalia,,C.Jeffrey,Q1065059,1992,,"Kew Bull. 47(1): 83 (1992):",,Q54635033,,,,963655-1,wfo-0000022830,3091155,,
d8072258-8fb5-11eb-924d-9cd76263cbd0,species,coursii,Humbertacalia,,C.Jeffrey,Q1065059,1992,,"Kew Bull. 47(1): 83 (1992):",,Q54635033,,,,963656-1,wfo-0000082803,3091166,,
0d054414-8fb9-11eb-924d-9cd76263cbd0,species,leucopappa,Humbertacalia,,"(Boj. ex DC.) C.Jeffrey","Q123057,Q1065059",1992,,"Kew Bull. 47(1): 83 (1992), basionym not validly publ.:",,Q54635033,,,,963657-1,wfo-0000114961,3091157,,
de66bc96-8fd1-11eb-924d-9cd76263cbd0,species,madagascarensis,Humbertacalia,,"Y.L. Peng & Li Bing Zhang",Q19003667,2016,,"Phytotaxa 283(3): 291–294. 2016. (Phytotaxa)",,,,,,,wfo-0001315446,8986683,,
48119936-8fb4-11eb-924d-9cd76263cbd0,species,neoalleizettii,Humbertacalia,,C.Jeffrey,Q1065059,1992,,"Kew Bull. 47(1): 83 (1992):",,Q54635033,,,,963658-1,wfo-0000062684,,,
a3ade21c-8fb5-11eb-924d-9cd76263cbd0,species,pyrifolia,Humbertacalia,,"(DC.) C.Jeffrey","Q123057,Q1065059",1992,,"Kew Bull. 47(1): 83 (1992):",,Q54635033,,,,963659-1,wfo-0000080425,3091168,,
760a6d3a-8fba-11eb-924d-9cd76263cbd0,species,racemosa,Humbertacalia,,"(DC.) C.Jeffrey","Q123057,Q1065059",1992,,"Kew Bull. 47(1): 83 (1992):",,Q54635033,,,,963660-1,wfo-0000126825,3091169,,
c050ac16-8fb4-11eb-924d-9cd76263cbd0,species,tomentosa,Humbertacalia,,"(Lam.) C.Jeffrey","Q82122,Q1065059",1992,,"Kew Bull. 47(1): 83 (1992):",,Q54635033,,,,963661-1,wfo-0000069362,4233389,,
2ade94e6-8fb3-11eb-924d-9cd76263cbd0,species,voluta,Humbertacalia,,C.Jeffrey,Q1065059,1992,,"Kew Bull. 47(1): 83 (1992):",,Q54635033,,,,963662-1,wfo-0000043020,3091163,,
