id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e5027ab8-8fd1-11eb-924d-9cd76263cbd0,genus,Hypnites,,,Ettingsh.,0,1855,,"Abh. K.K. Geol. Reichanst. 2(Abt 3.2): 27. 1855.",,,,,,,wfo-4000018775,4888509,,
f16214ac-8fcd-11eb-924d-9cd76263cbd0,species,arkansanus,Hypnites,,Whittlake,,1968,,"Amer. Midl. Naturalist 80: 546. f. 3–7 1968",,,,,,,wfo-0001186547,8004663,,
f1203cee-8fcd-11eb-924d-9cd76263cbd0,species,arnoldianus,Hypnites,,"(Steere) N.G.Mill.",0,1980,,"Mosses N. Amer. 17 1980",,,,,,,wfo-0001186043,7499745,,
f120597c-8fcd-11eb-924d-9cd76263cbd0,species,beckeri,Hypnites,,"(Steere) N.G.Mill.",0,1980,,"Mosses N. Amer. 17 1980",,,,,,,wfo-0001186044,8051159,,
f12076fa-8fcd-11eb-924d-9cd76263cbd0,species,brittoniae,Hypnites,,"(Steere) N.G.Mill.",0,1980,,"Mosses N. Amer. 17 1980",,,,,,,wfo-0001186045,7571926,,
f1209400-8fcd-11eb-924d-9cd76263cbd0,species,brownii,Hypnites,,"(W.C.G.Kirchn.) N.G.Mill.",0,1980,,"Mosses N. Amer. 17 1980",,,,df89700e-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001186046,7883228,,
fde8709a-8fcd-11eb-924d-9cd76263cbd0,species,complanatus,Hypnites,,J.-P.Frahm,0,2004,,"Rev. Palaeobot. Palynol. 129: 98 2004",,,,,,,wfo-0001212461,7929427,,
fe96d900-8fcd-11eb-924d-9cd76263cbd0,species,flagelliferus,Hypnites,,J.-P.Frahm,0,2006,,"Limprichtia 29: 123 2006",,,,,,,wfo-0001213880,7356522,,
f08bc6e0-8fcd-11eb-924d-9cd76263cbd0,species,haeringianus,Hypnites,,Ettingsh.,0,1852,,"Abh. K.K. Geol. Reichanst. 2(Abt. 3): 27. 4. f. 12 1852",,,,,,,wfo-0001184793,7695181,,
f120b07a-8fcd-11eb-924d-9cd76263cbd0,species,jovet-astiae,Hypnites,,"(Kuc) N.G.Mill.",0,1980,,"Mosses N. Amer. 18 1980",,,,,,,wfo-0001186047,7958255,,
f120cc5e-8fcd-11eb-924d-9cd76263cbd0,species,knowltonii,Hypnites,,"(E.Britton) N.G.Mill.",0,1980,,"Mosses N. Amer. 18 1980",,,,edf261fa-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001186048,7544142,,
fde853e4-8fcd-11eb-924d-9cd76263cbd0,species,lanceolatus,Hypnites,,J.-P.Frahm,0,2004,,"Rev. Palaeobot. Palynol. 129: 97 2004",,,,,,,wfo-0001212460,7689708,,
f120e748-8fcd-11eb-924d-9cd76263cbd0,species,patens,Hypnites,,"(E.Britton) N.G.Mill.",0,1980,,"Mosses N. Amer. 18 1980",,,,f42fda16-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001186049,7854667,,
f12111aa-8fcd-11eb-924d-9cd76263cbd0,species,steerei,Hypnites,,"(Kuc) N.G.Mill.",0,1980,,"Mosses N. Amer. 18 1980",,,,,,,wfo-0001186050,8328374,,
aa93069a-8fd1-11eb-924d-9cd76263cbd0,species,subflagellaris,Hypnites,,"(Casp. & G.A.Klebs) J.-P.Frahm",0,2008,,"Acta Palaeobot. 48: 185 2008",,,,,,,wfo-0001214654,7499625,,
