id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e5072220-8fd1-11eb-924d-9cd76263cbd0,genus,Hypopitys,,,,,,,,,,,,,,wfo-4000018867,,,
d452c1dc-8fd1-11eb-924d-9cd76263cbd0,species,americana,Hypopitys,,"(DC.) Nutt.","Q123057,Q728337",1843,,"Trans. Amer. Philos. Soc., n.s., 8: 272 1843",,,,9d5cb3b8-8fcc-11eb-924d-9cd76263cbd0,,60450158-2,wfo-0001285944,7581912,,
111cc004-8fcd-11eb-924d-9cd76263cbd0,species,brevis,Hypopitys,,Small,Q2590065,1914,,"N. Amer. Fl. 29: 12 1914",,,,,,,wfo-0000728687,4165486,,
ce6543bc-8fd1-11eb-924d-9cd76263cbd0,species,californica,Hypopitys,,"(Eastw.) A.Heller","Q460241,Q2373009",1913,,"Muhlenbergia 9: 68 1913",,,,,,126620-2,wfo-0001280451,4165467,,
111d0064-8fcd-11eb-924d-9cd76263cbd0,species,dentata,Hypopitys,,Raf.,Q364857,1810,,"Med. Repos. III, 1: 297 1810",,,,,,582520-1,wfo-0000728688,4165461,,
111d272e-8fcd-11eb-924d-9cd76263cbd0,species,europaea,Hypopitys,,Nutt.,Q728337,1818,,"Gen. N. Amer. Pl. 1: 271 1818",,,,,,582521-1,wfo-0000728689,4165456,,
d649fd60-8fcd-11eb-924d-9cd76263cbd0,species,fimbriata,Hypopitys,,"(A.Gray) Howell","Q347356,Q1763905",1901,,"Fl. N.W. Amer. 4: 429 1901",,,,cf17e12a-8fd1-11eb-924d-9cd76263cbd0,,,wfo-0001128932,2888347,,
111d59ce-8fcd-11eb-924d-9cd76263cbd0,species,glabra,Hypopitys,,DC.,Q123057,1839,,"Prodr. 7: 780 1839",,,,,,582523-1,wfo-0000728690,4165439,,
111d7da0-8fcd-11eb-924d-9cd76263cbd0,species,hypophegea,Hypopitys,,"(Wallr.) G.Don","Q71374,Q1381245",1834,,"Gen. Hist. 3: 866 1834",,,,358568ca-8fcc-11eb-924d-9cd76263cbd0,,582524-1,wfo-0000728691,4165427,,
111de0ce-8fcd-11eb-924d-9cd76263cbd0,species,hypopitys,Hypopitys,,"(L.) Small","Q1043,Q2590065",1893,,"Mem. Torrey Bot. Club 4: 137 1893",,,,3584891e-8fcc-11eb-924d-9cd76263cbd0,,126622-2,wfo-0000728692,4165415,,
d64a1a0c-8fcd-11eb-924d-9cd76263cbd0,species,insignata,Hypopitys,,E.P.Bicknell,Q5407654,1914,,"Bull. Torrey Bot. Club 41: 413 1914",,Q55767086,,,,126623-2,wfo-0001128933,2888351,,
d42041e4-8fd1-11eb-924d-9cd76263cbd0,species,lanuginosa,Hypopitys,,"(Michx.) Raf.","Q521848,Q364857",1810,,"Med. Repos., ser. 3, 1: 297 1810",,,,,,30217565-2,wfo-0001285586,8419848,,
ce65d41c-8fd1-11eb-924d-9cd76263cbd0,variety,rosea,Hypopitys,lanuginosa,"(Torr.) House","Q1346660,Q3139666",1921,,"New York State Mus. Bull. 243–244: 69 1921",,,,ad303f02-8fcd-11eb-924d-9cd76263cbd0,,126624-2,wfo-0001280455,4165379,,
111e0220-8fcd-11eb-924d-9cd76263cbd0,species,latisquama,Hypopitys,,Rydb.,Q1905130,1913,,"Bull. Torrey Bot. Club 40: 461 1913",,Q55767027,,,,706889-1,wfo-0000728693,2888349,,
111e1e2c-8fcd-11eb-924d-9cd76263cbd0,species,lutea,Hypopitys,,Gray,Q540667,1821,,"Nat. Arr. Brit. Pl. 2: 404 1821",,,,,,582527-1,wfo-0000728694,4165360,,
111e3a7e-8fcd-11eb-924d-9cd76263cbd0,species,monotropa,Hypopitys,,Crantz,Q112261,1766,,"Inst. Rei Herb. 2: 467 1766",,,,,,582528-1,wfo-0000728695,2888342,,
111e5a2c-8fcd-11eb-924d-9cd76263cbd0,species,multiflora,Hypopitys,,Scop.,Q84181,1771,,"Fl. Carniol. ed. 2, 1: 285 1771",,,,,,582529-1,wfo-0000728696,7327679,,
d652343a-8fcd-11eb-924d-9cd76263cbd0,variety,americana,Hypopitys,multiflora,DC.,Q123057,1839,,"Prodr. 7(2): 780 1839",,,,,,126625-2,wfo-0001129003,4165332,,
d6547a42-8fcd-11eb-924d-9cd76263cbd0,variety,glabra,Hypopitys,multiflora,Ledeb.,Q64544,1846,,"Fl. Ross. 2: 934 1846",,,,,,,wfo-0001129024,8407692,,
111e76ce-8fcd-11eb-924d-9cd76263cbd0,species,racemosa,Hypopitys,,Raf.,Q364857,1810,,"Med. Repos. III, 1: 297 1810",,,,,,582530-1,wfo-0000728697,4165326,,
111e9dfc-8fcd-11eb-924d-9cd76263cbd0,species,rivini,Hypopitys,,"Rupp.Jun. ex Cess.Passer. & Gibelli",Q5565422,1878,,"Comp. Fl. Ital. 418 1878",,,,,,,wfo-0000728698,4165318,,
111ec1ba-8fcd-11eb-924d-9cd76263cbd0,species,secunda,Hypopitys,,Raf.,Q364857,1810,,"Med. Repos. III, 1: 297 1810",,,,,,582532-1,wfo-0000728699,4165314,,
111eefa0-8fcd-11eb-924d-9cd76263cbd0,species,stricta,Hypopitys,,Raf.,Q364857,1810,,"Med. Repos. III, 1: 297 1810",,,,,,582533-1,wfo-0000728700,4165309,,
111f68f4-8fcd-11eb-924d-9cd76263cbd0,species,uniflora,Hypopitys,,"(L.) Crantz","Q1043,Q112261",1766,,"Inst. Rei Herb. 2: 467 1766",,,,,,582534-1,wfo-0000728701,4165304,,
