id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9fd16746-9bad-11eb-a8a2-19ed5c03f8d3,genus,Icmadophila,,,Trevis.,Q634712,1853,conserved,"Revta Period. Lav. Regia Accad. Sci., Padova 1: 267 (1853)",,,,9fd16746-9bad-11eb-a8a2-19ed5c03f8d3,,,,,2479,"Nom. cons., see Art. 14 "
bcbca768-9bac-11eb-a8a2-19ed5c03f8d3,species,adversum,Icmadophila,,"(Nyl.) Rambold & Hertel","Q932083,Q21339245",,,,,,,,,,,,478036," "
9f2cfd42-9bac-11eb-a8a2-19ed5c03f8d3,species,aeruginosa,Icmadophila,,"(Scop.) Trevis.","Q84181,Q634712",1953,,"Revta Period. Lav. Regia Accad. Sci., Padova 1: 267 (1953)",,,,,,,,,386978," "
5801df9a-9bad-11eb-a8a2-19ed5c03f8d3,variety,aeruginosa,Icmadophila,aeruginosa,"(Scop.) Trevis.","Q84181,Q634712",,,,,,,,,,,,443819," "
c9b83eb4-9bac-11eb-a8a2-19ed5c03f8d3,form,aeruginosa,Icmadophila,aeruginosa,"(Scop.) Trevis.","Q84181,Q634712",,,,,,,,,,,,443828," "
5429b168-9bad-11eb-a8a2-19ed5c03f8d3,variety,americana,Icmadophila,aeruginosa,Räsänen,,,,,,,,5429b168-9bad-11eb-a8a2-19ed5c03f8d3,,,,,436225," "
54296870-9bad-11eb-a8a2-19ed5c03f8d3,form,muscicola,Icmadophila,aeruginosa,Britzelm.,Q556528,,,,,,,54296870-9bad-11eb-a8a2-19ed5c03f8d3,,,,,436224," "
18f24cdc-9bac-11eb-a8a2-19ed5c03f8d3,species,aversa,Icmadophila,,"(Nyl.) Rambold & Hertel","Q932083,Q21339245",1993,,"Biblthca Lichenol. 53: 230 (1993)",,,,8610ffe2-9bad-11eb-a8a2-19ed5c03f8d3,,,,,361289," "
9f2d8280-9bac-11eb-a8a2-19ed5c03f8d3,species,coronata,Icmadophila,,"Müll. Arg.",,,,,,,,9f2d8280-9bac-11eb-a8a2-19ed5c03f8d3,,,,,386979," "
9f2ddd0c-9bac-11eb-a8a2-19ed5c03f8d3,species,elveloides,Icmadophila,,"(Weber) Hedl.","Q63875,Q5796063",,,,,,,5e8cfab2-9bac-11eb-a8a2-19ed5c03f8d3,,,,,386980," "
657dc256-9bad-11eb-a8a2-19ed5c03f8d3,species,ericetorum,Icmadophila,,"(L.) Zahlbr.","Q1043,Q2833235",1895,,"Wiss. Mittellung. Bosnien und der Hercegov. 3: 605 (1895)",,,,,,,,,118970," "
c00b47bc-9bac-11eb-a8a2-19ed5c03f8d3,variety,ericetorum,Icmadophila,ericetorum,"(L.) Zahlbr.","Q1043,Q2833235",1895,,"Wiss. Mittellung. Bosnien und der Hercegov. 3: 605 (1895)",,,,c00b47bc-9bac-11eb-a8a2-19ed5c03f8d3,,,,,452627," "
f6a4803c-9bab-11eb-a8a2-19ed5c03f8d3,form,ericetorum,Icmadophila,ericetorum,"(L.) Zahlbr.","Q1043,Q2833235",1895,,"Wiss. Mittellung. Bosnien und der Hercegov. 3: 605 (1895)",,,,f6a4803c-9bab-11eb-a8a2-19ed5c03f8d3,,,,,480639," "
bd18c1a6-9bac-11eb-a8a2-19ed5c03f8d3,variety,hypothallinula,Icmadophila,ericetorum,Gyeln.,,,,,,,,bd18c1a6-9bac-11eb-a8a2-19ed5c03f8d3,,,,,480265," "
6f62a5fc-9bad-11eb-a8a2-19ed5c03f8d3,form,inquirenda,Icmadophila,ericetorum,Fóriss,,,,,,,,6f62a5fc-9bad-11eb-a8a2-19ed5c03f8d3,,,,,480264," "
bd18f612-9bac-11eb-a8a2-19ed5c03f8d3,variety,levilignicola,Icmadophila,ericetorum,Gyeln.,,,,,,,,bd18f612-9bac-11eb-a8a2-19ed5c03f8d3,,,,,480266," "
a8644cd0-9bac-11eb-a8a2-19ed5c03f8d3,variety,sphagnicola,Icmadophila,ericetorum,"(Hazsl.) Gyeln.",Q1034588,,,,,,,,,,,,480267," "
5c0bab16-9bad-11eb-a8a2-19ed5c03f8d3,variety,stipitata,Icmadophila,ericetorum,"B. de Lesd.",,,,,,,,5c0bab16-9bad-11eb-a8a2-19ed5c03f8d3,,,,,452293," "
356a9f8a-9bad-11eb-a8a2-19ed5c03f8d3,species,japonica,Icmadophila,,"(Zahlbr.) Rambold & Hertel","Q2833235,Q21339245",1993,,"Biblthca Lichenol. 53: 230 (1993)",,,,861c1594-9bad-11eb-a8a2-19ed5c03f8d3,,,,,361290," "
6a5c4fc2-9bad-11eb-a8a2-19ed5c03f8d3,species,splachnirima,Icmadophila,,"(Hook. f. & Taylor) D.J. Galloway",Q7794377,2000,,"Lichenologist 32(3): 295 (2000)",,,,48e88e78-9bad-11eb-a8a2-19ed5c03f8d3,,,,,467305," "
