id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e51f3040-8fd1-11eb-924d-9cd76263cbd0,genus,Irvingia,,,Hook.f.,0,1860,,"Trans. Linn. Soc. London 23: 167 (1860)",,Q54550673,Q6151611,,,urn:lsid:ipni.org:names:38203-1,wfo-4000019199,,,
6a70970a-8fca-11eb-924d-9cd76263cbd0,species,australiana,Irvingia,,F.Muell.,0,1865,,"Fragm. 5: 18 (1865)",,,,,,urn:lsid:ipni.org:names:90960-1,wfo-0000217670,5372100,,
12fd62b6-8fcd-11eb-924d-9cd76263cbd0,species,barteri,Irvingia,,Hook.f.,0,1860,,"Trans. Linn. Soc. London 23: 167 (1860)",,Q54550673,Q6151611,,,urn:lsid:ipni.org:names:813759-1,wfo-0000732291,5380979,,
14c38e72-8fcd-11eb-924d-9cd76263cbd0,variety,tenuifolia,Irvingia,barteri,"(Hook.f.) Oliv.",0,1868,,"Fl. Trop. Afr. 314",,,Q3700392,,,,wfo-0000735836,8149170,,
12fd8868-8fcd-11eb-924d-9cd76263cbd0,species,caerulea,Irvingia,,Tiegh.,0,1905,,"Ann. Sci. Nat., Bot. , sér. 9, 1: 256 (1905)",,,Q17621119,,,urn:lsid:ipni.org:names:813760-1,wfo-0000732292,5380984,,
12fda942-8fcd-11eb-924d-9cd76263cbd0,species,duparquetii,Irvingia,,Tiegh.,0,1905,,"Ann. Sci. Nat., Bot. , sér. 9, 1: 255 (1905)",,,Q17621119,,,urn:lsid:ipni.org:names:813761-1,wfo-0000732293,5380977,,
12fdc68e-8fcd-11eb-924d-9cd76263cbd0,species,erecta,Irvingia,,Tiegh.,0,1905,,"Ann. Sci. Nat., Bot. , sér. 9, 1: 257 (1905)",,,Q17621119,,,urn:lsid:ipni.org:names:813762-1,wfo-0000732294,5380981,,
12fde3ee-8fcd-11eb-924d-9cd76263cbd0,species,excelsa,Irvingia,,Mildbr.,0,1913,,"Notizbl. Königl. Bot. Gart. Berlin , App. 27: 25 (1913)",,,,,,urn:lsid:ipni.org:names:813763-1,wfo-0000732295,5380966,,
12fe016c-8fcd-11eb-924d-9cd76263cbd0,species,fusca,Irvingia,,Tiegh.,0,1905,,"Ann. Sci. Nat., Bot. , sér. 9, 1: 256 (1905)",,,Q17621119,,,urn:lsid:ipni.org:names:813764-1,wfo-0000732296,5592217,,
12fe1e4a-8fcd-11eb-924d-9cd76263cbd0,species,gabonensis,Irvingia,,"(Aubry-Lecomte ex O'Rorke) Baill.",0,1884,,"Traité Bot. Méd. Phan. 2: 841 (1884)",,,,3259cc86-8fcc-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:813766-1,wfo-0000732297,5380976,,
12fe3a9c-8fcd-11eb-924d-9cd76263cbd0,variety,excelsa,Irvingia,gabonensis,"(Mildbr.) Okafor",0,1975,,"Bull. Jard. Bot. Natl. Belg. 45: 220 (1975)",,Q55776365,Q5735512,12fde3ee-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:883650-1,wfo-0000732298,5380967,,
