id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e52092f0-8fd1-11eb-924d-9cd76263cbd0,genus,Ischnea,,,F.Muell.,,,,,,,9499-1,wfo-4000019221,3147777,
1b543862-8fb5-11eb-924d-9cd76263cbd0,species,brassii,Ischnea,,"H.Rob. & Brettell",,"157 1973",,,,,226238-1,wfo-0000073972,3147778,
b986d606-8fbb-11eb-924d-9cd76263cbd0,species,capellana,Ischnea,,Swenson,,"261 1994",,,,,,wfo-0000136220,3147779,
b16e1cb8-8fb6-11eb-924d-9cd76263cbd0,species,elachoglossa,Ischnea,,F.Muell.,,"13 1889",,,,,,wfo-0000092161,3147781,
d9947db6-8fb8-11eb-924d-9cd76263cbd0,form,nana,Ischnea,elachoglossa,J.Kost.,,"Blumea 22 (1975) 212 1975",,,,,877502-1,wfo-0000113168,4224964,
45a455fa-8fb2-11eb-924d-9cd76263cbd0,species,keysseri,Ischnea,,Mattf.,,"440, 498 1929",,,,,226240-1,wfo-0000018430,3147780,
9d429cf0-8fb6-11eb-924d-9cd76263cbd0,species,korythoglossa,Ischnea,,Mattf.,,,,,,,,wfo-0000091320,3147783,
32caa3d8-8fb4-11eb-924d-9cd76263cbd0,species,latifolia,Ischnea,,Mattf.,,"475 1940",,,,,226242-1,wfo-0000061407,3138885,
d70ec534-8fb2-11eb-924d-9cd76263cbd0,species,spathulata,Ischnea,,Mattf.,,"267 1937",,,,,226243-1,wfo-0000035757,3147782,
31925972-8fb2-11eb-924d-9cd76263cbd0,form,digitata,Ischnea,spathulata,J.Kost.,,"Blumea 22 (1975) 213 1975",,,,,877503-1,wfo-0000015361,4224947,
e38dd862-8fb8-11eb-924d-9cd76263cbd0,form,f,Ischnea,spathulata,pathulata,,,,,,,,wfo-0000113522,,
6be5eb26-8fca-11eb-924d-9cd76263cbd0,species,verbenacea,Ischnia,,DC.,,"Prodr. 9: 257 1845",,,,,863101-1,wfo-0000217697,5527240,
13100916-8fcd-11eb-924d-9cd76263cbd0,species,exilis,Ischnocarpus,,Heenan,,"New Zealand J. Bot. 37: 46 1999",,,,,1007139-1,wfo-0000732449,3041071,
13102590-8fcd-11eb-924d-9cd76263cbd0,species,novae-zelandiae,Ischnocarpus,,"(Hook.f.) O.E.Schulz",,"Pflanzenr. IV, 105(86): 169 1924",,,,,,wfo-0000732450,3041090,
6bf36846-8fca-11eb-924d-9cd76263cbd0,species,myrtillus,Ischnocentrum,,Schltr.,,"Repert. Spec. Nov. Regni Veg. Beih. 1: 319 1912",,,,,639269-1,wfo-0000217698,2819752,
6c01339a-8fca-11eb-924d-9cd76263cbd0,species,selaginelloides,Ischnocentrum,,Schltr.,,"Repert. Spec. Nov. Regni Veg. 16: 118 1919",,,,,639270-1,wfo-0000217699,2819751,
