id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e540545a-8fd1-11eb-924d-9cd76263cbd0,genus,Joinvillea,,,"Gaudich. ex Brongn. & Gris",,"Bull. Soc. Bot. France 8: 268. 1861.",,,,,16442-1,wfo-4000019595,2731711,
6c5adfec-8fcc-11eb-924d-9cd76263cbd0,species,ascendens,Joinvillea,,"Gaudich. ex Brongn. & Gris",,"Bull. Soc. Bot. France 8: 269 1861",,,,,366175-1,wfo-0000450904,5293058,
6c5bf454-8fcc-11eb-924d-9cd76263cbd0,subspecies,borneensis,Joinvillea,ascendens,"(Becc.) Newell",,"J. Arnold Arbor. 50: 549 1969",,,,,,wfo-0000450911,5293061,
6d1c64ae-8fcd-11eb-924d-9cd76263cbd0,subspecies,glabra,Joinvillea,ascendens,Newell,,"J. Arnold Arbor. 50: 550 1969",,,,,,wfo-0000909999,5939903,
6d1cbf44-8fcd-11eb-924d-9cd76263cbd0,subspecies,samoensis,Joinvillea,ascendens,Newell,,"J. Arnold Arbor. 50: 548 1969",,,,,,wfo-0000910000,5939902,
6c5c9bd4-8fcc-11eb-924d-9cd76263cbd0,species,borneensis,Joinvillea,,Becc.,,"Nelle Forest. Borneo 198 1902",,,,,366176-1,wfo-0000450917,5293060,
6c5d1500-8fcc-11eb-924d-9cd76263cbd0,species,bryanii,Joinvillea,,Christoph.,,"Bernice P. Bishop Mus. Bull. 128: 44 1935",,,,,366177-1,wfo-0000450921,5293056,
6c5e8bd8-8fcc-11eb-924d-9cd76263cbd0,species,elegans,Joinvillea,,"Gaudich. ex Brongn. & Gris",,"Bull. Soc. Bot. France 8: 268 1861",,,,,366178-1,wfo-0000450929,5293054,
6c5f5194-8fcc-11eb-924d-9cd76263cbd0,species,gaudichaudiana,Joinvillea,,"Brongn. & Gris",,"Bull. Soc. Bot. France 8: 269 1861",,,,,366179-1,wfo-0000450936,5293059,
cdc4dfc6-8fd1-11eb-924d-9cd76263cbd0,variety,samoensis,Joinvillea,gaudichaudiana,"(Newell) O.Deg. & I.Deg.",,"Fl. Hawaii. Fam. 53a: 1973",,,,,,wfo-0001279418,7518074,
6c607380-8fcc-11eb-924d-9cd76263cbd0,species,malayana,Joinvillea,,Ridl.,,"J. Straits Branch Roy. Asiat. Soc. 44: 199 1905",,,,,366180-1,wfo-0000450941,5293062,
6c613d42-8fcc-11eb-924d-9cd76263cbd0,species,plicata,Joinvillea,,"(Hook.f.) Newell & B.C.Stone",,"Taxon 16: 193 1967",,,,,366181-1,wfo-0000450948,5293052,
6d1d1a2a-8fcd-11eb-924d-9cd76263cbd0,subspecies,bryanii,Joinvillea,plicata,"(Christoff) Newell",,"J. Arnold Arbor. 50: 552 1969",,,,,,wfo-0000910001,5939901,
28f93262-8fcc-11eb-924d-9cd76263cbd0,species,africana,Joliffia,,Delile,,"Mém. Soc. Hist. Nat. Paris 3: 314 1827",,,,,292971-1,wfo-0000355802,8411532,
f0fcc1fe-8fca-11eb-924d-9cd76263cbd0,species,artensis,Jollya,,"Pierre ex Guillaumin & Beauvis.",,"Ann. Soc. Bot. Lyon 38: 26 1913 publ. 1914",,,,,787084-1,wfo-0000220137,2886275,
