id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
c4c55374-9bac-11eb-a8a2-19ed5c03f8d3,genus,Kineosporia,,,"Pagani & Parenti",,,,,,,,c4c55374-9bac-11eb-a8a2-19ed5c03f8d3,,,,,27360," "
cadc3db2-8fcd-11eb-924d-9cd76263cbd0,species,schultzei,Kinepetalum,,Schltr.,,1913,,"Bot. Jahrb. Syst. 51: 150 1913",,,,,,98891-1,wfo-0001103917,3581471,,
216e8bec-8fcb-11eb-924d-9cd76263cbd0,species,cleistogamus,Kinetochilus,,"(Schltr.) Brieger",,1981,,"Schlechter Orchideen 1(11-12): 686 1981",,,,,,909010-1,wfo-0000221002,2823723,,
217d0a0a-8fcb-11eb-924d-9cd76263cbd0,species,crassicaule,Kinetochilus,,"(Schltr.) Brieger",,1981,,"Schlechter Orchideen 1(11-12): 686 1981",,,,,,909011-1,wfo-0000221003,2824733,,
218ae814-8fcb-11eb-924d-9cd76263cbd0,species,pectinatus,Kinetochilus,,"(Finet) Brieger",,1981,,"Schlechter Orchideen 1(11-12): 686 1981",,,,,,909012-1,wfo-0000221004,2822044,,
21993568-8fcb-11eb-924d-9cd76263cbd0,species,adscendens,Kinetostigma,,Dammer,,1905,,"Notizbl. Königl. Bot. Gart. Berlin 4: 172 1905",,Q55776726,,,,133455-2,wfo-0000221005,2734699,,
b89db8d4-8fd1-11eb-924d-9cd76263cbd0,species,nana,Kinetostigma,,"(N.E.Br.) Burret",,1932,,"Notizbl. Bot. Gart. Berlin-Dahlem 11: 318 1932",,Q55777455,,44ffc768-8fcd-11eb-924d-9cd76263cbd0,,133456-2,wfo-0001240376,,,
21a736e0-8fcb-11eb-924d-9cd76263cbd0,species,nanum,Kinetostigma,,"(N.E.Br.) Burret",,1932,,"Notizbl. Bot. Gart. Berlin-Dahlem 11: 318 1932",,Q55777455,,,,667709-1,wfo-0000221006,2734628,,
21c3811a-8fcb-11eb-924d-9cd76263cbd0,species,tuerckbeimii,Kinetostigma,,"(Dammer) Burret",,1932,,"Notizbl. Bot. Gart. Berlin-Dahlem 11: 317 1932",,Q55777455,,,,667710-1,wfo-0000221008,2734504,,
b8e8cb7a-8fcd-11eb-924d-9cd76263cbd0,species,codonopsidoides,Kingdon-wardia,,C.Marquand,,1929,,"J. Linn. Soc., Bot. 48(321): 207–208 1929",,Q55760541,,,,369708-1,wfo-0001063926,,,
b8f57078-8fcd-11eb-924d-9cd76263cbd0,species,racemosa,Kingdon-wardia,,"(Wall. ex Griseb.) T.N.Ho",,,,,,,,b8e8ae74-8fcd-11eb-924d-9cd76263cbd0,,,wfo-0001064037,,,
