id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e5765780-8fd1-11eb-924d-9cd76263cbd0,genus,Kunzea,,,Rchb.,1828,"Consp. Regn. Veg. 175. 1828.",,,,,331689-2,wfo-4000020292,3186579,
43aee70e-8fcd-11eb-924d-9cd76263cbd0,species,acicularis,Kunzea,,"Toelken & G.F.Craig",2007,"Nuytsia 17: 392 2007",,,,,77090763-1,wfo-0000835867,5420036,
40b885b6-8fcb-11eb-924d-9cd76263cbd0,species,acuminata,Kunzea,,Toelken,1996,"J. Adelaide Bot. Gard. 17: 88 1996",,,,,992061-1,wfo-0000221556,5420025,
40c6c43c-8fcb-11eb-924d-9cd76263cbd0,species,affinis,Kunzea,,S.Moore,1920,"J. Linn. Soc., Bot. 45: 202 1920",,,,,597186-1,wfo-0000221557,5420005,
40d49da0-8fcb-11eb-924d-9cd76263cbd0,species,ambigua,Kunzea,,"(Sm.) Druce",1916,"Rep. Bot. Soc. Exch. Club Brit. Isles 1916: 629 1917",,,,0ef4dab0-8fcc-11eb-924d-9cd76263cbd0,597187-1,wfo-0000221558,5420044,
40e2f12a-8fcb-11eb-924d-9cd76263cbd0,species,baxteri,Kunzea,,"(Klotzsch) Schauer",1844,"Pl. Preiss. 1: 123 1844",,,,,597189-1,wfo-0000221559,5420026,
40f0e47e-8fcb-11eb-924d-9cd76263cbd0,species,brachyandra,Kunzea,,F.Muell.,1860,"Fragm. 2: 27 1860",,,,,597190-1,wfo-0000221560,5418615,
40fefc80-8fcb-11eb-924d-9cd76263cbd0,species,bracteolata,Kunzea,,"Maiden & Betche",1905,"Proc. Linn. Soc. New South Wales 30: 363 1905",,,,,597191-1,wfo-0000221561,5420030,
410d0636-8fcb-11eb-924d-9cd76263cbd0,species,calida,Kunzea,,F.Muell.,1868,"Fragm. 6: 23 1868",,,,,,wfo-0000221562,5420009,
41294a76-8fcb-11eb-924d-9cd76263cbd0,species,cambagei,Kunzea,,"Maiden & Betche",1913,"Proc. Linn. Soc. New South Wales 38: 246 1913",,,,,597193-1,wfo-0000221564,5420032,
4137eb1c-8fcb-11eb-924d-9cd76263cbd0,species,capitata,Kunzea,,"(Sm.) Heynh.",1846,"Alph. Aufz. Gew. 337 1846",,,,,1002078-1,wfo-0000221565,5420011,
4145ccaa-8fcb-11eb-924d-9cd76263cbd0,variety,glabrescens,Kunzea,capitata,Benth.,1867,"Fl. Austral. 3: 116 1867",,,,,,wfo-0000221566,5420013,
4153da52-8fcb-11eb-924d-9cd76263cbd0,species,ciliata,Kunzea,,Toelken,1996,"J. Adelaide Bot. Gard. 17: 64 1996",,,,,992055-1,wfo-0000221567,5420034,
4161f358-8fcb-11eb-924d-9cd76263cbd0,species,cincinnata,Kunzea,,Toelken,1996,"J. Adelaide Bot. Gard. 17: 101 1996",,,,,992062-1,wfo-0000221568,5420019,
41701d0c-8fcb-11eb-924d-9cd76263cbd0,species,clavata,Kunzea,,Toelken,1996,"J. Adelaide Bot. Gard. 17: 50 1996",,,,,992051-1,wfo-0000221569,5419978,
417e6452-8fcb-11eb-924d-9cd76263cbd0,species,corifolia,Kunzea,,"(Vent.) Schauer",1844,"Pl. Preiss. 1: 124 1844",,,,e277ec0c-8fcb-11eb-924d-9cd76263cbd0,1002080-1,wfo-0000221570,5420046,
418c7a88-8fcb-11eb-924d-9cd76263cbd0,species,ericifolia,Kunzea,,F.Muell.,1855,"Trans. Philos. Soc. Victoria 1: 123 1855",,,,,597197-1,wfo-0000221571,8171666,
419a7444-8fcb-11eb-924d-9cd76263cbd0,species,ericifolia,Kunzea,,"(Sm.) Heynh.",1846,"Alph. Aufz. Gew. 338 1846",,,,,1002079-1,wfo-0000221572,5419987,
41c42b72-8fcb-11eb-924d-9cd76263cbd0,variety,glabrior,Kunzea,ericifolia,Benth.,1867,"Fl. Austral. 3: 113 1867",,,,,,wfo-0000221575,5420008,
41d23690-8fcb-11eb-924d-9cd76263cbd0,species,ericoides,Kunzea,,"(A.Rich.) Joy Thomps.",1983,"Telopea 2: 379 1983",,,,d9d8ad02-8fcb-11eb-924d-9cd76263cbd0,912742-1,wfo-0000221576,10952077,
41e0807e-8fcb-11eb-924d-9cd76263cbd0,variety,linearis,Kunzea,ericoides,"(Kirk) W.Harris",1987,"New Zealand J. Bot. 25: 134 1987",,,,65ef48cc-8fb4-11eb-924d-9cd76263cbd0,953858-1,wfo-0000221577,5420000,
41eeb2e8-8fcb-11eb-924d-9cd76263cbd0,variety,microflora,Kunzea,ericoides,"(G.Simpson) W.Harris",1987,"New Zealand J. Bot. 25: 134 1987",,,,,953859-1,wfo-0000221578,5420004,
41fd2c60-8fcb-11eb-924d-9cd76263cbd0,species,eriocalyx,Kunzea,,F.Muell.,1860,"Fragm. 2: 28 1860",,,,,597198-1,wfo-0000221579,5420047,
420b592a-8fcb-11eb-924d-9cd76263cbd0,species,flavescens,Kunzea,,"C.T.White & W.D.Francis",1921,"Proc. Roy. Soc. Queensland 33: 155 1921",,,,,597199-1,wfo-0000221580,5420028,
421a3bde-8fcb-11eb-924d-9cd76263cbd0,species,glabrescens,Kunzea,,Toelken,1996,"J. Adelaide Bot. Gard. 17: 41 1996",,,,,992048-1,wfo-0000221581,5420007,
42285e8a-8fcb-11eb-924d-9cd76263cbd0,species,glabriuscula,Kunzea,,Gand.,1918,"Bull. Soc. Bot. France 65: 26 1918",,,,,597200-1,wfo-0000221582,5420001,
42366c5a-8fcb-11eb-924d-9cd76263cbd0,species,graniticola,Kunzea,,Byrnes,1982,"Austrobaileya 1: 468 1982 publ. 1983",,,,,902308-1,wfo-0000221583,5420031,
42526cc0-8fcb-11eb-924d-9cd76263cbd0,species,hirsuta,Kunzea,,Turcz.,1862,"Bull. Soc. Imp. Naturalistes Moscou 35(2): 326 1862",,,,,597201-1,wfo-0000221585,5420012,
4260fe34-8fcb-11eb-924d-9cd76263cbd0,species,jucunda,Kunzea,,"Diels & E.Pritz.",1904,"Bot. Jahrb. Syst. 35: 424 1904",,,,,,wfo-0000221586,5420033,
426f05ce-8fcb-11eb-924d-9cd76263cbd0,species,leptospermoides,Kunzea,,F.Muell.,1856,"Ned. Kruidk. Arch. 4: 146 1856",,,,,597203-1,wfo-0000221587,5419998,
427d102e-8fcb-11eb-924d-9cd76263cbd0,species,micrantha,Kunzea,,Schauer,1844,"Pl. Preiss. 1: 125 1844",,,,,597204-1,wfo-0000221588,5419971,
42993178-8fcb-11eb-924d-9cd76263cbd0,subspecies,oligandra,Kunzea,micrantha,"(Turcz.) Toelken",1996,"J. Adelaide Bot. Gard. 17: 75 1996",,,,,992057-1,wfo-0000221590,5419975,
42a78ad4-8fcb-11eb-924d-9cd76263cbd0,species,micromera,Kunzea,,Schauer,1848,"Pl. Preiss. 2: 223 1848",,,,,597205-1,wfo-0000221591,5419980,
42b67d8c-8fcb-11eb-924d-9cd76263cbd0,species,montana,Kunzea,,"(Diels) Domin",1921,"Vestn. Král. Ceské Spolecn. Nauk, Tr. Mat.-Prír. 1921-1922(2): 87 1923",,,,,597206-1,wfo-0000221592,5420038,
42d2b0ba-8fcb-11eb-924d-9cd76263cbd0,species,muelleri,Kunzea,,Benth.,1867,"Fl. Austral. 3: 113 1867",,,,,597207-1,wfo-0000221594,5419985,
42e08f78-8fcb-11eb-924d-9cd76263cbd0,species,newbeyi,Kunzea,,Toelken,1996,"J. Adelaide Bot. Gard. 17: 60 1996",,,,,992053-1,wfo-0000221595,5420040,
42eea3f6-8fcb-11eb-924d-9cd76263cbd0,species,obovata,Kunzea,,Byrnes,1982,"Austrobaileya 1: 469 1982 publ. 1983",,,,,902309-1,wfo-0000221596,5420024,
42fd1c2e-8fcb-11eb-924d-9cd76263cbd0,species,oligandra,Kunzea,,Turcz.,1852,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg 10: 336 1852",,,,,597208-1,wfo-0000221597,5419976,
430b42ae-8fcb-11eb-924d-9cd76263cbd0,species,opposita,Kunzea,,F.Muell.,1868,"Fragm. 6: 24 1868",,,,,,wfo-0000221598,5420048,
