id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e5812520-8fd1-11eb-924d-9cd76263cbd0,genus,Lagarosiphon,,,Harv.,0,1841,,"J. Bot. (Hooker) 4: 230 (1841)",,,,,,urn:lsid:ipni.org:names:19722-1,wfo-4000020421,2865546,,
24edb71e-8fcd-11eb-924d-9cd76263cbd0,species,alternifolia,Lagarosiphon,,Druce,0,1916,,"Bot. Soc. Exch. Club Brit. Isles 4: 630 (1916 publ. 1917)",,,,25511584-8fcd-11eb-924d-9cd76263cbd0,,urn:lsid:ipni.org:names:431814-1,wfo-0000769413,2865576,,
ba13eb7e-8fcd-11eb-924d-9cd76263cbd0,species,alternifolius,Lagarosiphon,,"(Roxb.) Druce",0,1917,,"Rep. Bot. Soc. Exch. Club Brit. Isles 4(Suppl. 2): 630 1917",,,,,,,wfo-0001066605,,,
24edda32-8fcd-11eb-924d-9cd76263cbd0,species,cordofanum,Lagarosiphon,,Casp.,0,1858,,"Jahrb. Wiss. Bot. 1: 504 (1858)",,,,,,urn:lsid:ipni.org:names:431815-1,wfo-0000769414,2865557,,
24edf62a-8fcd-11eb-924d-9cd76263cbd0,species,crispus,Lagarosiphon,,Rendle,0,1895,,"J. Linn. Soc., Bot. 30: 380 (1895)",,,,,,urn:lsid:ipni.org:names:431816-1,wfo-0000769415,2865558,,
24ee11b4-8fcd-11eb-924d-9cd76263cbd0,species,densus,Lagarosiphon,,Rendle,,1886,,"J. Linn. Soc., Bot. 22: 235 (1886)",,Q55760276,,,,urn:lsid:ipni.org:names:431817-1,wfo-0000769416,2865568,,
24ee2e10-8fcd-11eb-924d-9cd76263cbd0,species,fischeri,Lagarosiphon,,Gürke,0,1895,,"Pflanzenw. Ost-Afrikas , C: 95 (1895)",,,,,,urn:lsid:ipni.org:names:431818-1,wfo-0000769417,2865560,,
24ee4792-8fcd-11eb-924d-9cd76263cbd0,species,hydrilloides,Lagarosiphon,,Rendle,0,1895,,"J. Linn. Soc., Bot. 30: 381 (1895)",,Q55760371,,,,urn:lsid:ipni.org:names:431819-1,wfo-0000769418,2865547,,
24ee63a8-8fcd-11eb-924d-9cd76263cbd0,species,ilicifolius,Lagarosiphon,,Oberm.,0,1964,,"Bothalia 8: 145 (1964)",,Q55798337,,,,urn:lsid:ipni.org:names:431820-1,wfo-0000769419,2865556,,
24ee80fe-8fcd-11eb-924d-9cd76263cbd0,species,madagascariensis,Lagarosiphon,,Casp.,0,1882,,"Abh. Naturwiss. Vereins Bremen 7: 252 (1882)",,,,,,urn:lsid:ipni.org:names:431821-1,wfo-0000769420,2865567,,
