id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e593cd1a-8fd1-11eb-924d-9cd76263cbd0,genus,Laserpitium,,,L.,1753,"Sp. Pl. 1: 248. 1753. (1 May 1753)",,,,,40161-1,wfo-4000020625,6026344,
2bb50daa-8fcc-11eb-924d-9cd76263cbd0,species,aciphylla,Laserpitium,,L.f.,1782,"Suppl. Pl. 181 1782",,,,,843946-1,wfo-0000360326,3630920,
2bb52a38-8fcc-11eb-924d-9cd76263cbd0,species,affine,Laserpitium,,Ledeb.,1844,"Fl. Ross. 2: 335 1844",,,,,843947-1,wfo-0000360327,3630911,
2bb54806-8fcc-11eb-924d-9cd76263cbd0,species,africanum,Laserpitium,,F.Dietr.,1805,"Vollst. Lex. Gärtn. 5: 315 1805",,,,,843948-1,wfo-0000360328,3630903,
2bb564b2-8fcc-11eb-924d-9cd76263cbd0,species,alpestre,Laserpitium,,Arv.-Touv.,1871,"Ess. Pl. Dauph. 31 1871",,,,,843949-1,wfo-0000360330,3630893,
2bb71df2-8fcc-11eb-924d-9cd76263cbd0,species,alpinum,Laserpitium,,"Waldst. & Kit.",1812,"Descr. Icon. Pl. Hung. 3: 281 1812",,,,,,wfo-0000360339,3630884,
2bb5829e-8fcc-11eb-924d-9cd76263cbd0,species,ambiguum,Laserpitium,,Schur,1853,"Verh. Mitth. Siebenbürg. Vereins Naturwiss. Hermannstadt 4: 31 1853",,,,,843951-1,wfo-0000360331,3630875,
2bb5bd68-8fcc-11eb-924d-9cd76263cbd0,species,angustifolium,Laserpitium,,Georgi,1779,"Beschr. Nation. Russ. Reich 3(4): 847 1779",,,,,843954-1,wfo-0000360333,3630848,
2bb5a076-8fcc-11eb-924d-9cd76263cbd0,species,angustifolium,Laserpitium,,Scop.,1771,"Fl. Carniol. ed. 2, 1: 197 1771",,,,,843953-1,wfo-0000360332,7714625,
2bb4d718-8fcc-11eb-924d-9cd76263cbd0,species,angustifolium,Laserpitium,,L.,1753,"Sp. Pl. 248 1753",,,,,843952-1,wfo-0000360324,7541168,
2bb5ddd4-8fcc-11eb-924d-9cd76263cbd0,species,angustissimum,Laserpitium,,Willd.,,"Sp. Pl. 1: 1416 1798",,,,,843955-1,wfo-0000360334,8372887,
2bb5fb52-8fcc-11eb-924d-9cd76263cbd0,species,aquilegifolium,Laserpitium,,"(Lam.) Jacq.",1774,"Fl. Austriac. 2: 29 1774",,,,,843956-1,wfo-0000360335,,
2bb2cad6-8fcc-11eb-924d-9cd76263cbd0,species,archangelica,Laserpitium,,Wulfen,1786,"Collectanea 1: 214 1786",,,,,,wfo-0000360310,7513560,
2bb306ae-8fcc-11eb-924d-9cd76263cbd0,species,aruncus,Laserpitium,,Fritsch,1907,"Mitt. Naturwiss. Vereins Univ. Wien 5: 97 1907",,,,,843963-1,wfo-0000360312,3630776,
2bb32166-8fcc-11eb-924d-9cd76263cbd0,species,asclepium,Laserpitium,,Calest.,1905,"Webbia 1: 270 1905",,,,,,wfo-0000360313,3630766,
2bb33e4e-8fcc-11eb-924d-9cd76263cbd0,species,asperrimum,Laserpitium,,Schur,1866,"Enum. Pl. Transsilv. 269 1866",,,,,843965-1,wfo-0000360314,3630760,
2bb4b99a-8fcc-11eb-924d-9cd76263cbd0,species,asperum,Laserpitium,,Crantz,1767,"Stirp. Austr. Fasc. 3: 50 1767",,,,,,wfo-0000360323,3630752,
2bb3788c-8fcc-11eb-924d-9cd76263cbd0,species,athamantae,Laserpitium,,Spreng.,1820,"Syst. Veg. 6: 624 1820",,,,,843967-1,wfo-0000360316,3630742,
2bb2acf4-8fcc-11eb-924d-9cd76263cbd0,species,atlanticum,Laserpitium,,Poir.,1813,"Encycl. Suppl. 3: 304 1813",,,,,843968-1,wfo-0000360309,3630737,
2bb39966-8fcc-11eb-924d-9cd76263cbd0,species,aureum,Laserpitium,,Willd.,,"Sp. Pl. 1: 1416 1798",,,,,843969-1,wfo-0000360317,3630726,
2bb3c562-8fcc-11eb-924d-9cd76263cbd0,species,bavaricum,Laserpitium,,Schrank,1789,"Baier. Fl. 1: 548 1789",,,,,843970-1,wfo-0000360318,3630716,
